distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.333,0.5,1.502
Beta,CDF,16,VECTORIZED,0.792,1.041,1.314
Beta,CDF,32,VECTORIZED,1.417,1.875,1.323
Beta,CDF,64,VECTORIZED,2.583,3.542,1.371
Beta,CDF,128,VECTORIZED,5.625,7.791,1.385
Beta,CDF,256,VECTORIZED,11.917,16.25,1.364
Beta,CDF,512,VECTORIZED,22.375,30.25,1.352
Beta,CDF,1000,VECTORIZED,44.583,59.875,1.343
Beta,CDF,2000,VECTORIZED,91.584,122.541,1.338
Beta,CDF,5000,VECTORIZED,227.875,305.167,1.339
Beta,CDF,10000,VECTORIZED,457.167,610.625,1.336
Beta,CDF,20000,VECTORIZED,904.75,1213.334,1.341
Beta,CDF,50000,VECTORIZED,2295.5,3050.291,1.329
Beta,CDF,100000,VECTORIZED,4582.042,6097.5,1.331
Beta,CDF,250000,VECTORIZED,11409.084,15958.416,1.399
Beta,CDF,500000,VECTORIZED,23781.375,31150.125,1.31
Beta,LogPDF,8,PARALLEL,0.125,0.208,1.664
Beta,LogPDF,16,PARALLEL,0.208,0.333,1.601
Beta,LogPDF,32,PARALLEL,0.333,0.708,2.126
Beta,LogPDF,64,PARALLEL,0.625,1.375,2.2
Beta,LogPDF,128,PARALLEL,1.0,2.875,2.875
Beta,LogPDF,256,PARALLEL,2.0,5.792,2.896
Beta,LogPDF,512,WORK_STEALING,4.292,11.625,2.709
Beta,LogPDF,1000,WORK_STEALING,8.416,22.584,2.683
Beta,LogPDF,2000,WORK_STEALING,18.0,45.083,2.505
Beta,LogPDF,5000,WORK_STEALING,52.542,113.041,2.151
Beta,LogPDF,10000,VECTORIZED,156.25,224.541,1.437
Beta,LogPDF,20000,VECTORIZED,324.875,450.5,1.387
Beta,LogPDF,50000,VECTORIZED,819.167,1124.708,1.373
Beta,LogPDF,100000,VECTORIZED,1643.833,2236.666,1.361
Beta,LogPDF,250000,VECTORIZED,4687.084,5775.875,1.232
Beta,LogPDF,500000,VECTORIZED,8676.917,11495.583,1.325
Beta,PDF,8,PARALLEL,0.167,0.208,1.246
Beta,PDF,16,PARALLEL,0.25,0.458,1.832
Beta,PDF,32,PARALLEL,0.458,0.791,1.727
Beta,PDF,64,PARALLEL,0.833,1.583,1.9
Beta,PDF,128,PARALLEL,1.5,3.5,2.333
Beta,PDF,256,PARALLEL,2.916,7.25,2.486
Beta,PDF,512,WORK_STEALING,6.042,14.583,2.414
Beta,PDF,1000,WORK_STEALING,12.583,29.0,2.305
Beta,PDF,2000,WORK_STEALING,27.917,61.25,2.194
Beta,PDF,5000,WORK_STEALING,85.0,151.917,1.787
Beta,PDF,10000,VECTORIZED,228.417,848.209,3.713
Beta,PDF,20000,VECTORIZED,460.5,607.0,1.318
Beta,PDF,50000,VECTORIZED,1183.5,1525.209,1.289
Beta,PDF,100000,VECTORIZED,2357.583,3107.042,1.318
Beta,PDF,250000,VECTORIZED,5929.583,7619.958,1.285
Beta,PDF,500000,VECTORIZED,11965.083,15382.334,1.286
ChiSquared,CDF,8,WORK_STEALING,0.167,0.333,1.994
ChiSquared,CDF,16,PARALLEL,0.458,0.708,1.546
ChiSquared,CDF,32,VECTORIZED,0.833,1.667,2.001
ChiSquared,CDF,64,WORK_STEALING,1.416,3.292,2.325
ChiSquared,CDF,128,PARALLEL,3.083,6.667,2.163
ChiSquared,CDF,256,WORK_STEALING,6.375,14.125,2.216
ChiSquared,CDF,512,PARALLEL,13.5,28.042,2.077
ChiSquared,CDF,1000,VECTORIZED,32.333,55.542,1.718
ChiSquared,CDF,2000,PARALLEL,60.291,112.083,1.859
ChiSquared,CDF,5000,PARALLEL,118.208,284.833,2.41
ChiSquared,CDF,10000,PARALLEL,180.917,570.5,3.153
ChiSquared,CDF,20000,PARALLEL,236.333,1138.916,4.819
ChiSquared,CDF,50000,PARALLEL,525.958,2839.333,5.398
ChiSquared,CDF,100000,PARALLEL,1018.667,5680.458,5.576
ChiSquared,CDF,250000,WORK_STEALING,2436.833,14226.0,5.838
ChiSquared,CDF,500000,PARALLEL,5210.25,28739.834,5.516
ChiSquared,LogPDF,8,PARALLEL,0.083,0.167,2.012
ChiSquared,LogPDF,16,PARALLEL,0.083,0.333,4.012
ChiSquared,LogPDF,32,PARALLEL,0.166,0.625,3.765
ChiSquared,LogPDF,64,PARALLEL,0.25,1.25,5.0
ChiSquared,LogPDF,128,PARALLEL,0.458,2.5,5.459
ChiSquared,LogPDF,256,PARALLEL,0.917,4.916,5.361
ChiSquared,LogPDF,512,PARALLEL,1.916,9.75,5.089
ChiSquared,LogPDF,1000,PARALLEL,3.75,18.958,5.055
ChiSquared,LogPDF,2000,VECTORIZED,9.209,38.0,4.126
ChiSquared,LogPDF,5000,VECTORIZED,24.0,94.583,3.941
ChiSquared,LogPDF,10000,VECTORIZED,49.625,189.125,3.811
ChiSquared,LogPDF,20000,VECTORIZED,99.25,378.667,3.815
ChiSquared,LogPDF,50000,WORK_STEALING,172.333,946.0,5.489
ChiSquared,LogPDF,100000,PARALLEL,154.959,1891.333,12.205
ChiSquared,LogPDF,250000,PARALLEL,320.792,4730.958,14.748
ChiSquared,LogPDF,500000,PARALLEL,523.375,9580.083,18.304
ChiSquared,PDF,8,PARALLEL,0.083,0.333,4.012
ChiSquared,PDF,16,PARALLEL,0.166,0.625,3.765
ChiSquared,PDF,32,WORK_STEALING,0.25,1.209,4.836
ChiSquared,PDF,64,PARALLEL,0.5,2.458,4.916
ChiSquared,PDF,128,PARALLEL,0.959,4.834,5.041
ChiSquared,PDF,256,PARALLEL,1.917,9.667,5.043
ChiSquared,PDF,512,PARALLEL,3.791,19.292,5.089
ChiSquared,PDF,1000,PARALLEL,7.375,38.333,5.198
ChiSquared,PDF,2000,VECTORIZED,14.417,75.417,5.231
ChiSquared,PDF,5000,VECTORIZED,37.708,188.083,4.988
ChiSquared,PDF,10000,VECTORIZED,77.584,378.625,4.88
ChiSquared,PDF,20000,PARALLEL,106.0,757.667,7.148
ChiSquared,PDF,50000,PARALLEL,158.125,1886.125,11.928
ChiSquared,PDF,100000,PARALLEL,255.625,3769.458,14.746
ChiSquared,PDF,250000,PARALLEL,570.042,9440.792,16.562
ChiSquared,PDF,500000,PARALLEL,1128.792,18832.084,16.683
Discrete,CDF,8,VECTORIZED,0.042,0.167,3.976
Discrete,CDF,16,VECTORIZED,0.125,0.667,5.336
Discrete,CDF,32,VECTORIZED,0.167,1.416,8.479
Discrete,CDF,64,VECTORIZED,0.25,2.709,10.836
Discrete,CDF,128,VECTORIZED,0.125,2.167,17.336
Discrete,CDF,256,VECTORIZED,0.25,4.417,17.668
Discrete,CDF,512,VECTORIZED,0.542,8.709,16.068
Discrete,CDF,1000,PARALLEL,1.125,17.0,15.111
