distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,,64,VECTORIZED,23781.375,500000
Beta,LogPDF,16,8,512,VECTORIZED,8676.917,500000
Beta,PDF,16,8,512,VECTORIZED,11965.083,500000
ChiSquared,CDF,8,8,8,PARALLEL,5210.25,500000
ChiSquared,LogPDF,8,8,5000,PARALLEL,523.375,500000
ChiSquared,PDF,8,8,32,PARALLEL,1128.792,500000
Discrete,CDF,8,1000,16,PARALLEL,315.375,500000
Discrete,LogPDF,8,250000,32,PARALLEL,216.834,500000
Discrete,PDF,8,250000,128,PARALLEL,196.459,500000
Exponential,CDF,8,8,128,WORK_STEALING,435.625,500000
Exponential,LogPDF,8,32,256,PARALLEL,137.417,500000
Exponential,PDF,8,8,512,PARALLEL,436.958,500000
Gamma,CDF,8,8,32,WORK_STEALING,5509.708,500000
Gamma,LogPDF,8,8,8,PARALLEL,581.334,500000
Gamma,PDF,8,8,10000,PARALLEL,1025.042,500000
Gaussian,CDF,8,8,16,WORK_STEALING,1521.042,500000
Gaussian,LogPDF,8,8,8,PARALLEL,119.25,500000
Gaussian,PDF,8,16,512,WORK_STEALING,389.791,500000
Poisson,CDF,16,2000,16,WORK_STEALING,4896.791,500000
Poisson,LogPDF,8,16,8,PARALLEL,853.167,500000
Poisson,PDF,8,20000,16,WORK_STEALING,1440.708,500000
StudentT,CDF,8,8,8,WORK_STEALING,44558.542,500000
StudentT,LogPDF,8,64,16,PARALLEL,704.5,500000
StudentT,PDF,8,16,32,PARALLEL,1034.042,500000
Uniform,CDF,8,16,512,WORK_STEALING,413.292,500000
Uniform,LogPDF,8,,16,VECTORIZED,335.208,500000
Uniform,PDF,8,,32,VECTORIZED,335.292,500000
