distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.252,1.658,1.324
Beta,CDF,16,VECTORIZED,2.437,3.297,1.353
Beta,CDF,32,VECTORIZED,4.524,6.302,1.393
Beta,CDF,64,VECTORIZED,8.263,11.549,1.398
Beta,CDF,128,VECTORIZED,18.766,25.949,1.383
Beta,CDF,256,VECTORIZED,39.654,53.871,1.359
Beta,CDF,512,VECTORIZED,73.947,107.63,1.456
Beta,CDF,1000,VECTORIZED,150.541,211.037,1.402
Beta,CDF,2000,VECTORIZED,293.511,421.688,1.437
Beta,CDF,5000,VECTORIZED,733.541,1101.81,1.502
Beta,CDF,10000,VECTORIZED,1497.362,2076.387,1.387
Beta,CDF,20000,VECTORIZED,3058.145,4261.475,1.393
Beta,CDF,50000,VECTORIZED,7394.72,10196.959,1.379
Beta,CDF,100000,VECTORIZED,14874.081,20411.823,1.372
Beta,CDF,250000,VECTORIZED,39713.597,54558.686,1.374
Beta,CDF,500000,VECTORIZED,76353.624,108133.486,1.416
Beta,LogPDF,8,WORK_STEALING,0.58,0.776,1.338
Beta,LogPDF,16,WORK_STEALING,0.821,1.521,1.853
Beta,LogPDF,32,WORK_STEALING,1.434,2.82,1.967
Beta,LogPDF,64,WORK_STEALING,2.676,5.717,2.136
Beta,LogPDF,128,VECTORIZED,3.803,12.151,3.195
Beta,LogPDF,256,VECTORIZED,6.28,22.399,3.567
Beta,LogPDF,512,VECTORIZED,14.928,48.628,3.258
Beta,LogPDF,1000,VECTORIZED,28.851,96.709,3.352
Beta,LogPDF,2000,VECTORIZED,58.787,193.631,3.294
Beta,LogPDF,5000,VECTORIZED,139.933,447.077,3.195
Beta,LogPDF,10000,VECTORIZED,322.386,904.276,2.805
Beta,LogPDF,20000,VECTORIZED,604.568,2149.963,3.556
Beta,LogPDF,50000,VECTORIZED,1404.607,4916.122,3.5
Beta,LogPDF,100000,VECTORIZED,2926.962,9512.36,3.25
Beta,LogPDF,250000,VECTORIZED,8077.815,23750.288,2.94
Beta,LogPDF,500000,VECTORIZED,16603.17,47104.603,2.837
Beta,PDF,8,WORK_STEALING,0.678,0.942,1.389
Beta,PDF,16,WORK_STEALING,1.081,1.751,1.62
Beta,PDF,32,VECTORIZED,1.902,3.43,1.803
Beta,PDF,64,VECTORIZED,3.118,6.588,2.113
Beta,PDF,128,VECTORIZED,4.085,13.785,3.375
Beta,PDF,256,VECTORIZED,7.537,26.973,3.579
Beta,PDF,512,VECTORIZED,16.861,56.362,3.343
Beta,PDF,1000,VECTORIZED,33.569,114.508,3.411
Beta,PDF,2000,VECTORIZED,61.234,221.998,3.625
Beta,PDF,5000,VECTORIZED,159.332,565.452,3.549
Beta,PDF,10000,VECTORIZED,343.525,1104.677,3.216
Beta,PDF,20000,VECTORIZED,653.35,2208.022,3.38
Beta,PDF,50000,VECTORIZED,1666.887,5515.97,3.309
Beta,PDF,100000,VECTORIZED,3421.353,10872.491,3.178
Beta,PDF,250000,VECTORIZED,9261.105,28862.668,3.117
Beta,PDF,500000,VECTORIZED,18759.322,55909.674,2.98
ChiSquared,CDF,8,WORK_STEALING,0.761,1.247,1.639
ChiSquared,CDF,16,PARALLEL,1.451,2.448,1.687
ChiSquared,CDF,32,WORK_STEALING,2.688,4.956,1.844
ChiSquared,CDF,64,WORK_STEALING,5.254,10.072,1.917
ChiSquared,CDF,128,WORK_STEALING,10.489,20.093,1.916
ChiSquared,CDF,256,WORK_STEALING,22.251,41.893,1.883
ChiSquared,CDF,512,WORK_STEALING,45.382,82.09,1.809
ChiSquared,CDF,1000,WORK_STEALING,89.524,164.5,1.837
ChiSquared,CDF,2000,WORK_STEALING,189.098,341.462,1.806
ChiSquared,CDF,5000,WORK_STEALING,400.891,802.052,2.001
ChiSquared,CDF,10000,WORK_STEALING,475.294,1653.611,3.479
ChiSquared,CDF,20000,WORK_STEALING,598.151,3380.129,5.651
ChiSquared,CDF,50000,WORK_STEALING,1275.405,8866.315,6.952
