distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.375,0.5,1.333
Beta,CDF,16,VECTORIZED,0.75,1.0,1.333
Beta,CDF,32,VECTORIZED,1.416,2.0,1.412
Beta,CDF,64,VECTORIZED,2.625,3.5,1.333
Beta,CDF,128,VECTORIZED,5.625,7.667,1.363
Beta,CDF,256,VECTORIZED,11.959,16.25,1.359
Beta,CDF,512,VECTORIZED,22.666,30.291,1.336
Beta,CDF,1000,VECTORIZED,44.833,60.334,1.346
Beta,CDF,2000,VECTORIZED,92.5,123.0,1.33
Beta,CDF,5000,VECTORIZED,229.541,307.375,1.339
Beta,CDF,10000,VECTORIZED,458.042,610.75,1.333
Beta,CDF,20000,VECTORIZED,912.083,1214.25,1.331
Beta,CDF,50000,VECTORIZED,2372.0,3097.417,1.306
Beta,CDF,100000,VECTORIZED,5903.666,7648.958,1.296
Beta,CDF,250000,VECTORIZED,11486.542,15244.875,1.327
Beta,CDF,500000,VECTORIZED,22979.416,30511.208,1.328
Beta,LogPDF,8,PARALLEL,0.125,0.167,1.336
Beta,LogPDF,16,PARALLEL,0.208,0.334,1.606
Beta,LogPDF,32,PARALLEL,0.334,0.709,2.123
Beta,LogPDF,64,WORK_STEALING,0.625,1.416,2.266
Beta,LogPDF,128,PARALLEL,1.083,2.916,2.693
Beta,LogPDF,256,WORK_STEALING,1.958,5.75,2.937
Beta,LogPDF,512,WORK_STEALING,4.291,11.584,2.7
Beta,LogPDF,1000,WORK_STEALING,8.75,22.416,2.562
Beta,LogPDF,2000,WORK_STEALING,20.583,45.208,2.196
Beta,LogPDF,5000,WORK_STEALING,54.416,112.375,2.065
Beta,LogPDF,10000,VECTORIZED,204.083,226.042,1.108
Beta,LogPDF,20000,VECTORIZED,326.166,448.375,1.375
Beta,LogPDF,50000,VECTORIZED,832.625,1125.75,1.352
Beta,LogPDF,100000,VECTORIZED,1660.291,2244.708,1.352
Beta,LogPDF,250000,VECTORIZED,4218.208,6379.333,1.512
Beta,LogPDF,500000,VECTORIZED,8464.75,11310.375,1.336
Beta,PDF,8,PARALLEL,0.167,0.208,1.246
Beta,PDF,16,PARALLEL,0.25,0.375,1.5
Beta,PDF,32,PARALLEL,0.458,0.791,1.727
Beta,PDF,64,PARALLEL,0.875,1.583,1.809
Beta,PDF,128,PARALLEL,1.5,3.459,2.306
Beta,PDF,256,WORK_STEALING,2.834,7.25,2.558
Beta,PDF,512,WORK_STEALING,5.959,14.625,2.454
Beta,PDF,1000,WORK_STEALING,12.25,29.208,2.384
Beta,PDF,2000,PARALLEL,28.708,60.833,2.119
Beta,PDF,5000,WORK_STEALING,86.417,151.208,1.75
Beta,PDF,10000,VECTORIZED,226.625,304.042,1.342
Beta,PDF,20000,VECTORIZED,462.5,611.167,1.321
Beta,PDF,50000,VECTORIZED,1192.542,1520.875,1.275
Beta,PDF,100000,VECTORIZED,2425.792,3046.25,1.256
Beta,PDF,250000,VECTORIZED,5993.75,7630.375,1.273
Beta,PDF,500000,SCALAR,15195.792,15195.792,1.0
ChiSquared,CDF,8,VECTORIZED,0.208,0.333,1.601
ChiSquared,CDF,16,WORK_STEALING,0.416,0.709,1.704
ChiSquared,CDF,32,PARALLEL,0.75,1.458,1.944
ChiSquared,CDF,64,WORK_STEALING,1.417,3.25,2.294
ChiSquared,CDF,128,VECTORIZED,3.25,6.792,2.09
ChiSquared,CDF,256,VECTORIZED,6.125,14.25,2.327
ChiSquared,CDF,512,VECTORIZED,14.208,28.25,1.988
ChiSquared,CDF,1000,VECTORIZED,32.5,56.208,1.729
ChiSquared,CDF,2000,PARALLEL,63.625,113.791,1.788
ChiSquared,CDF,5000,PARALLEL,105.084,286.916,2.73
ChiSquared,CDF,10000,PARALLEL,193.666,1348.375,6.962
ChiSquared,CDF,20000,PARALLEL,287.75,1146.208,3.983
ChiSquared,CDF,50000,PARALLEL,534.5,2883.291,5.394
ChiSquared,CDF,100000,PARALLEL,1124.417,5748.333,5.112
ChiSquared,CDF,250000,PARALLEL,2544.417,14364.125,5.645
ChiSquared,CDF,500000,PARALLEL,5311.209,34489.792,6.494
ChiSquared,LogPDF,8,PARALLEL,0.042,0.167,3.976
ChiSquared,LogPDF,16,WORK_STEALING,0.083,0.334,4.024
ChiSquared,LogPDF,32,PARALLEL,0.166,0.667,4.018
ChiSquared,LogPDF,64,WORK_STEALING,0.209,1.25,5.981
ChiSquared,LogPDF,128,WORK_STEALING,0.458,2.458,5.367
ChiSquared,LogPDF,256,WORK_STEALING,0.875,4.875,5.571
ChiSquared,LogPDF,512,WORK_STEALING,1.709,9.708,5.681
ChiSquared,LogPDF,1000,WORK_STEALING,3.333,18.959,5.688
ChiSquared,LogPDF,2000,VECTORIZED,8.792,37.875,4.308
ChiSquared,LogPDF,5000,VECTORIZED,23.0,94.541,4.11
ChiSquared,LogPDF,10000,VECTORIZED,48.041,189.208,3.938
ChiSquared,LogPDF,20000,VECTORIZED,95.542,378.292,3.959
ChiSquared,LogPDF,50000,WORK_STEALING,179.958,945.542,5.254
ChiSquared,LogPDF,100000,PARALLEL,157.042,1892.875,12.053
ChiSquared,LogPDF,250000,PARALLEL,303.5,4736.375,15.606
ChiSquared,LogPDF,500000,PARALLEL,536.334,11370.666,21.201
ChiSquared,PDF,8,PARALLEL,0.084,0.333,3.964
ChiSquared,PDF,16,PARALLEL,0.166,0.625,3.765
ChiSquared,PDF,32,WORK_STEALING,0.25,1.25,5.0
ChiSquared,PDF,64,PARALLEL,0.5,2.417,4.834
ChiSquared,PDF,128,PARALLEL,0.958,4.833,5.045
ChiSquared,PDF,256,PARALLEL,1.875,9.625,5.133
ChiSquared,PDF,512,WORK_STEALING,3.625,19.167,5.287
ChiSquared,PDF,1000,WORK_STEALING,7.083,37.625,5.312
ChiSquared,PDF,2000,VECTORIZED,14.25,74.833,5.251
ChiSquared,PDF,5000,VECTORIZED,35.875,187.375,5.223
ChiSquared,PDF,10000,VECTORIZED,75.542,374.708,4.96
ChiSquared,PDF,20000,WORK_STEALING,128.583,747.958,5.817
ChiSquared,PDF,50000,PARALLEL,242.959,1874.167,7.714
ChiSquared,PDF,100000,PARALLEL,266.417,3748.834,14.071
ChiSquared,PDF,250000,PARALLEL,543.292,9369.291,17.245
ChiSquared,PDF,500000,PARALLEL,1522.083,18767.625,12.33
Discrete,CDF,8,VECTORIZED,0.042,0.166,3.952
Discrete,CDF,16,VECTORIZED,0.042,0.292,6.952
Discrete,CDF,32,VECTORIZED,0.042,0.625,14.881
Discrete,CDF,64,VECTORIZED,0.083,1.208,14.554
Discrete,CDF,128,VECTORIZED,0.125,2.209,17.672
Discrete,CDF,256,VECTORIZED,0.25,4.542,18.168
Discrete,CDF,512,PARALLEL,0.583,8.833,15.151
Discrete,CDF,1000,VECTORIZED,1.166,17.334,14.866
Discrete,CDF,2000,VECTORIZED,2.333,35.167,15.074
Discrete,CDF,5000,VECTORIZED,6.375,86.417,13.556
Discrete,CDF,10000,VECTORIZED,13.375,174.334,13.034
Discrete,CDF,20000,VECTORIZED,27.125,348.167,12.836
Discrete,CDF,50000,VECTORIZED,70.209,868.875,12.376
Discrete,CDF,100000,WORK_STEALING,114.708,1741.541,15.182
Discrete,CDF,250000,PARALLEL,174.833,4341.166,24.83
Discrete,CDF,500000,PARALLEL,311.125,8669.417,27.865
Discrete,LogPDF,8,VECTORIZED,0.042,0.167,3.976
Discrete,LogPDF,16,VECTORIZED,0.041,0.333,8.122
Discrete,LogPDF,32,VECTORIZED,0.042,0.666,15.857
Discrete,LogPDF,64,VECTORIZED,0.083,1.291,15.554
Discrete,LogPDF,128,VECTORIZED,0.167,2.5,14.97
Discrete,LogPDF,256,VECTORIZED,0.292,4.917,16.839
Discrete,LogPDF,512,VECTORIZED,0.542,9.792,18.066
Discrete,LogPDF,1000,VECTORIZED,1.042,19.0,18.234
Discrete,LogPDF,2000,VECTORIZED,2.125,38.125,17.941
Discrete,LogPDF,5000,VECTORIZED,5.125,95.292,18.594
Discrete,LogPDF,10000,VECTORIZED,10.125,190.166,18.782
Discrete,LogPDF,20000,VECTORIZED,20.125,380.084,18.886
Discrete,LogPDF,50000,VECTORIZED,50.25,952.125,18.948
Discrete,LogPDF,100000,VECTORIZED,100.5,1893.541,18.841
Discrete,LogPDF,250000,PARALLEL,145.833,4753.917,32.598
Discrete,LogPDF,500000,PARALLEL,221.25,9531.417,43.08
Discrete,PDF,8,VECTORIZED,0.042,0.167,3.976
Discrete,PDF,16,VECTORIZED,0.041,0.333,8.122
Discrete,PDF,32,VECTORIZED,0.042,0.625,14.881
Discrete,PDF,64,VECTORIZED,0.083,1.25,15.06
Discrete,PDF,128,PARALLEL,0.166,2.459,14.813
Discrete,PDF,256,VECTORIZED,0.292,4.917,16.839
Discrete,PDF,512,VECTORIZED,0.542,9.75,17.989
Discrete,PDF,1000,VECTORIZED,1.042,19.0,18.234
Discrete,PDF,2000,VECTORIZED,2.125,37.959,17.863
Discrete,PDF,5000,VECTORIZED,5.125,94.834,18.504
Discrete,PDF,10000,VECTORIZED,10.125,189.666,18.732
Discrete,PDF,20000,VECTORIZED,20.208,381.083,18.858
Discrete,PDF,50000,VECTORIZED,50.25,950.458,18.915
Discrete,PDF,100000,VECTORIZED,100.833,1897.708,18.82
Discrete,PDF,250000,PARALLEL,127.5,4743.958,37.208
Discrete,PDF,500000,PARALLEL,173.625,9496.709,54.697
Exponential,CDF,8,PARALLEL,0.042,0.167,3.976
Exponential,CDF,16,PARALLEL,0.083,0.333,4.012
Exponential,CDF,32,PARALLEL,0.125,0.625,5.0
Exponential,CDF,64,PARALLEL,0.208,1.25,6.01
Exponential,CDF,128,WORK_STEALING,0.375,2.458,6.555
Exponential,CDF,256,WORK_STEALING,0.75,4.792,6.389
Exponential,CDF,512,WORK_STEALING,1.417,9.625,6.793
Exponential,CDF,1000,WORK_STEALING,2.791,18.791,6.733
Exponential,CDF,2000,VECTORIZED,7.208,37.5,5.203
Exponential,CDF,5000,VECTORIZED,17.75,93.584,5.272
Exponential,CDF,10000,VECTORIZED,35.5,187.459,5.281
Exponential,CDF,20000,WORK_STEALING,74.583,376.375,5.046
Exponential,CDF,50000,WORK_STEALING,76.333,941.708,12.337
Exponential,CDF,100000,PARALLEL,144.25,1870.542,12.967
Exponential,CDF,250000,PARALLEL,242.459,4703.75,19.4
Exponential,CDF,500000,PARALLEL,483.708,9367.833,19.367
Exponential,LogPDF,8,WORK_STEALING,0.041,0.167,4.073
Exponential,LogPDF,16,WORK_STEALING,0.041,0.333,8.122
Exponential,LogPDF,32,WORK_STEALING,0.041,0.625,15.244
Exponential,LogPDF,64,WORK_STEALING,0.042,1.291,30.738
Exponential,LogPDF,128,WORK_STEALING,0.042,2.458,58.524
Exponential,LogPDF,256,WORK_STEALING,0.083,4.792,57.735
Exponential,LogPDF,512,WORK_STEALING,0.084,9.75,116.071
Exponential,LogPDF,1000,WORK_STEALING,0.167,19.0,113.772
Exponential,LogPDF,2000,VECTORIZED,1.5,37.417,24.945
Exponential,LogPDF,5000,VECTORIZED,3.5,94.833,27.095
Exponential,LogPDF,10000,VECTORIZED,7.292,190.125,26.073
Exponential,LogPDF,20000,VECTORIZED,13.542,378.125,27.922
