distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,,128,VECTORIZED,22979.416,500000
Beta,LogPDF,16,8,64,VECTORIZED,8464.75,500000
Beta,PDF,16,8,256,SCALAR,15195.792,500000
ChiSquared,CDF,8,32,16,PARALLEL,5311.209,500000
ChiSquared,LogPDF,8,8,16,PARALLEL,536.334,500000
ChiSquared,PDF,8,8,32,PARALLEL,1522.083,500000
Discrete,CDF,8,512,64,PARALLEL,311.125,500000
Discrete,LogPDF,8,250000,32,PARALLEL,221.25,500000
Discrete,PDF,8,128,16,PARALLEL,173.625,500000
Exponential,CDF,8,8,128,PARALLEL,483.708,500000
Exponential,LogPDF,8,8,8,PARALLEL,101.25,500000
Exponential,PDF,8,8,64,PARALLEL,441.292,500000
Gamma,CDF,8,8,8,WORK_STEALING,4233.333,500000
Gamma,LogPDF,8,8,8,PARALLEL,586.208,500000
Gamma,PDF,8,8,16,PARALLEL,1034.167,500000
Gaussian,CDF,8,8,128,WORK_STEALING,1259.875,500000
Gaussian,LogPDF,8,8,8,WORK_STEALING,158.584,500000
Gaussian,PDF,8,8,256,WORK_STEALING,368.75,500000
Poisson,CDF,128,2000,32,WORK_STEALING,4841.25,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,772.291,500000
Poisson,PDF,8,50000,64,WORK_STEALING,1274.417,500000
StudentT,CDF,8,8,64,PARALLEL,44347.791,500000
StudentT,LogPDF,16,8,16,PARALLEL,680.625,500000
StudentT,PDF,8,16,32,WORK_STEALING,949.042,500000
Uniform,CDF,8,8,64,WORK_STEALING,453.166,500000
Uniform,LogPDF,8,,32,VECTORIZED,89.375,500000
Uniform,PDF,8,,128,VECTORIZED,89.75,500000
