distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.824,2.278,1.249
Beta,CDF,16,VECTORIZED,3.687,4.48,1.215
Beta,CDF,32,VECTORIZED,6.567,8.273,1.26
Beta,CDF,64,VECTORIZED,12.087,15.262,1.263
Beta,CDF,128,VECTORIZED,26.992,34.087,1.263
Beta,CDF,256,VECTORIZED,55.603,70.395,1.266
Beta,CDF,512,VECTORIZED,104.853,133.026,1.269
Beta,CDF,1000,VECTORIZED,204.678,261.676,1.278
Beta,CDF,2000,VECTORIZED,415.186,528.214,1.272
Beta,CDF,5000,VECTORIZED,1031.968,1312.694,1.272
Beta,CDF,10000,VECTORIZED,2055.77,2638.883,1.284
Beta,CDF,20000,VECTORIZED,4121.391,5303.753,1.287
Beta,CDF,50000,VECTORIZED,10509.694,13645.976,1.298
Beta,CDF,100000,VECTORIZED,21408.717,27187.49,1.27
Beta,CDF,250000,VECTORIZED,55862.159,70341.281,1.259
Beta,CDF,500000,VECTORIZED,108210.939,136394.416,1.26
Beta,LogPDF,8,WORK_STEALING,0.789,0.841,1.066
Beta,LogPDF,16,PARALLEL,1.134,1.614,1.423
Beta,LogPDF,32,WORK_STEALING,1.774,3.107,1.751
Beta,LogPDF,64,WORK_STEALING,3.265,5.909,1.81
Beta,LogPDF,128,VECTORIZED,5.16,12.21,2.366
Beta,LogPDF,256,VECTORIZED,9.32,24.528,2.632
Beta,LogPDF,512,VECTORIZED,19.206,48.958,2.549
Beta,LogPDF,1000,VECTORIZED,37.28,95.221,2.554
Beta,LogPDF,2000,VECTORIZED,72.463,190.196,2.625
Beta,LogPDF,5000,VECTORIZED,188.49,474.843,2.519
Beta,LogPDF,10000,VECTORIZED,377.767,951.118,2.518
Beta,LogPDF,20000,VECTORIZED,766.098,1919.34,2.505
Beta,LogPDF,50000,VECTORIZED,1918.572,4855.107,2.531
Beta,LogPDF,100000,VECTORIZED,3937.124,10055.888,2.554
Beta,LogPDF,250000,VECTORIZED,10306.767,26880.563,2.608
Beta,LogPDF,500000,VECTORIZED,21277.706,54250.002,2.55
Beta,PDF,8,WORK_STEALING,0.912,1.037,1.137
Beta,PDF,16,PARALLEL,1.362,1.967,1.444
Beta,PDF,32,PARALLEL,2.396,3.689,1.54
Beta,PDF,64,WORK_STEALING,4.294,7.117,1.657
Beta,PDF,128,VECTORIZED,6.006,14.715,2.45
Beta,PDF,256,VECTORIZED,10.98,29.791,2.713
Beta,PDF,512,VECTORIZED,22.243,58.461,2.628
Beta,PDF,1000,VECTORIZED,43.503,114.29,2.627
Beta,PDF,2000,VECTORIZED,86.042,228.795,2.659
Beta,PDF,5000,VECTORIZED,223.072,571.624,2.563
Beta,PDF,10000,VECTORIZED,440.552,1139.424,2.586
Beta,PDF,20000,VECTORIZED,895.672,2299.9,2.568
Beta,PDF,50000,VECTORIZED,2238.532,5801.108,2.591
Beta,PDF,100000,VECTORIZED,4499.069,11534.897,2.564
Beta,PDF,250000,VECTORIZED,11863.217,29528.332,2.489
Beta,PDF,500000,VECTORIZED,24361.364,59917.84,2.46
ChiSquared,CDF,8,PARALLEL,0.928,1.518,1.636
ChiSquared,CDF,16,PARALLEL,1.92,2.977,1.551
ChiSquared,CDF,32,PARALLEL,3.513,5.915,1.684
ChiSquared,CDF,64,PARALLEL,7.138,11.891,1.666
ChiSquared,CDF,128,PARALLEL,14.178,23.74,1.674
ChiSquared,CDF,256,WORK_STEALING,28.433,47.412,1.667
ChiSquared,CDF,512,WORK_STEALING,57.368,94.417,1.646
ChiSquared,CDF,1000,WORK_STEALING,114.515,185.249,1.618
ChiSquared,CDF,2000,WORK_STEALING,231.114,371.916,1.609
ChiSquared,CDF,5000,WORK_STEALING,383.755,931.059,2.426
ChiSquared,CDF,10000,WORK_STEALING,406.415,1865.907,4.591
