distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,,16,VECTORIZED,108210.939,500000
Beta,LogPDF,32,8,8,VECTORIZED,21277.706,500000
Beta,PDF,32,8,8,VECTORIZED,24361.364,500000
ChiSquared,CDF,16,8,256,WORK_STEALING,9477.315,500000
ChiSquared,LogPDF,16,8,128,WORK_STEALING,1734.745,500000
ChiSquared,PDF,8,8,512,WORK_STEALING,2833.422,500000
Discrete,CDF,8,100000,64,WORK_STEALING,829.916,500000
Discrete,LogPDF,8,100000,64,WORK_STEALING,756.407,500000
Discrete,PDF,8,128,5000,WORK_STEALING,555.283,500000
Exponential,CDF,8,8,64,WORK_STEALING,1263.703,500000
Exponential,LogPDF,8,8,32,WORK_STEALING,400.822,500000
Exponential,PDF,8,8,128,WORK_STEALING,1356.76,500000
Gamma,CDF,16,8,16,WORK_STEALING,8921.626,500000
Gamma,LogPDF,16,8,64,WORK_STEALING,1606.919,500000
Gamma,PDF,8,8,64,WORK_STEALING,3124.022,500000
Gaussian,CDF,8,,2000,WORK_STEALING,3611.076,500000
Gaussian,LogPDF,8,8,5000,PARALLEL,238.987,500000
Gaussian,PDF,8,8,1000,WORK_STEALING,1038.997,500000
Poisson,CDF,128,64,32,WORK_STEALING,12707.912,500000
Poisson,LogPDF,8,50000,64,WORK_STEALING,2188.146,500000
Poisson,PDF,8,2000,64,WORK_STEALING,4655.665,500000
StudentT,CDF,8,8,8,PARALLEL,169793.972,500000
StudentT,LogPDF,8,100000,8,WORK_STEALING,2484.48,500000
StudentT,PDF,16,8,64,WORK_STEALING,4707.626,500000
Uniform,CDF,8,8,256,WORK_STEALING,601.362,500000
Uniform,LogPDF,8,,64,VECTORIZED,484.381,500000
Uniform,PDF,8,,8,VECTORIZED,446.261,500000
