distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.0,1.1,1.1
Beta,CDF,16,VECTORIZED,2.3,2.4,1.043
Beta,CDF,32,VECTORIZED,4.4,4.7,1.068
Beta,CDF,64,VECTORIZED,8.0,8.9,1.113
Beta,CDF,128,WORK_STEALING,12.6,18.9,1.5
Beta,CDF,256,VECTORIZED,23.1,25.6,1.108
Beta,CDF,512,VECTORIZED,46.2,51.0,1.104
Beta,CDF,1000,VECTORIZED,90.5,98.9,1.093
Beta,CDF,2000,VECTORIZED,185.6,203.5,1.096
Beta,CDF,5000,VECTORIZED,461.1,501.7,1.088
Beta,CDF,10000,VECTORIZED,944.3,1013.0,1.073
Beta,CDF,20000,VECTORIZED,1918.2,2066.0,1.077
Beta,CDF,50000,VECTORIZED,4867.0,5197.1,1.068
Beta,CDF,100000,VECTORIZED,9742.3,10620.1,1.09
Beta,CDF,250000,VECTORIZED,24705.2,26920.1,1.09
Beta,CDF,500000,SCALAR,53781.2,53781.2,1.0
Beta,LogPDF,8,SCALAR,0.1,0.1,1.0
Beta,LogPDF,16,WORK_STEALING,0.3,0.5,1.667
Beta,LogPDF,32,VECTORIZED,0.5,0.6,1.2
Beta,LogPDF,64,VECTORIZED,1.2,1.8,1.5
Beta,LogPDF,128,VECTORIZED,1.3,2.1,1.615
Beta,LogPDF,256,VECTORIZED,1.5,2.8,1.867
Beta,LogPDF,512,VECTORIZED,2.8,5.5,1.964
Beta,LogPDF,1000,VECTORIZED,5.2,10.8,2.077
Beta,LogPDF,2000,VECTORIZED,10.2,21.6,2.118
Beta,LogPDF,5000,VECTORIZED,25.8,53.7,2.081
Beta,LogPDF,10000,VECTORIZED,101.4,186.8,1.842
Beta,LogPDF,20000,VECTORIZED,105.5,238.5,2.261
Beta,LogPDF,50000,VECTORIZED,284.5,751.5,2.641
Beta,LogPDF,100000,VECTORIZED,980.6,1266.9,1.292
Beta,LogPDF,250000,VECTORIZED,2005.5,3220.7,1.606
Beta,LogPDF,500000,VECTORIZED,4433.4,6434.6,1.451
Beta,PDF,8,SCALAR,0.2,0.2,1.0
Beta,PDF,16,VECTORIZED,0.4,0.5,1.25
Beta,PDF,32,VECTORIZED,0.6,0.8,1.333
Beta,PDF,64,VECTORIZED,1.5,2.4,1.6
Beta,PDF,128,VECTORIZED,1.6,3.0,1.875
Beta,PDF,256,VECTORIZED,1.8,4.1,2.278
Beta,PDF,512,VECTORIZED,3.5,8.0,2.286
Beta,PDF,1000,VECTORIZED,6.6,15.6,2.364
Beta,PDF,2000,VECTORIZED,12.8,31.6,2.469
Beta,PDF,5000,VECTORIZED,32.5,78.4,2.412
Beta,PDF,10000,VECTORIZED,65.0,157.3,2.42
Beta,PDF,20000,VECTORIZED,181.1,341.5,1.886
Beta,PDF,50000,VECTORIZED,369.3,848.0,2.296
Beta,PDF,100000,VECTORIZED,835.5,1741.7,2.085
Beta,PDF,250000,VECTORIZED,2744.4,4498.8,1.639
Beta,PDF,500000,VECTORIZED,5384.4,9004.9,1.672
ChiSquared,CDF,8,WORK_STEALING,0.3,0.4,1.333
ChiSquared,CDF,16,PARALLEL,0.7,0.8,1.143
ChiSquared,CDF,32,VECTORIZED,1.4,1.6,1.143
ChiSquared,CDF,64,VECTORIZED,2.7,3.0,1.111
ChiSquared,CDF,128,PARALLEL,5.3,6.1,1.151
ChiSquared,CDF,256,PARALLEL,10.4,12.1,1.163
ChiSquared,CDF,512,PARALLEL,20.8,24.2,1.163
ChiSquared,CDF,1000,WORK_STEALING,40.6,47.1,1.16
ChiSquared,CDF,2000,VECTORIZED,82.0,94.3,1.15
ChiSquared,CDF,5000,WORK_STEALING,227.3,254.7,1.121
ChiSquared,CDF,10000,PARALLEL,163.4,535.2,3.275
ChiSquared,CDF,20000,PARALLEL,280.7,1044.8,3.722
ChiSquared,CDF,50000,PARALLEL,592.0,2686.0,4.537
ChiSquared,CDF,100000,PARALLEL,1022.5,5470.9,5.351
ChiSquared,CDF,250000,PARALLEL,3035.4,13978.1,4.605
ChiSquared,CDF,500000,PARALLEL,6003.6,27969.0,4.659
ChiSquared,LogPDF,8,SCALAR,0.1,0.1,1.0
ChiSquared,LogPDF,16,PARALLEL,0.1,0.2,2.0
ChiSquared,LogPDF,32,WORK_STEALING,0.1,0.3,3.0
ChiSquared,LogPDF,64,WORK_STEALING,0.2,0.5,2.5
ChiSquared,LogPDF,128,VECTORIZED,0.5,1.1,2.2
ChiSquared,LogPDF,256,VECTORIZED,0.9,2.1,2.333
ChiSquared,LogPDF,512,VECTORIZED,1.3,4.3,3.308
