distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,500000,64,SCALAR,53781.2,500000
Beta,LogPDF,16,,8,VECTORIZED,4433.4,500000
Beta,PDF,16,,64,VECTORIZED,5384.4,500000
ChiSquared,CDF,32,8,8,PARALLEL,6003.6,500000
ChiSquared,LogPDF,32,16,32,PARALLEL,551.4,500000
ChiSquared,PDF,8,50000,2000,PARALLEL,998.0,500000
Discrete,CDF,16,50000,8,PARALLEL,318.9,500000
Discrete,LogPDF,8,250000,10000,PARALLEL,260.7,500000
Discrete,PDF,8,128,8,PARALLEL,183.9,500000
Exponential,CDF,8,100000,1000,PARALLEL,411.1,500000
Exponential,LogPDF,16,8,10000,PARALLEL,138.7,500000
Exponential,PDF,8,50000,512,PARALLEL,426.8,500000
Gamma,CDF,8,8,1000,PARALLEL,5087.1,500000
Gamma,LogPDF,8,16,128,PARALLEL,664.7,500000
Gamma,PDF,8,20000,256,PARALLEL,1218.5,500000
Gaussian,CDF,16,50000,64,PARALLEL,825.6,500000
Gaussian,LogPDF,8,,10000,VECTORIZED,137.8,500000
Gaussian,PDF,8,100000,256,PARALLEL,532.0,500000
Poisson,CDF,16,10000,16,PARALLEL,5648.4,500000
Poisson,LogPDF,16,20000,128,PARALLEL,769.7,500000
Poisson,PDF,8,10000,8,WORK_STEALING,1567.0,500000
StudentT,CDF,8,64,8,VECTORIZED,67776.8,500000
StudentT,LogPDF,32,250000,16,PARALLEL,975.4,500000
StudentT,PDF,8,20000,8,PARALLEL,1167.8,500000
Uniform,CDF,8,64,8,PARALLEL,551.7,500000
Uniform,LogPDF,16,50000,512,PARALLEL,527.2,500000
Uniform,PDF,8,256,5000,PARALLEL,490.3,500000
