distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.097,1.817,1.656
Beta,CDF,16,VECTORIZED,1.984,3.556,1.792
Beta,CDF,32,VECTORIZED,3.548,6.611,1.863
Beta,CDF,64,VECTORIZED,6.381,12.573,1.97
Beta,CDF,128,WORK_STEALING,14.111,27.602,1.956
Beta,CDF,256,WORK_STEALING,28.823,56.481,1.96
Beta,CDF,512,WORK_STEALING,54.3,107.625,1.982
Beta,CDF,1000,WORK_STEALING,105.994,212.595,2.006
Beta,CDF,2000,VECTORIZED,222.632,473.632,2.127
Beta,CDF,5000,PARALLEL,449.703,1118.94,2.488
Beta,CDF,10000,WORK_STEALING,560.29,2148.766,3.835
Beta,CDF,20000,PARALLEL,784.48,4405.126,5.615
Beta,CDF,50000,PARALLEL,1651.929,11398.491,6.9
Beta,CDF,100000,PARALLEL,3183.713,22792.322,7.159
Beta,CDF,250000,PARALLEL,8163.635,55787.81,6.834
Beta,CDF,500000,WORK_STEALING,16463.06,114955.586,6.983
Beta,LogPDF,8,SCALAR,0.775,0.775,1.0
Beta,LogPDF,16,VECTORIZED,1.162,1.626,1.399
Beta,LogPDF,32,WORK_STEALING,1.68,3.041,1.81
Beta,LogPDF,64,PARALLEL,2.86,6.101,2.133
Beta,LogPDF,128,WORK_STEALING,3.708,12.415,3.348
Beta,LogPDF,256,WORK_STEALING,6.428,24.554,3.82
Beta,LogPDF,512,VECTORIZED,14.44,49.025,3.395
Beta,LogPDF,1000,PARALLEL,27.718,95.657,3.451
Beta,LogPDF,2000,VECTORIZED,54.126,196.925,3.638
Beta,LogPDF,5000,PARALLEL,141.339,487.073,3.446
Beta,LogPDF,10000,VECTORIZED,290.569,968.556,3.333
Beta,LogPDF,20000,VECTORIZED,590.994,2093.302,3.542
Beta,LogPDF,50000,WORK_STEALING,1465.803,5194.215,3.544
Beta,LogPDF,100000,VECTORIZED,3018.146,10134.752,3.358
Beta,LogPDF,250000,PARALLEL,7633.494,25087.556,3.287
Beta,LogPDF,500000,WORK_STEALING,15467.154,51173.614,3.309
Beta,PDF,8,SCALAR,0.955,0.955,1.0
Beta,PDF,16,WORK_STEALING,1.289,1.873,1.453
Beta,PDF,32,PARALLEL,1.806,3.512,1.945
Beta,PDF,64,WORK_STEALING,3.023,6.9,2.283
Beta,PDF,128,VECTORIZED,4.077,14.748,3.617
Beta,PDF,256,WORK_STEALING,7.238,29.476,4.072
Beta,PDF,512,WORK_STEALING,15.78,57.895,3.669
Beta,PDF,1000,WORK_STEALING,29.756,114.009,3.831
Beta,PDF,2000,VECTORIZED,57.665,223.829,3.882
Beta,PDF,5000,VECTORIZED,159.43,575.33,3.609
Beta,PDF,10000,VECTORIZED,320.618,1215.951,3.793
Beta,PDF,20000,PARALLEL,665.171,2490.435,3.744
Beta,PDF,50000,PARALLEL,1646.36,6169.045,3.747
Beta,PDF,100000,PARALLEL,3350.305,12408.057,3.704
Beta,PDF,250000,PARALLEL,8564.464,30119.276,3.517
Beta,PDF,500000,WORK_STEALING,17212.631,59999.49,3.486
ChiSquared,CDF,8,PARALLEL,0.819,1.38,1.685
ChiSquared,CDF,16,WORK_STEALING,1.599,2.68,1.676
ChiSquared,CDF,32,WORK_STEALING,2.93,5.359,1.829
ChiSquared,CDF,64,WORK_STEALING,5.811,10.828,1.863
ChiSquared,CDF,128,WORK_STEALING,11.571,21.709,1.876
ChiSquared,CDF,256,WORK_STEALING,23.592,41.666,1.766
ChiSquared,CDF,512,WORK_STEALING,46.302,86.249,1.863
ChiSquared,CDF,1000,WORK_STEALING,99.258,193.515,1.95
ChiSquared,CDF,2000,WORK_STEALING,203.961,354.972,1.74
ChiSquared,CDF,5000,WORK_STEALING,372.59,906.642,2.433
ChiSquared,CDF,10000,WORK_STEALING,501.989,1732.973,3.452
ChiSquared,CDF,20000,WORK_STEALING,737.342,3711.039,5.033
ChiSquared,CDF,50000,WORK_STEALING,1296.963,8876.676,6.844
ChiSquared,CDF,100000,WORK_STEALING,1803.67,17941.617,9.947
ChiSquared,CDF,250000,WORK_STEALING,5620.529,45414.63,8.08
ChiSquared,CDF,500000,WORK_STEALING,10173.235,91752.98,9.019
ChiSquared,LogPDF,8,PARALLEL,0.276,0.774,2.804
ChiSquared,LogPDF,16,PARALLEL,0.419,1.489,3.554
ChiSquared,LogPDF,32,PARALLEL,0.665,2.77,4.165
ChiSquared,LogPDF,64,PARALLEL,1.154,5.503,4.769
ChiSquared,LogPDF,128,VECTORIZED,1.516,11.083,7.311
ChiSquared,LogPDF,256,VECTORIZED,2.452,20.982,8.557
