distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,5000,64,WORK_STEALING,16463.06,500000
Beta,LogPDF,16,32,8,WORK_STEALING,15467.154,500000
Beta,PDF,16,16,16,WORK_STEALING,17212.631,500000
ChiSquared,CDF,8,8,16,WORK_STEALING,10173.235,500000
ChiSquared,LogPDF,8,8,128,WORK_STEALING,1745.612,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,3508.685,500000
Discrete,CDF,8,50000,8,WORK_STEALING,697.397,500000
Discrete,LogPDF,8,64,8,WORK_STEALING,887.837,500000
Discrete,PDF,8,8,8,WORK_STEALING,620.029,500000
Exponential,CDF,8,8,16,WORK_STEALING,1350.192,500000
Exponential,LogPDF,8,8,5000,WORK_STEALING,379.355,500000
Exponential,PDF,8,8,8,WORK_STEALING,1531.303,500000
Gamma,CDF,16,8,8,WORK_STEALING,9727.335,500000
Gamma,LogPDF,16,8,8,WORK_STEALING,1892.544,500000
Gamma,PDF,8,8,16,PARALLEL,5164.695,500000
Gaussian,CDF,8,20000,16,WORK_STEALING,4508.751,500000
Gaussian,LogPDF,8,8,8,PARALLEL,731.596,500000
Gaussian,PDF,8,100000,512,WORK_STEALING,1747.883,500000
Poisson,CDF,64,8,16,WORK_STEALING,12403.537,500000
Poisson,LogPDF,8,20000,16,WORK_STEALING,2374.24,500000
Poisson,PDF,8,8,16,WORK_STEALING,5283.417,500000
StudentT,CDF,8,32,8,WORK_STEALING,122004.586,500000
StudentT,LogPDF,8,8,32,PARALLEL,3221.599,500000
StudentT,PDF,8,250000,32,WORK_STEALING,5357.029,500000
Uniform,CDF,8,8,128,WORK_STEALING,609.0,500000
Uniform,LogPDF,8,16,1000,WORK_STEALING,709.3,500000
Uniform,PDF,8,32,16,VECTORIZED,619.672,500000
