Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.481000
Uniform,PDF,8,VECTORIZED,0.119000
Uniform,PDF,8,PARALLEL,0.121000
Uniform,PDF,8,WORK_STEALING,0.124000
Uniform,LogPDF,8,SCALAR,0.484000
Uniform,LogPDF,8,VECTORIZED,0.128000
Uniform,LogPDF,8,PARALLEL,0.130000
Uniform,LogPDF,8,WORK_STEALING,0.134000
Uniform,CDF,8,SCALAR,0.562000
Uniform,CDF,8,VECTORIZED,0.141000
Uniform,CDF,8,PARALLEL,0.122000
Uniform,CDF,8,WORK_STEALING,0.188000
Uniform,PDF,16,SCALAR,1.170000
Uniform,PDF,16,VECTORIZED,0.166000
Uniform,PDF,16,PARALLEL,0.197000
Uniform,PDF,16,WORK_STEALING,0.188000
Uniform,LogPDF,16,SCALAR,1.231000
Uniform,LogPDF,16,VECTORIZED,0.224000
Uniform,LogPDF,16,PARALLEL,0.178000
Uniform,LogPDF,16,WORK_STEALING,0.237000
Uniform,CDF,16,SCALAR,1.173000
Uniform,CDF,16,VECTORIZED,0.223000
Uniform,CDF,16,PARALLEL,0.186000
Uniform,CDF,16,WORK_STEALING,0.198000
Uniform,PDF,32,SCALAR,2.273000
Uniform,PDF,32,VECTORIZED,0.226000
Uniform,PDF,32,PARALLEL,0.147000
Uniform,PDF,32,WORK_STEALING,0.146000
Uniform,LogPDF,32,SCALAR,1.766000
Uniform,LogPDF,32,VECTORIZED,0.160000
Uniform,LogPDF,32,PARALLEL,0.157000
Uniform,LogPDF,32,WORK_STEALING,0.171000
Uniform,CDF,32,SCALAR,1.760000
Uniform,CDF,32,VECTORIZED,0.168000
Uniform,CDF,32,PARALLEL,0.148000
Uniform,CDF,32,WORK_STEALING,0.156000
Uniform,PDF,64,SCALAR,4.256000
Uniform,PDF,64,VECTORIZED,0.236000
Uniform,PDF,64,PARALLEL,0.246000
Uniform,PDF,64,WORK_STEALING,0.266000
Uniform,LogPDF,64,SCALAR,4.735000
Uniform,LogPDF,64,VECTORIZED,0.390000
Uniform,LogPDF,64,PARALLEL,0.277000
Uniform,LogPDF,64,WORK_STEALING,0.345000
Uniform,CDF,64,SCALAR,4.466000
Uniform,CDF,64,VECTORIZED,0.304000
Uniform,CDF,64,PARALLEL,0.290000
Uniform,CDF,64,WORK_STEALING,0.294000
Uniform,PDF,128,SCALAR,8.892000
Uniform,PDF,128,VECTORIZED,0.219000
Uniform,PDF,128,PARALLEL,0.250000
Uniform,PDF,128,WORK_STEALING,0.256000
Uniform,LogPDF,128,SCALAR,6.855000
Uniform,LogPDF,128,VECTORIZED,0.555000
Uniform,LogPDF,128,PARALLEL,0.412000
Uniform,LogPDF,128,WORK_STEALING,0.498000
Uniform,CDF,128,SCALAR,8.660000
Uniform,CDF,128,VECTORIZED,0.439000
Uniform,CDF,128,PARALLEL,0.463000
Uniform,CDF,128,WORK_STEALING,0.435000
Uniform,PDF,256,SCALAR,17.301000
Uniform,PDF,256,VECTORIZED,0.517000
Uniform,PDF,256,PARALLEL,0.725000
Uniform,PDF,256,WORK_STEALING,0.443000
Uniform,LogPDF,256,SCALAR,18.941000
Uniform,LogPDF,256,VECTORIZED,1.021000
Uniform,LogPDF,256,PARALLEL,0.614000
Uniform,LogPDF,256,WORK_STEALING,0.825000
Uniform,CDF,256,SCALAR,17.722000
Uniform,CDF,256,VECTORIZED,0.698000
Uniform,CDF,256,PARALLEL,0.968000
Uniform,CDF,256,WORK_STEALING,0.713000
Uniform,PDF,512,SCALAR,35.358000
Uniform,PDF,512,VECTORIZED,0.828000
Uniform,PDF,512,PARALLEL,1.095000
Uniform,PDF,512,WORK_STEALING,1.007000
Uniform,LogPDF,512,SCALAR,56.368000
Uniform,LogPDF,512,VECTORIZED,1.812000
Uniform,LogPDF,512,PARALLEL,1.035000
Uniform,LogPDF,512,WORK_STEALING,3.173000
Uniform,CDF,512,SCALAR,35.187000
Uniform,CDF,512,VECTORIZED,1.160000
Uniform,CDF,512,PARALLEL,1.356000
Uniform,CDF,512,WORK_STEALING,1.242000
Uniform,PDF,1000,SCALAR,67.492000
Uniform,PDF,1000,VECTORIZED,1.467000
Uniform,PDF,1000,PARALLEL,2.882000
Uniform,PDF,1000,WORK_STEALING,1.767000
Uniform,LogPDF,1000,SCALAR,74.021000
Uniform,LogPDF,1000,VECTORIZED,3.407000
Uniform,LogPDF,1000,PARALLEL,3.191000
Uniform,LogPDF,1000,WORK_STEALING,2.689000
Uniform,CDF,1000,SCALAR,88.413000
Uniform,CDF,1000,VECTORIZED,2.344000
Uniform,CDF,1000,PARALLEL,2.433000
Uniform,CDF,1000,WORK_STEALING,2.168000
Uniform,PDF,2000,SCALAR,125.546000
Uniform,PDF,2000,VECTORIZED,2.500000
Uniform,PDF,2000,PARALLEL,6.434000
Uniform,PDF,2000,WORK_STEALING,2.005000
Uniform,LogPDF,2000,SCALAR,118.849000
Uniform,LogPDF,2000,VECTORIZED,6.213000
Uniform,LogPDF,2000,PARALLEL,6.966000
Uniform,LogPDF,2000,WORK_STEALING,4.815000
Uniform,CDF,2000,SCALAR,124.314000
Uniform,CDF,2000,VECTORIZED,6.455000
Uniform,CDF,2000,PARALLEL,3.523000
Uniform,CDF,2000,WORK_STEALING,4.927000
Uniform,PDF,5000,SCALAR,288.850000
Uniform,PDF,5000,VECTORIZED,5.868000
Uniform,PDF,5000,PARALLEL,73.311000
Uniform,PDF,5000,WORK_STEALING,86.002000
Uniform,LogPDF,5000,SCALAR,378.525000
Uniform,LogPDF,5000,VECTORIZED,15.771000
Uniform,LogPDF,5000,PARALLEL,52.759000
Uniform,LogPDF,5000,WORK_STEALING,39.569000
Uniform,CDF,5000,SCALAR,299.196000
Uniform,CDF,5000,VECTORIZED,26.057000
Uniform,CDF,5000,PARALLEL,74.489000
Uniform,CDF,5000,WORK_STEALING,65.259000
Uniform,PDF,10000,SCALAR,628.131000
Uniform,PDF,10000,VECTORIZED,13.339000
Uniform,PDF,10000,PARALLEL,214.431000
Uniform,PDF,10000,WORK_STEALING,53.481000
Uniform,LogPDF,10000,SCALAR,611.133000
Uniform,LogPDF,10000,VECTORIZED,28.183000
Uniform,LogPDF,10000,PARALLEL,68.016000
Uniform,LogPDF,10000,WORK_STEALING,32.199000
Uniform,CDF,10000,SCALAR,551.037000
Uniform,CDF,10000,VECTORIZED,62.406000
Uniform,CDF,10000,PARALLEL,75.867000
Uniform,CDF,10000,WORK_STEALING,43.091000
Uniform,PDF,20000,SCALAR,1145.356000
Uniform,PDF,20000,VECTORIZED,23.783000
Uniform,PDF,20000,PARALLEL,88.193000
Uniform,PDF,20000,WORK_STEALING,198.801000
Uniform,LogPDF,20000,SCALAR,1446.253000
Uniform,LogPDF,20000,VECTORIZED,71.963000
Uniform,LogPDF,20000,PARALLEL,129.516000
Uniform,LogPDF,20000,WORK_STEALING,72.967000
Uniform,CDF,20000,SCALAR,1432.879000
Uniform,CDF,20000,VECTORIZED,186.226000
Uniform,CDF,20000,PARALLEL,98.822000
Uniform,CDF,20000,WORK_STEALING,64.972000
Uniform,PDF,50000,SCALAR,3447.719000
Uniform,PDF,50000,VECTORIZED,67.852000
Uniform,PDF,50000,PARALLEL,146.566000
Uniform,PDF,50000,WORK_STEALING,96.281000
Uniform,LogPDF,50000,SCALAR,3767.973000
Uniform,LogPDF,50000,VECTORIZED,171.959000
Uniform,LogPDF,50000,PARALLEL,230.759000
Uniform,LogPDF,50000,WORK_STEALING,121.848000
Uniform,CDF,50000,SCALAR,3567.104000
Uniform,CDF,50000,VECTORIZED,409.366000
Uniform,CDF,50000,PARALLEL,186.849000
Uniform,CDF,50000,WORK_STEALING,136.314000
Uniform,PDF,100000,SCALAR,7221.218000
Uniform,PDF,100000,VECTORIZED,139.545000
Uniform,PDF,100000,PARALLEL,342.222000
Uniform,PDF,100000,WORK_STEALING,271.119000
Uniform,LogPDF,100000,SCALAR,6963.418000
Uniform,LogPDF,100000,VECTORIZED,342.093000
Uniform,LogPDF,100000,PARALLEL,325.031000
Uniform,LogPDF,100000,WORK_STEALING,198.663000
Uniform,CDF,100000,SCALAR,6995.419000
Uniform,CDF,100000,VECTORIZED,824.365000
Uniform,CDF,100000,PARALLEL,307.404000
Uniform,CDF,100000,WORK_STEALING,267.353000
Uniform,PDF,250000,SCALAR,16901.062000
Uniform,PDF,250000,VECTORIZED,264.814000
Uniform,PDF,250000,PARALLEL,609.785000
Uniform,PDF,250000,WORK_STEALING,386.259000
Uniform,LogPDF,250000,SCALAR,16986.140000
Uniform,LogPDF,250000,VECTORIZED,731.071000
Uniform,LogPDF,250000,PARALLEL,665.641000
Uniform,LogPDF,250000,WORK_STEALING,330.234000
Uniform,CDF,250000,SCALAR,16255.054000
Uniform,CDF,250000,VECTORIZED,2276.417000
Uniform,CDF,250000,PARALLEL,692.237000
Uniform,CDF,250000,WORK_STEALING,424.742000
Uniform,PDF,500000,SCALAR,33653.315000
Uniform,PDF,500000,VECTORIZED,619.672000
Uniform,PDF,500000,PARALLEL,1136.350000
Uniform,PDF,500000,WORK_STEALING,696.611000
Uniform,LogPDF,500000,SCALAR,35162.923000
Uniform,LogPDF,500000,VECTORIZED,1750.272000
Uniform,LogPDF,500000,PARALLEL,1277.391000
Uniform,LogPDF,500000,WORK_STEALING,709.300000
Uniform,CDF,500000,SCALAR,33299.098000
Uniform,CDF,500000,VECTORIZED,4527.381000
Uniform,CDF,500000,PARALLEL,1377.946000
Uniform,CDF,500000,WORK_STEALING,609.000000
Gaussian,PDF,8,SCALAR,0.512000
Gaussian,PDF,8,VECTORIZED,0.178000
Gaussian,PDF,8,PARALLEL,0.186000
Gaussian,PDF,8,WORK_STEALING,0.244000
Gaussian,LogPDF,8,SCALAR,0.613000
Gaussian,LogPDF,8,VECTORIZED,0.214000
Gaussian,LogPDF,8,PARALLEL,0.158000
Gaussian,LogPDF,8,WORK_STEALING,0.152000
Gaussian,CDF,8,SCALAR,0.887000
Gaussian,CDF,8,VECTORIZED,0.373000
Gaussian,CDF,8,PARALLEL,0.495000
Gaussian,CDF,8,WORK_STEALING,0.496000
Gaussian,PDF,16,SCALAR,1.261000
Gaussian,PDF,16,VECTORIZED,0.288000
Gaussian,PDF,16,PARALLEL,0.350000
Gaussian,PDF,16,WORK_STEALING,0.355000
Gaussian,LogPDF,16,SCALAR,1.112000
Gaussian,LogPDF,16,VECTORIZED,0.221000
Gaussian,LogPDF,16,PARALLEL,0.165000
Gaussian,LogPDF,16,WORK_STEALING,0.160000
Gaussian,CDF,16,SCALAR,1.787000
Gaussian,CDF,16,VECTORIZED,0.530000
Gaussian,CDF,16,PARALLEL,0.926000
Gaussian,CDF,16,WORK_STEALING,0.907000
Gaussian,PDF,32,SCALAR,2.394000
Gaussian,PDF,32,VECTORIZED,0.346000
Gaussian,PDF,32,PARALLEL,0.532000
Gaussian,PDF,32,WORK_STEALING,0.547000
Gaussian,LogPDF,32,SCALAR,2.052000
Gaussian,LogPDF,32,VECTORIZED,0.245000
Gaussian,LogPDF,32,PARALLEL,0.215000
Gaussian,LogPDF,32,WORK_STEALING,0.191000
Gaussian,CDF,32,SCALAR,3.416000
Gaussian,CDF,32,VECTORIZED,0.801000
Gaussian,CDF,32,PARALLEL,1.551000
Gaussian,CDF,32,WORK_STEALING,1.567000
Gaussian,PDF,64,SCALAR,4.721000
Gaussian,PDF,64,VECTORIZED,0.436000
Gaussian,PDF,64,PARALLEL,0.922000
Gaussian,PDF,64,WORK_STEALING,0.951000
Gaussian,LogPDF,64,SCALAR,3.940000
Gaussian,LogPDF,64,VECTORIZED,0.261000
Gaussian,LogPDF,64,PARALLEL,0.255000
Gaussian,LogPDF,64,WORK_STEALING,0.221000
Gaussian,CDF,64,SCALAR,6.944000
Gaussian,CDF,64,VECTORIZED,1.340000
Gaussian,CDF,64,PARALLEL,3.047000
Gaussian,CDF,64,WORK_STEALING,3.071000
Gaussian,PDF,128,SCALAR,9.607000
Gaussian,PDF,128,VECTORIZED,0.644000
Gaussian,PDF,128,PARALLEL,1.724000
Gaussian,PDF,128,WORK_STEALING,1.729000
Gaussian,LogPDF,128,SCALAR,8.094000
Gaussian,LogPDF,128,VECTORIZED,0.320000
Gaussian,LogPDF,128,PARALLEL,0.330000
Gaussian,LogPDF,128,WORK_STEALING,0.286000
Gaussian,CDF,128,SCALAR,13.525000
Gaussian,CDF,128,VECTORIZED,2.398000
Gaussian,CDF,128,PARALLEL,5.829000
Gaussian,CDF,128,WORK_STEALING,5.845000
Gaussian,PDF,256,SCALAR,18.677000
Gaussian,PDF,256,VECTORIZED,1.019000
Gaussian,PDF,256,PARALLEL,3.244000
Gaussian,PDF,256,WORK_STEALING,3.276000
