distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.3,0.8,2.667
Beta,CDF,16,VECTORIZED,0.6,1.7,2.833
Beta,CDF,32,VECTORIZED,1.1,3.2,2.909
Beta,CDF,64,VECTORIZED,1.9,5.9,3.105
Beta,CDF,128,VECTORIZED,4.2,12.6,3.0
Beta,CDF,256,VECTORIZED,7.9,25.3,3.203
Beta,CDF,512,VECTORIZED,16.0,51.0,3.188
Beta,CDF,1000,VECTORIZED,30.8,99.3,3.224
Beta,CDF,2000,VECTORIZED,62.4,203.4,3.26
Beta,CDF,5000,VECTORIZED,152.7,500.2,3.276
Beta,CDF,10000,PARALLEL,99.9,1011.6,10.126
Beta,CDF,20000,WORK_STEALING,169.5,2071.0,12.218
Beta,CDF,50000,PARALLEL,358.9,5317.8,14.817
Beta,CDF,100000,PARALLEL,703.7,10655.9,15.143
Beta,CDF,250000,PARALLEL,1869.7,32526.2,17.396
Beta,CDF,500000,WORK_STEALING,3819.2,53925.7,14.12
Beta,LogPDF,8,SCALAR,0.1,0.1,1.0
Beta,LogPDF,16,SCALAR,0.2,0.2,1.0
Beta,LogPDF,32,VECTORIZED,0.3,0.4,1.333
Beta,LogPDF,64,VECTORIZED,0.4,0.7,1.75
Beta,LogPDF,128,VECTORIZED,0.6,1.4,2.333
Beta,LogPDF,256,VECTORIZED,1.0,2.7,2.7
Beta,LogPDF,512,VECTORIZED,1.9,5.5,2.895
Beta,LogPDF,1000,VECTORIZED,3.6,10.6,2.944
Beta,LogPDF,2000,VECTORIZED,6.6,21.6,3.273
Beta,LogPDF,5000,VECTORIZED,16.9,52.7,3.118
Beta,LogPDF,10000,VECTORIZED,34.0,105.2,3.094
Beta,LogPDF,20000,VECTORIZED,66.0,225.4,3.415
Beta,LogPDF,50000,WORK_STEALING,168.0,614.2,3.656
Beta,LogPDF,100000,PARALLEL,472.3,1247.0,2.64
Beta,LogPDF,250000,PARALLEL,1241.9,3099.3,2.496
Beta,LogPDF,500000,PARALLEL,2517.6,6527.2,2.593
Beta,PDF,8,VECTORIZED,0.1,0.2,2.0
Beta,PDF,16,PARALLEL,0.2,0.3,1.5
Beta,PDF,32,VECTORIZED,0.3,0.6,2.0
Beta,PDF,64,WORK_STEALING,0.4,1.0,2.5
Beta,PDF,128,VECTORIZED,0.7,2.2,3.143
Beta,PDF,256,PARALLEL,1.1,4.1,3.727
Beta,PDF,512,VECTORIZED,2.2,8.1,3.682
Beta,PDF,1000,VECTORIZED,4.1,15.7,3.829
Beta,PDF,2000,VECTORIZED,7.6,32.1,4.224
Beta,PDF,5000,WORK_STEALING,19.7,78.6,3.99
Beta,PDF,10000,VECTORIZED,39.0,156.8,4.021
Beta,PDF,20000,VECTORIZED,76.3,330.1,4.326
Beta,PDF,50000,WORK_STEALING,194.8,856.8,4.398
Beta,PDF,100000,PARALLEL,522.3,1718.2,3.29
Beta,PDF,250000,PARALLEL,1370.9,4358.4,3.179
Beta,PDF,500000,WORK_STEALING,2833.8,8998.6,3.175
ChiSquared,CDF,8,SCALAR,0.5,0.5,1.0
ChiSquared,CDF,16,PARALLEL,0.7,1.1,1.571
ChiSquared,CDF,32,PARALLEL,1.4,1.6,1.143
ChiSquared,CDF,64,PARALLEL,2.6,3.1,1.192
ChiSquared,CDF,128,PARALLEL,5.3,6.2,1.17
ChiSquared,CDF,256,PARALLEL,10.5,12.2,1.162
ChiSquared,CDF,512,PARALLEL,21.0,24.5,1.167
ChiSquared,CDF,1000,WORK_STEALING,41.0,47.6,1.161
ChiSquared,CDF,2000,WORK_STEALING,81.9,96.2,1.175
ChiSquared,CDF,5000,VECTORIZED,228.6,255.2,1.116
ChiSquared,CDF,10000,PARALLEL,150.7,532.2,3.532
ChiSquared,CDF,20000,PARALLEL,246.5,1077.9,4.373
ChiSquared,CDF,50000,PARALLEL,634.2,2814.7,4.438
ChiSquared,CDF,100000,PARALLEL,1005.6,5395.2,5.365
ChiSquared,CDF,250000,PARALLEL,2688.2,16211.7,6.031
ChiSquared,CDF,500000,PARALLEL,5616.5,30949.0,5.51
ChiSquared,LogPDF,8,VECTORIZED,0.1,0.2,2.0
ChiSquared,LogPDF,16,PARALLEL,0.1,0.2,2.0
ChiSquared,LogPDF,32,VECTORIZED,0.2,0.3,1.5
ChiSquared,LogPDF,64,VECTORIZED,0.2,0.6,3.0
ChiSquared,LogPDF,128,VECTORIZED,0.4,2.0,5.0
ChiSquared,LogPDF,256,VECTORIZED,0.5,2.3,4.6
ChiSquared,LogPDF,512,VECTORIZED,0.7,4.6,6.571
ChiSquared,LogPDF,1000,VECTORIZED,1.5,8.8,5.867
ChiSquared,LogPDF,2000,VECTORIZED,2.5,18.0,7.2
ChiSquared,LogPDF,5000,VECTORIZED,6.5,44.0,6.769
ChiSquared,LogPDF,10000,VECTORIZED,19.3,133.1,6.896
ChiSquared,LogPDF,20000,VECTORIZED,25.5,180.4,7.075
ChiSquared,LogPDF,50000,VECTORIZED,67.9,448.3,6.602
ChiSquared,LogPDF,100000,PARALLEL,173.2,913.9,5.277
ChiSquared,LogPDF,250000,PARALLEL,339.6,2358.2,6.944
ChiSquared,LogPDF,500000,PARALLEL,706.5,5766.2,8.162
ChiSquared,PDF,8,VECTORIZED,0.1,0.3,3.0
ChiSquared,PDF,16,WORK_STEALING,0.2,0.5,2.5
ChiSquared,PDF,32,VECTORIZED,0.2,0.8,4.0
ChiSquared,PDF,64,VECTORIZED,0.3,1.4,4.667
ChiSquared,PDF,128,VECTORIZED,0.4,2.8,7.0
ChiSquared,PDF,256,VECTORIZED,0.6,5.6,9.333
ChiSquared,PDF,512,VECTORIZED,1.0,11.3,11.3
ChiSquared,PDF,1000,VECTORIZED,1.8,21.8,12.111
ChiSquared,PDF,2000,VECTORIZED,3.6,44.5,12.361
