distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,10000,20000,WORK_STEALING,3819.2,500000
Beta,LogPDF,32,50000,128,PARALLEL,2517.6,500000
Beta,PDF,8,16,32,WORK_STEALING,2833.8,500000
ChiSquared,CDF,16,8,1000,PARALLEL,5616.5,500000
ChiSquared,LogPDF,8,16,512,PARALLEL,706.5,500000
ChiSquared,PDF,8,250000,16,PARALLEL,1120.6,500000
Discrete,CDF,16,32,2000,PARALLEL,282.2,500000
Discrete,LogPDF,16,250000,16,PARALLEL,281.2,500000
Discrete,PDF,16,100000,10000,PARALLEL,237.4,500000
Exponential,CDF,16,250000,256,PARALLEL,385.6,500000
Exponential,LogPDF,16,500000,10000,WORK_STEALING,121.9,500000
Exponential,PDF,16,,16,WORK_STEALING,383.9,500000
Gamma,CDF,32,8,128,WORK_STEALING,4495.2,500000
Gamma,LogPDF,32,100000,32,PARALLEL,641.7,500000
Gamma,PDF,8,16,,PARALLEL,1108.0,500000
Gaussian,CDF,8,20000,8,PARALLEL,760.6,500000
Gaussian,LogPDF,32,8,16,VECTORIZED,143.1,500000
Gaussian,PDF,32,500000,256,PARALLEL,516.1,500000
Poisson,CDF,16,10000,512,WORK_STEALING,5142.2,500000
Poisson,LogPDF,16,20000,512,WORK_STEALING,768.3,500000
Poisson,PDF,8,5000,8,PARALLEL,1309.0,500000
StudentT,CDF,8,8,8,PARALLEL,66263.9,500000
StudentT,LogPDF,16,,2000,VECTORIZED,658.2,500000
StudentT,PDF,16,,256,VECTORIZED,857.6,500000
Uniform,CDF,32,8,32,WORK_STEALING,357.5,500000
Uniform,LogPDF,8,5000,16,WORK_STEALING,388.0,500000
Uniform,PDF,8,100000,16,PARALLEL,478.1,500000
