distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.25,0.5,2.0
Beta,CDF,16,PARALLEL,0.5,1.0,2.0
Beta,CDF,32,VECTORIZED,0.875,1.917,2.191
Beta,CDF,64,VECTORIZED,1.5,3.625,2.417
Beta,CDF,128,VECTORIZED,3.417,7.667,2.244
Beta,CDF,256,WORK_STEALING,7.084,16.25,2.294
Beta,CDF,512,VECTORIZED,13.166,30.167,2.291
Beta,CDF,1000,VECTORIZED,26.417,59.791,2.263
Beta,CDF,2000,VECTORIZED,55.291,122.75,2.22
Beta,CDF,5000,PARALLEL,104.167,305.709,2.935
Beta,CDF,10000,WORK_STEALING,149.333,608.375,4.074
Beta,CDF,20000,PARALLEL,206.292,1979.375,9.595
Beta,CDF,50000,WORK_STEALING,488.958,3051.375,6.241
Beta,CDF,100000,PARALLEL,969.417,6101.667,6.294
Beta,CDF,250000,PARALLEL,1704.708,17762.959,10.42
Beta,CDF,500000,WORK_STEALING,4165.5,33853.375,8.127
Beta,LogPDF,8,SCALAR,0.208,0.208,1.0
Beta,LogPDF,16,VECTORIZED,0.25,0.334,1.336
Beta,LogPDF,32,VECTORIZED,0.375,0.667,1.779
Beta,LogPDF,64,VECTORIZED,0.708,1.375,1.942
Beta,LogPDF,128,VECTORIZED,1.042,2.834,2.72
Beta,LogPDF,256,VECTORIZED,1.917,5.791,3.021
Beta,LogPDF,512,WORK_STEALING,4.167,11.625,2.79
Beta,LogPDF,1000,VECTORIZED,8.084,22.375,2.768
Beta,LogPDF,2000,VECTORIZED,15.959,44.833,2.809
Beta,LogPDF,5000,PARALLEL,43.417,111.959,2.579
Beta,LogPDF,10000,VECTORIZED,89.209,225.042,2.523
Beta,LogPDF,20000,VECTORIZED,183.125,449.416,2.454
Beta,LogPDF,50000,VECTORIZED,458.458,1123.667,2.451
Beta,LogPDF,100000,VECTORIZED,922.417,2236.542,2.425
Beta,LogPDF,250000,WORK_STEALING,2319.625,5628.834,2.427
Beta,LogPDF,500000,WORK_STEALING,4648.334,11299.583,2.431
Beta,PDF,8,SCALAR,0.208,0.208,1.0
Beta,PDF,16,VECTORIZED,0.292,0.417,1.428
Beta,PDF,32,VECTORIZED,0.417,0.75,1.799
Beta,PDF,64,VECTORIZED,0.791,1.667,2.107
Beta,PDF,128,PARALLEL,1.208,3.459,2.863
Beta,PDF,256,VECTORIZED,2.209,7.25,3.282
Beta,PDF,512,PARALLEL,4.834,14.709,3.043
Beta,PDF,1000,PARALLEL,9.167,29.167,3.182
Beta,PDF,2000,VECTORIZED,18.209,61.458,3.375
Beta,PDF,5000,WORK_STEALING,50.084,151.334,3.022
Beta,PDF,10000,VECTORIZED,104.583,304.667,2.913
Beta,PDF,20000,VECTORIZED,215.792,608.625,2.82
Beta,PDF,50000,VECTORIZED,542.125,1525.5,2.814
Beta,PDF,100000,VECTORIZED,1093.375,3062.75,2.801
Beta,PDF,250000,PARALLEL,2775.959,7637.916,2.751
Beta,PDF,500000,PARALLEL,5554.041,15238.375,2.744
ChiSquared,CDF,8,PARALLEL,0.208,0.334,1.606
ChiSquared,CDF,16,PARALLEL,0.417,0.75,1.799
ChiSquared,CDF,32,VECTORIZED,0.833,1.625,1.951
ChiSquared,CDF,64,WORK_STEALING,1.458,3.167,2.172
ChiSquared,CDF,128,PARALLEL,3.125,6.667,2.133
ChiSquared,CDF,256,VECTORIZED,6.208,14.0,2.255
ChiSquared,CDF,512,VECTORIZED,14.166,28.125,1.985
ChiSquared,CDF,1000,VECTORIZED,32.083,55.459,1.729
ChiSquared,CDF,2000,PARALLEL,69.583,112.5,1.617
ChiSquared,CDF,5000,PARALLEL,116.458,284.958,2.447
ChiSquared,CDF,10000,PARALLEL,163.459,567.709,3.473
ChiSquared,CDF,20000,PARALLEL,239.458,1139.083,4.757
