distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,16,8,WORK_STEALING,4165.5,500000
Beta,LogPDF,16,512,64,WORK_STEALING,4648.334,500000
Beta,PDF,16,8,32,PARALLEL,5554.041,500000
ChiSquared,CDF,8,8,64,WORK_STEALING,4260.542,500000
ChiSquared,LogPDF,8,8,32,PARALLEL,543.584,500000
ChiSquared,PDF,8,8,2000,PARALLEL,1030.417,500000
Discrete,CDF,8,512,32,PARALLEL,315.084,500000
Discrete,LogPDF,8,100000,128,PARALLEL,256.458,500000
Discrete,PDF,8,128,256,PARALLEL,210.042,500000
Exponential,CDF,8,8,64,WORK_STEALING,428.208,500000
Exponential,LogPDF,8,8,1000,PARALLEL,130.542,500000
Exponential,PDF,8,8,512,WORK_STEALING,452.916,500000
Gamma,CDF,8,8,16,PARALLEL,4812.292,500000
Gamma,LogPDF,16,8,32,WORK_STEALING,736.542,500000
Gamma,PDF,8,8,8,PARALLEL,1043.667,500000
Gaussian,CDF,8,,128,VECTORIZED,1006.666,500000
Gaussian,LogPDF,8,8,2000,PARALLEL,154.417,500000
Gaussian,PDF,8,8,512,WORK_STEALING,382.209,500000
Poisson,CDF,32,8,8,WORK_STEALING,4300.542,500000
Poisson,LogPDF,8,16,32,PARALLEL,696.208,500000
Poisson,PDF,8,32,256,WORK_STEALING,1240.0,500000
StudentT,CDF,8,32,8,WORK_STEALING,47455.375,500000
StudentT,LogPDF,8,8,8,PARALLEL,782.209,500000
StudentT,PDF,8,8,256,WORK_STEALING,1170.917,500000
Uniform,CDF,8,8,256,WORK_STEALING,425.875,500000
Uniform,LogPDF,8,,64,VECTORIZED,334.875,500000
Uniform,PDF,8,,512,VECTORIZED,337.459,500000
