Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.167000
Uniform,PDF,8,VECTORIZED,0.042000
Uniform,PDF,8,PARALLEL,0.042000
Uniform,PDF,8,WORK_STEALING,0.042000
Uniform,LogPDF,8,SCALAR,0.167000
Uniform,LogPDF,8,VECTORIZED,0.041000
Uniform,LogPDF,8,PARALLEL,0.042000
Uniform,LogPDF,8,WORK_STEALING,0.042000
Uniform,CDF,8,SCALAR,0.167000
Uniform,CDF,8,VECTORIZED,0.083000
Uniform,CDF,8,PARALLEL,0.042000
Uniform,CDF,8,WORK_STEALING,0.042000
Uniform,PDF,16,SCALAR,0.333000
Uniform,PDF,16,VECTORIZED,0.042000
Uniform,PDF,16,PARALLEL,0.042000
Uniform,PDF,16,WORK_STEALING,0.083000
Uniform,LogPDF,16,SCALAR,0.333000
Uniform,LogPDF,16,VECTORIZED,0.041000
Uniform,LogPDF,16,PARALLEL,0.042000
Uniform,LogPDF,16,WORK_STEALING,0.042000
Uniform,CDF,16,SCALAR,0.333000
Uniform,CDF,16,VECTORIZED,0.083000
Uniform,CDF,16,PARALLEL,0.042000
Uniform,CDF,16,WORK_STEALING,0.042000
Uniform,PDF,32,SCALAR,0.625000
Uniform,PDF,32,VECTORIZED,0.042000
Uniform,PDF,32,PARALLEL,0.042000
Uniform,PDF,32,WORK_STEALING,0.042000
Uniform,LogPDF,32,SCALAR,0.625000
Uniform,LogPDF,32,VECTORIZED,0.042000
Uniform,LogPDF,32,PARALLEL,0.042000
Uniform,LogPDF,32,WORK_STEALING,0.042000
Uniform,CDF,32,SCALAR,0.625000
Uniform,CDF,32,VECTORIZED,0.084000
Uniform,CDF,32,PARALLEL,0.042000
Uniform,CDF,32,WORK_STEALING,0.042000
Uniform,PDF,64,SCALAR,1.208000
Uniform,PDF,64,VECTORIZED,0.083000
Uniform,PDF,64,PARALLEL,0.083000
Uniform,PDF,64,WORK_STEALING,0.083000
Uniform,LogPDF,64,SCALAR,1.208000
Uniform,LogPDF,64,VECTORIZED,0.083000
Uniform,LogPDF,64,PARALLEL,0.084000
Uniform,LogPDF,64,WORK_STEALING,0.083000
Uniform,CDF,64,SCALAR,1.208000
Uniform,CDF,64,VECTORIZED,0.125000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.083000
Uniform,PDF,128,SCALAR,2.458000
Uniform,PDF,128,VECTORIZED,0.125000
Uniform,PDF,128,PARALLEL,0.125000
Uniform,PDF,128,WORK_STEALING,0.125000
Uniform,LogPDF,128,SCALAR,2.416000
Uniform,LogPDF,128,VECTORIZED,0.125000
Uniform,LogPDF,128,PARALLEL,0.125000
Uniform,LogPDF,128,WORK_STEALING,0.125000
Uniform,CDF,128,SCALAR,2.500000
Uniform,CDF,128,VECTORIZED,0.208000
Uniform,CDF,128,PARALLEL,0.125000
Uniform,CDF,128,WORK_STEALING,0.125000
Uniform,PDF,256,SCALAR,4.917000
Uniform,PDF,256,VECTORIZED,0.208000
Uniform,PDF,256,PARALLEL,0.208000
Uniform,PDF,256,WORK_STEALING,0.208000
Uniform,LogPDF,256,SCALAR,4.875000
Uniform,LogPDF,256,VECTORIZED,0.208000
Uniform,LogPDF,256,PARALLEL,0.208000
Uniform,LogPDF,256,WORK_STEALING,0.209000
Uniform,CDF,256,SCALAR,4.917000
Uniform,CDF,256,VECTORIZED,0.417000
Uniform,CDF,256,PARALLEL,0.209000
Uniform,CDF,256,WORK_STEALING,0.208000
Uniform,PDF,512,SCALAR,9.875000
Uniform,PDF,512,VECTORIZED,0.375000
Uniform,PDF,512,PARALLEL,0.416000
Uniform,PDF,512,WORK_STEALING,0.375000
Uniform,LogPDF,512,SCALAR,9.833000
Uniform,LogPDF,512,VECTORIZED,0.375000
Uniform,LogPDF,512,PARALLEL,0.417000
Uniform,LogPDF,512,WORK_STEALING,0.417000
Uniform,CDF,512,SCALAR,9.875000
Uniform,CDF,512,VECTORIZED,0.792000
Uniform,CDF,512,PARALLEL,0.416000
Uniform,CDF,512,WORK_STEALING,0.375000
Uniform,PDF,1000,SCALAR,19.375000
Uniform,PDF,1000,VECTORIZED,0.708000
Uniform,PDF,1000,PARALLEL,0.750000
Uniform,PDF,1000,WORK_STEALING,0.708000
Uniform,LogPDF,1000,SCALAR,19.375000
Uniform,LogPDF,1000,VECTORIZED,0.708000
Uniform,LogPDF,1000,PARALLEL,0.833000
Uniform,LogPDF,1000,WORK_STEALING,0.791000
Uniform,CDF,1000,SCALAR,19.291000
Uniform,CDF,1000,VECTORIZED,1.500000
Uniform,CDF,1000,PARALLEL,0.875000
Uniform,CDF,1000,WORK_STEALING,0.750000
Uniform,PDF,2000,SCALAR,38.542000
Uniform,PDF,2000,VECTORIZED,1.375000
Uniform,PDF,2000,PARALLEL,43.333000
Uniform,PDF,2000,WORK_STEALING,13.000000
Uniform,LogPDF,2000,SCALAR,38.791000
Uniform,LogPDF,2000,VECTORIZED,1.375000
Uniform,LogPDF,2000,PARALLEL,30.792000
Uniform,LogPDF,2000,WORK_STEALING,11.500000
Uniform,CDF,2000,SCALAR,38.375000
Uniform,CDF,2000,VECTORIZED,3.042000
Uniform,CDF,2000,PARALLEL,42.375000
Uniform,CDF,2000,WORK_STEALING,27.583000
Uniform,PDF,5000,SCALAR,96.500000
Uniform,PDF,5000,VECTORIZED,3.375000
Uniform,PDF,5000,PARALLEL,96.000000
Uniform,PDF,5000,WORK_STEALING,26.250000
Uniform,LogPDF,5000,SCALAR,95.458000
Uniform,LogPDF,5000,VECTORIZED,3.458000
Uniform,LogPDF,5000,PARALLEL,77.584000
Uniform,LogPDF,5000,WORK_STEALING,22.750000
Uniform,CDF,5000,SCALAR,97.916000
Uniform,CDF,5000,VECTORIZED,11.500000
Uniform,CDF,5000,PARALLEL,99.542000
Uniform,CDF,5000,WORK_STEALING,45.625000
Uniform,PDF,10000,SCALAR,195.208000
Uniform,PDF,10000,VECTORIZED,6.750000
Uniform,PDF,10000,PARALLEL,203.375000
Uniform,PDF,10000,WORK_STEALING,44.083000
Uniform,LogPDF,10000,SCALAR,198.583000
Uniform,LogPDF,10000,VECTORIZED,6.708000
Uniform,LogPDF,10000,PARALLEL,182.500000
Uniform,LogPDF,10000,WORK_STEALING,50.625000
Uniform,CDF,10000,SCALAR,193.500000
Uniform,CDF,10000,VECTORIZED,50.834000
Uniform,CDF,10000,PARALLEL,237.875000
Uniform,CDF,10000,WORK_STEALING,34.958000
Uniform,PDF,20000,SCALAR,390.500000
Uniform,PDF,20000,VECTORIZED,13.458000
Uniform,PDF,20000,PARALLEL,124.625000
Uniform,PDF,20000,WORK_STEALING,76.334000
Uniform,LogPDF,20000,SCALAR,392.333000
Uniform,LogPDF,20000,VECTORIZED,13.500000
Uniform,LogPDF,20000,PARALLEL,86.375000
Uniform,LogPDF,20000,WORK_STEALING,46.000000
Uniform,CDF,20000,SCALAR,387.000000
Uniform,CDF,20000,VECTORIZED,77.042000
Uniform,CDF,20000,PARALLEL,62.334000
Uniform,CDF,20000,WORK_STEALING,49.583000
Uniform,PDF,50000,SCALAR,991.333000
Uniform,PDF,50000,VECTORIZED,33.875000
Uniform,PDF,50000,PARALLEL,124.375000
Uniform,PDF,50000,WORK_STEALING,85.167000
Uniform,LogPDF,50000,SCALAR,1002.333000
Uniform,LogPDF,50000,VECTORIZED,33.625000
Uniform,LogPDF,50000,PARALLEL,118.667000
Uniform,LogPDF,50000,WORK_STEALING,84.500000
Uniform,CDF,50000,SCALAR,987.500000
Uniform,CDF,50000,VECTORIZED,330.416000
Uniform,CDF,50000,PARALLEL,96.792000
Uniform,CDF,50000,WORK_STEALING,87.000000
Uniform,PDF,100000,SCALAR,2030.625000
Uniform,PDF,100000,VECTORIZED,67.041000
Uniform,PDF,100000,PARALLEL,171.084000
Uniform,PDF,100000,WORK_STEALING,142.542000
Uniform,LogPDF,100000,SCALAR,2035.375000
Uniform,LogPDF,100000,VECTORIZED,67.042000
Uniform,LogPDF,100000,PARALLEL,158.291000
Uniform,LogPDF,100000,WORK_STEALING,142.000000
Uniform,CDF,100000,SCALAR,2011.166000
Uniform,CDF,100000,VECTORIZED,534.584000
Uniform,CDF,100000,PARALLEL,207.708000
Uniform,CDF,100000,WORK_STEALING,140.667000
Uniform,PDF,250000,SCALAR,5124.875000
Uniform,PDF,250000,VECTORIZED,169.958000
Uniform,PDF,250000,PARALLEL,266.750000
Uniform,PDF,250000,WORK_STEALING,257.959000
Uniform,LogPDF,250000,SCALAR,5065.625000
Uniform,LogPDF,250000,VECTORIZED,172.542000
Uniform,LogPDF,250000,PARALLEL,303.459000
Uniform,LogPDF,250000,WORK_STEALING,246.708000
Uniform,CDF,250000,SCALAR,4785.208000
Uniform,CDF,250000,VECTORIZED,1295.125000
Uniform,CDF,250000,PARALLEL,300.000000
Uniform,CDF,250000,WORK_STEALING,233.000000
Uniform,PDF,500000,SCALAR,9695.000000
Uniform,PDF,500000,VECTORIZED,337.459000
Uniform,PDF,500000,PARALLEL,587.500000
Uniform,PDF,500000,WORK_STEALING,423.666000
Uniform,LogPDF,500000,SCALAR,9628.541000
Uniform,LogPDF,500000,VECTORIZED,334.875000
Uniform,LogPDF,500000,PARALLEL,527.583000
Uniform,LogPDF,500000,WORK_STEALING,529.250000
Uniform,CDF,500000,SCALAR,9829.250000
Uniform,CDF,500000,VECTORIZED,2657.584000
Uniform,CDF,500000,PARALLEL,535.542000
Uniform,CDF,500000,WORK_STEALING,425.875000
Gaussian,PDF,8,SCALAR,0.167000
Gaussian,PDF,8,VECTORIZED,0.083000
Gaussian,PDF,8,PARALLEL,0.042000
Gaussian,PDF,8,WORK_STEALING,0.042000
Gaussian,LogPDF,8,SCALAR,0.209000
Gaussian,LogPDF,8,VECTORIZED,0.083000
Gaussian,LogPDF,8,PARALLEL,0.042000
Gaussian,LogPDF,8,WORK_STEALING,0.042000
Gaussian,CDF,8,SCALAR,0.250000
Gaussian,CDF,8,VECTORIZED,0.083000
Gaussian,CDF,8,PARALLEL,0.125000
Gaussian,CDF,8,WORK_STEALING,0.125000
Gaussian,PDF,16,SCALAR,0.333000
Gaussian,PDF,16,VECTORIZED,0.084000
Gaussian,PDF,16,PARALLEL,0.083000
Gaussian,PDF,16,WORK_STEALING,0.083000
Gaussian,LogPDF,16,SCALAR,0.333000
Gaussian,LogPDF,16,VECTORIZED,0.083000
Gaussian,LogPDF,16,PARALLEL,0.042000
Gaussian,LogPDF,16,WORK_STEALING,0.042000
Gaussian,CDF,16,SCALAR,0.458000
Gaussian,CDF,16,VECTORIZED,0.125000
Gaussian,CDF,16,PARALLEL,0.209000
Gaussian,CDF,16,WORK_STEALING,0.250000
