distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.215,2.012,1.656
Beta,CDF,16,VECTORIZED,2.205,4.07,1.846
Beta,CDF,32,VECTORIZED,3.935,7.417,1.885
Beta,CDF,64,VECTORIZED,8.186,15.586,1.904
Beta,CDF,128,VECTORIZED,22.576,43.491,1.926
Beta,CDF,256,WORK_STEALING,37.265,81.945,2.199
Beta,CDF,512,VECTORIZED,71.178,118.567,1.666
Beta,CDF,1000,PARALLEL,118.644,279.903,2.359
Beta,CDF,2000,PARALLEL,320.495,691.571,2.158
Beta,CDF,5000,VECTORIZED,872.04,1547.888,1.775
Beta,CDF,10000,VECTORIZED,1533.396,3300.901,2.153
Beta,CDF,20000,PARALLEL,3069.273,6736.294,2.195
Beta,CDF,50000,WORK_STEALING,5068.35,18712.967,3.692
Beta,CDF,100000,VECTORIZED,18366.579,41070.1,2.236
Beta,CDF,250000,PARALLEL,15556.473,91747.892,5.898
Beta,CDF,500000,PARALLEL,25679.05,174980.556,6.814
Beta,LogPDF,8,SCALAR,0.797,0.797,1.0
Beta,LogPDF,16,SCALAR,1.533,1.533,1.0
Beta,LogPDF,32,VECTORIZED,2.223,2.846,1.28
Beta,LogPDF,64,VECTORIZED,4.043,6.244,1.544
Beta,LogPDF,128,VECTORIZED,6.629,14.988,2.261
Beta,LogPDF,256,VECTORIZED,11.824,32.063,2.712
Beta,LogPDF,512,PARALLEL,17.779,44.156,2.484
Beta,LogPDF,1000,PARALLEL,45.214,124.141,2.746
Beta,LogPDF,2000,WORK_STEALING,67.601,268.604,3.973
Beta,LogPDF,5000,PARALLEL,198.492,615.817,3.102
Beta,LogPDF,10000,PARALLEL,404.415,1168.265,2.889
Beta,LogPDF,20000,VECTORIZED,861.488,2248.583,2.61
Beta,LogPDF,50000,PARALLEL,2403.556,6238.75,2.596
Beta,LogPDF,100000,PARALLEL,5186.093,12603.524,2.43
Beta,LogPDF,250000,WORK_STEALING,15057.955,37778.26,2.509
Beta,LogPDF,500000,WORK_STEALING,26115.941,70087.629,2.684
Beta,PDF,8,SCALAR,0.881,0.881,1.0
Beta,PDF,16,PARALLEL,1.709,1.745,1.021
Beta,PDF,32,VECTORIZED,2.519,3.234,1.284
Beta,PDF,64,VECTORIZED,4.425,7.21,1.629
Beta,PDF,128,PARALLEL,7.033,16.79,2.387
Beta,PDF,256,PARALLEL,14.133,37.808,2.675
Beta,PDF,512,WORK_STEALING,23.466,59.174,2.522
Beta,PDF,1000,VECTORIZED,62.871,156.816,2.494
Beta,PDF,2000,VECTORIZED,111.404,266.088,2.388
Beta,PDF,5000,WORK_STEALING,222.126,528.416,2.379
Beta,PDF,10000,WORK_STEALING,406.862,1481.858,3.642
Beta,PDF,20000,WORK_STEALING,1254.691,2918.52,2.326
Beta,PDF,50000,VECTORIZED,2708.486,6772.645,2.501
Beta,PDF,100000,PARALLEL,5930.957,14930.455,2.517
Beta,PDF,250000,PARALLEL,18034.818,50382.46,2.794
Beta,PDF,500000,WORK_STEALING,30674.397,72643.893,2.368
ChiSquared,CDF,8,WORK_STEALING,0.94,1.322,1.406
ChiSquared,CDF,16,PARALLEL,1.781,2.771,1.556
ChiSquared,CDF,32,WORK_STEALING,3.835,6.267,1.634
ChiSquared,CDF,64,PARALLEL,8.554,12.932,1.512
ChiSquared,CDF,128,WORK_STEALING,16.943,28.354,1.673
ChiSquared,CDF,256,WORK_STEALING,29.326,50.614,1.726
ChiSquared,CDF,512,VECTORIZED,50.229,81.82,1.629
ChiSquared,CDF,1000,WORK_STEALING,112.394,223.756,1.991
ChiSquared,CDF,2000,PARALLEL,257.521,486.467,1.889
ChiSquared,CDF,5000,WORK_STEALING,413.138,1114.175,2.697
ChiSquared,CDF,10000,WORK_STEALING,691.187,2297.642,3.324
ChiSquared,CDF,20000,WORK_STEALING,1132.728,4972.918,4.39
ChiSquared,CDF,50000,WORK_STEALING,2112.896,14051.333,6.65
ChiSquared,CDF,100000,PARALLEL,11137.649,51798.777,4.651
ChiSquared,CDF,250000,WORK_STEALING,9112.411,64264.362,7.052
ChiSquared,CDF,500000,WORK_STEALING,21405.315,135743.212,6.342
ChiSquared,LogPDF,8,WORK_STEALING,0.333,0.666,2.0
ChiSquared,LogPDF,16,WORK_STEALING,0.471,1.36,2.887
ChiSquared,LogPDF,32,PARALLEL,0.875,2.975,3.4
ChiSquared,LogPDF,64,WORK_STEALING,1.533,6.213,4.053
ChiSquared,LogPDF,128,VECTORIZED,2.829,13.251,4.684
ChiSquared,LogPDF,256,VECTORIZED,4.521,23.724,5.248
ChiSquared,LogPDF,512,VECTORIZED,6.639,38.172,5.75
ChiSquared,LogPDF,1000,VECTORIZED,19.21,110.582,5.756
ChiSquared,LogPDF,2000,VECTORIZED,25.068,148.078,5.907
ChiSquared,LogPDF,5000,VECTORIZED,96.814,527.841,5.452
ChiSquared,LogPDF,10000,VECTORIZED,202.212,987.922,4.886
ChiSquared,LogPDF,20000,VECTORIZED,389.906,1775.504,4.554
ChiSquared,LogPDF,50000,WORK_STEALING,736.414,5197.381,7.058
ChiSquared,LogPDF,100000,PARALLEL,1100.723,14851.392,13.492
ChiSquared,LogPDF,250000,WORK_STEALING,2000.745,30727.343,15.358
ChiSquared,LogPDF,500000,PARALLEL,4003.746,68034.059,16.993
ChiSquared,PDF,8,WORK_STEALING,0.452,1.167,2.582
ChiSquared,PDF,16,PARALLEL,0.763,2.57,3.368
ChiSquared,PDF,32,PARALLEL,1.344,4.679,3.481
ChiSquared,PDF,64,VECTORIZED,2.786,11.457,4.112
ChiSquared,PDF,128,VECTORIZED,3.967,25.506,6.43
ChiSquared,PDF,256,VECTORIZED,6.911,49.264,7.128
ChiSquared,PDF,512,VECTORIZED,10.439,82.492,7.902
ChiSquared,PDF,1000,VECTORIZED,27.471,200.086,7.284
ChiSquared,PDF,2000,VECTORIZED,45.095,469.491,10.411
ChiSquared,PDF,5000,VECTORIZED,140.882,1015.503,7.208
ChiSquared,PDF,10000,VECTORIZED,308.496,2052.461,6.653
ChiSquared,PDF,20000,VECTORIZED,516.725,4173.991,8.078
ChiSquared,PDF,50000,WORK_STEALING,692.329,10993.912,15.88
ChiSquared,PDF,100000,WORK_STEALING,2640.938,22668.185,8.583
ChiSquared,PDF,250000,WORK_STEALING,2955.468,55388.422,18.741
ChiSquared,PDF,500000,WORK_STEALING,6038.427,117773.271,19.504
Discrete,CDF,8,VECTORIZED,0.245,0.783,3.196
Discrete,CDF,16,VECTORIZED,0.273,1.291,4.729
Discrete,CDF,32,VECTORIZED,0.299,2.397,8.017
Discrete,CDF,64,VECTORIZED,0.443,4.713,10.639
Discrete,CDF,128,VECTORIZED,0.766,8.993,11.74
Discrete,CDF,256,WORK_STEALING,1.392,18.529,13.311
Discrete,CDF,512,VECTORIZED,2.333,31.234,13.388
Discrete,CDF,1000,VECTORIZED,3.849,56.065,14.566
Discrete,CDF,2000,WORK_STEALING,12.67,177.041,13.973
Discrete,CDF,5000,VECTORIZED,28.031,380.415,13.571
Discrete,CDF,10000,VECTORIZED,63.665,807.456,12.683
