distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,1000,8,PARALLEL,25679.05,500000
Beta,LogPDF,32,512,64,WORK_STEALING,26115.941,500000
Beta,PDF,16,16,8,WORK_STEALING,30674.397,500000
ChiSquared,CDF,16,8,8,WORK_STEALING,21405.315,500000
ChiSquared,LogPDF,16,8,8,PARALLEL,4003.746,500000
ChiSquared,PDF,16,8,8,WORK_STEALING,6038.427,500000
Discrete,CDF,8,250000,8,WORK_STEALING,1240.896,500000
Discrete,LogPDF,8,1000,8,WORK_STEALING,1239.415,500000
Discrete,PDF,8,32,8,WORK_STEALING,1174.359,500000
Exponential,CDF,8,16,16,WORK_STEALING,2654.408,500000
Exponential,LogPDF,8,8,8,WORK_STEALING,647.4,500000
Exponential,PDF,8,8,8,WORK_STEALING,2647.053,500000
Gamma,CDF,16,8,128,WORK_STEALING,15734.289,500000
Gamma,LogPDF,16,8,8,WORK_STEALING,3233.3,500000
Gamma,PDF,8,8,32,WORK_STEALING,4859.649,500000
Gaussian,CDF,8,50000,256,WORK_STEALING,7267.342,500000
Gaussian,LogPDF,8,8,128,PARALLEL,727.849,500000
Gaussian,PDF,8,8,1000,WORK_STEALING,2630.434,500000
Poisson,CDF,32,8,8,WORK_STEALING,23283.813,500000
Poisson,LogPDF,8,50000,16,WORK_STEALING,3560.311,500000
Poisson,PDF,8,128,8,WORK_STEALING,8168.693,500000
StudentT,CDF,8,16,8,WORK_STEALING,205300.559,500000
StudentT,LogPDF,8,8,32,WORK_STEALING,4510.175,500000
StudentT,PDF,8,100000,8,WORK_STEALING,6326.9,500000
Uniform,CDF,8,8,128,WORK_STEALING,1459.342,500000
Uniform,LogPDF,8,,8,VECTORIZED,1042.171,500000
Uniform,PDF,8,,16,VECTORIZED,1012.611,500000
