Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.678000
Uniform,PDF,8,VECTORIZED,0.193000
Uniform,PDF,8,PARALLEL,0.248000
Uniform,PDF,8,WORK_STEALING,0.265000
Uniform,LogPDF,8,SCALAR,0.733000
Uniform,LogPDF,8,VECTORIZED,0.235000
Uniform,LogPDF,8,PARALLEL,0.286000
Uniform,LogPDF,8,WORK_STEALING,0.279000
Uniform,CDF,8,SCALAR,0.753000
Uniform,CDF,8,VECTORIZED,0.264000
Uniform,CDF,8,PARALLEL,0.255000
Uniform,CDF,8,WORK_STEALING,0.268000
Uniform,PDF,16,SCALAR,1.297000
Uniform,PDF,16,VECTORIZED,0.190000
Uniform,PDF,16,PARALLEL,0.251000
Uniform,PDF,16,WORK_STEALING,0.246000
Uniform,LogPDF,16,SCALAR,1.439000
Uniform,LogPDF,16,VECTORIZED,0.253000
Uniform,LogPDF,16,PARALLEL,0.300000
Uniform,LogPDF,16,WORK_STEALING,0.278000
Uniform,CDF,16,SCALAR,1.490000
Uniform,CDF,16,VECTORIZED,0.272000
Uniform,CDF,16,PARALLEL,0.276000
Uniform,CDF,16,WORK_STEALING,0.296000
Uniform,PDF,32,SCALAR,2.679000
Uniform,PDF,32,VECTORIZED,0.207000
Uniform,PDF,32,PARALLEL,0.315000
Uniform,PDF,32,WORK_STEALING,0.275000
Uniform,LogPDF,32,SCALAR,2.778000
Uniform,LogPDF,32,VECTORIZED,0.268000
Uniform,LogPDF,32,PARALLEL,0.352000
Uniform,LogPDF,32,WORK_STEALING,0.301000
Uniform,CDF,32,SCALAR,2.724000
Uniform,CDF,32,VECTORIZED,0.359000
Uniform,CDF,32,PARALLEL,0.336000
Uniform,CDF,32,WORK_STEALING,0.366000
Uniform,PDF,64,SCALAR,5.286000
Uniform,PDF,64,VECTORIZED,0.243000
Uniform,PDF,64,PARALLEL,0.360000
Uniform,PDF,64,WORK_STEALING,0.289000
Uniform,LogPDF,64,SCALAR,4.793000
Uniform,LogPDF,64,VECTORIZED,0.257000
Uniform,LogPDF,64,PARALLEL,0.429000
Uniform,LogPDF,64,WORK_STEALING,0.295000
Uniform,CDF,64,SCALAR,4.747000
Uniform,CDF,64,VECTORIZED,0.628000
Uniform,CDF,64,PARALLEL,0.413000
