distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,512,16,PARALLEL,4648.334,500000
Beta,LogPDF,16,128,64,PARALLEL,4656.459,500000
Beta,PDF,16,64,1000,WORK_STEALING,5574.208,500000
Binomial,CDF,16,512,16,SCALAR,75414.75,500000
Binomial,LogPDF,8,,32,VECTORIZED,11692.166,500000
Binomial,PDF,8,,64,VECTORIZED,12504.959,500000
ChiSquared,CDF,8,8,16,PARALLEL,5958.75,500000
ChiSquared,LogPDF,8,8,128,PARALLEL,539.917,500000
ChiSquared,PDF,8,8,128,PARALLEL,1207.542,500000
Discrete,CDF,8,,64,VECTORIZED,277.416,500000
Discrete,LogPDF,8,250000,32,PARALLEL,246.25,500000
Discrete,PDF,8,250000,32,PARALLEL,232.625,500000
Exponential,CDF,8,8,64,PARALLEL,451.542,500000
Exponential,LogPDF,8,16,64,PARALLEL,130.5,500000
Exponential,PDF,8,8,512,WORK_STEALING,500.125,500000
Gamma,CDF,8,8,8,WORK_STEALING,4127.25,500000
Gamma,LogPDF,8,8,8,PARALLEL,540.958,500000
Gamma,PDF,8,8,32,PARALLEL,1018.958,500000
Gaussian,CDF,8,250000,32,VECTORIZED,1010.042,500000
Gaussian,LogPDF,8,8,2000,WORK_STEALING,153.333,500000
Gaussian,PDF,8,8,256,WORK_STEALING,405.0,500000
LogNormal,CDF,8,50000,32,VECTORIZED,2212.25,500000
LogNormal,LogPDF,8,8,512,PARALLEL,619.959,500000
LogNormal,PDF,8,8,256,PARALLEL,1189.209,500000
NegBinomial,CDF,16,8,32,SCALAR,53602.167,500000
NegBinomial,LogPDF,8,,128,VECTORIZED,15138.917,500000
NegBinomial,PDF,8,,256,VECTORIZED,13775.875,500000
Pareto,CDF,8,50000,256,PARALLEL,1353.709,500000
Pareto,LogPDF,8,100000,128,PARALLEL,731.666,500000
Pareto,PDF,8,250000,8,PARALLEL,1662.042,500000
Poisson,CDF,8,2000,8,WORK_STEALING,4802.083,500000
Poisson,LogPDF,8,20000,8,WORK_STEALING,769.583,500000
Poisson,PDF,8,20000,64,PARALLEL,1272.709,500000
Rayleigh,CDF,8,8,512,PARALLEL,472.959,500000
Rayleigh,LogPDF,8,8,8,PARALLEL,776.125,500000
Rayleigh,PDF,8,8,16,WORK_STEALING,1427.708,500000
StudentT,CDF,8,128,8,WORK_STEALING,47105.209,500000
StudentT,LogPDF,8,8,256,WORK_STEALING,975.5,500000
StudentT,PDF,16,8,16,PARALLEL,1588.0,500000
Uniform,CDF,8,16,64,WORK_STEALING,471.5,500000
Uniform,LogPDF,8,8,64,VECTORIZED,89.5,500000
Uniform,PDF,8,,128,VECTORIZED,89.916,500000
VonMises,CDF,8,32,16,PARALLEL,521492.875,500000
VonMises,LogPDF,8,,128,VECTORIZED,1013.083,500000
VonMises,PDF,8,100000,512,VECTORIZED,1854.708,500000
Weibull,CDF,8,8,64,PARALLEL,2834.291,500000
Weibull,LogPDF,8,8,64,WORK_STEALING,2084.916,500000
Weibull,PDF,8,8,1000,PARALLEL,2918.542,500000
