Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.167000
Uniform,PDF,8,VECTORIZED,0.042000
Uniform,PDF,8,PARALLEL,0.042000
Uniform,PDF,8,WORK_STEALING,0.084000
Uniform,LogPDF,8,SCALAR,0.417000
Uniform,LogPDF,8,VECTORIZED,0.083000
Uniform,LogPDF,8,PARALLEL,0.125000
Uniform,LogPDF,8,WORK_STEALING,0.042000
Uniform,CDF,8,SCALAR,0.167000
Uniform,CDF,8,VECTORIZED,0.042000
Uniform,CDF,8,PARALLEL,0.042000
Uniform,CDF,8,WORK_STEALING,0.042000
Uniform,PDF,16,SCALAR,0.333000
Uniform,PDF,16,VECTORIZED,0.042000
Uniform,PDF,16,PARALLEL,0.041000
Uniform,PDF,16,WORK_STEALING,0.042000
Uniform,LogPDF,16,SCALAR,0.333000
Uniform,LogPDF,16,VECTORIZED,0.042000
Uniform,LogPDF,16,PARALLEL,0.042000
Uniform,LogPDF,16,WORK_STEALING,0.041000
Uniform,CDF,16,SCALAR,0.375000
Uniform,CDF,16,VECTORIZED,0.083000
Uniform,CDF,16,PARALLEL,0.042000
Uniform,CDF,16,WORK_STEALING,0.041000
Uniform,PDF,32,SCALAR,0.667000
Uniform,PDF,32,VECTORIZED,0.042000
Uniform,PDF,32,PARALLEL,0.042000
Uniform,PDF,32,WORK_STEALING,0.042000
Uniform,LogPDF,32,SCALAR,0.625000
Uniform,LogPDF,32,VECTORIZED,0.041000
Uniform,LogPDF,32,PARALLEL,0.042000
Uniform,LogPDF,32,WORK_STEALING,0.042000
Uniform,CDF,32,SCALAR,0.625000
Uniform,CDF,32,VECTORIZED,0.083000
Uniform,CDF,32,PARALLEL,0.042000
Uniform,CDF,32,WORK_STEALING,0.042000
Uniform,PDF,64,SCALAR,1.291000
Uniform,PDF,64,VECTORIZED,0.042000
Uniform,PDF,64,PARALLEL,0.083000
Uniform,PDF,64,WORK_STEALING,0.042000
Uniform,LogPDF,64,SCALAR,1.250000
Uniform,LogPDF,64,VECTORIZED,0.042000
Uniform,LogPDF,64,PARALLEL,0.083000
Uniform,LogPDF,64,WORK_STEALING,0.042000
Uniform,CDF,64,SCALAR,1.208000
Uniform,CDF,64,VECTORIZED,0.084000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.042000
Uniform,PDF,128,SCALAR,2.542000
Uniform,PDF,128,VECTORIZED,0.042000
Uniform,PDF,128,PARALLEL,0.125000
Uniform,PDF,128,WORK_STEALING,0.042000
Uniform,LogPDF,128,SCALAR,2.459000
Uniform,LogPDF,128,VECTORIZED,0.042000
Uniform,LogPDF,128,PARALLEL,0.125000
Uniform,LogPDF,128,WORK_STEALING,0.042000
Uniform,CDF,128,SCALAR,2.459000
Uniform,CDF,128,VECTORIZED,0.167000
Uniform,CDF,128,PARALLEL,0.167000
Uniform,CDF,128,WORK_STEALING,0.042000
Uniform,PDF,256,SCALAR,5.083000
Uniform,PDF,256,VECTORIZED,0.083000
Uniform,PDF,256,PARALLEL,0.209000
Uniform,PDF,256,WORK_STEALING,0.083000
Uniform,LogPDF,256,SCALAR,11.792000
Uniform,LogPDF,256,VECTORIZED,0.209000
Uniform,LogPDF,256,PARALLEL,0.708000
Uniform,LogPDF,256,WORK_STEALING,0.250000
Uniform,CDF,256,SCALAR,12.542000
Uniform,CDF,256,VECTORIZED,0.875000
Uniform,CDF,256,PARALLEL,0.792000
Uniform,CDF,256,WORK_STEALING,0.250000
Uniform,PDF,512,SCALAR,10.125000
Uniform,PDF,512,VECTORIZED,0.125000
Uniform,PDF,512,PARALLEL,0.375000
Uniform,PDF,512,WORK_STEALING,0.125000
Uniform,LogPDF,512,SCALAR,9.875000
Uniform,LogPDF,512,VECTORIZED,0.125000
Uniform,LogPDF,512,PARALLEL,0.417000
Uniform,LogPDF,512,WORK_STEALING,0.125000
Uniform,CDF,512,SCALAR,10.125000
Uniform,CDF,512,VECTORIZED,0.583000
Uniform,CDF,512,PARALLEL,0.500000
Uniform,CDF,512,WORK_STEALING,0.125000
Uniform,PDF,1000,SCALAR,19.917000
Uniform,PDF,1000,VECTORIZED,0.208000
Uniform,PDF,1000,PARALLEL,0.834000
Uniform,PDF,1000,WORK_STEALING,0.250000
Uniform,LogPDF,1000,SCALAR,19.416000
Uniform,LogPDF,1000,VECTORIZED,0.208000
Uniform,LogPDF,1000,PARALLEL,0.834000
Uniform,LogPDF,1000,WORK_STEALING,0.208000
Uniform,CDF,1000,SCALAR,19.875000
Uniform,CDF,1000,VECTORIZED,1.208000
Uniform,CDF,1000,PARALLEL,1.000000
Uniform,CDF,1000,WORK_STEALING,0.250000
Uniform,PDF,2000,SCALAR,39.584000
Uniform,PDF,2000,VECTORIZED,0.375000
Uniform,PDF,2000,PARALLEL,52.250000
Uniform,PDF,2000,WORK_STEALING,21.708000
Uniform,LogPDF,2000,SCALAR,38.708000
Uniform,LogPDF,2000,VECTORIZED,0.375000
Uniform,LogPDF,2000,PARALLEL,43.083000
Uniform,LogPDF,2000,WORK_STEALING,19.958000
Uniform,CDF,2000,SCALAR,98.708000
Uniform,CDF,2000,VECTORIZED,2.208000
Uniform,CDF,2000,PARALLEL,56.250000
Uniform,CDF,2000,WORK_STEALING,19.167000
Uniform,PDF,5000,SCALAR,98.708000
Uniform,PDF,5000,VECTORIZED,0.917000
Uniform,PDF,5000,PARALLEL,107.334000
Uniform,PDF,5000,WORK_STEALING,29.500000
Uniform,LogPDF,5000,SCALAR,96.458000
Uniform,LogPDF,5000,VECTORIZED,0.875000
Uniform,LogPDF,5000,PARALLEL,113.833000
Uniform,LogPDF,5000,WORK_STEALING,29.125000
Uniform,CDF,5000,SCALAR,98.375000
Uniform,CDF,5000,VECTORIZED,6.333000
Uniform,CDF,5000,PARALLEL,106.709000
Uniform,CDF,5000,WORK_STEALING,34.666000
Uniform,PDF,10000,SCALAR,197.833000
Uniform,PDF,10000,VECTORIZED,1.750000
Uniform,PDF,10000,PARALLEL,149.750000
Uniform,PDF,10000,WORK_STEALING,34.875000
Uniform,LogPDF,10000,SCALAR,194.875000
Uniform,LogPDF,10000,VECTORIZED,1.750000
Uniform,LogPDF,10000,PARALLEL,134.708000
Uniform,LogPDF,10000,WORK_STEALING,24.125000
Uniform,CDF,10000,SCALAR,195.375000
Uniform,CDF,10000,VECTORIZED,32.750000
Uniform,CDF,10000,PARALLEL,148.125000
Uniform,CDF,10000,WORK_STEALING,33.333000
Uniform,PDF,20000,SCALAR,398.208000
Uniform,PDF,20000,VECTORIZED,3.708000
Uniform,PDF,20000,PARALLEL,183.916000
Uniform,PDF,20000,WORK_STEALING,47.291000
Uniform,LogPDF,20000,SCALAR,391.542000
Uniform,LogPDF,20000,VECTORIZED,3.500000
Uniform,LogPDF,20000,PARALLEL,173.083000
Uniform,LogPDF,20000,WORK_STEALING,41.542000
Uniform,CDF,20000,SCALAR,394.791000
Uniform,CDF,20000,VECTORIZED,80.375000
Uniform,CDF,20000,PARALLEL,157.750000
Uniform,CDF,20000,WORK_STEALING,43.166000
Uniform,PDF,50000,SCALAR,1015.542000
Uniform,PDF,50000,VECTORIZED,8.625000
Uniform,PDF,50000,PARALLEL,109.041000
Uniform,PDF,50000,WORK_STEALING,70.792000
Uniform,LogPDF,50000,SCALAR,972.709000
Uniform,LogPDF,50000,VECTORIZED,8.542000
Uniform,LogPDF,50000,PARALLEL,108.167000
Uniform,LogPDF,50000,WORK_STEALING,74.667000
Uniform,CDF,50000,SCALAR,1006.083000
Uniform,CDF,50000,VECTORIZED,237.333000
Uniform,CDF,50000,PARALLEL,109.417000
Uniform,CDF,50000,WORK_STEALING,81.166000
Uniform,PDF,100000,SCALAR,1990.750000
Uniform,PDF,100000,VECTORIZED,18.000000
Uniform,PDF,100000,PARALLEL,146.375000
Uniform,PDF,100000,WORK_STEALING,130.583000
Uniform,LogPDF,100000,SCALAR,1990.417000
Uniform,LogPDF,100000,VECTORIZED,48.167000
Uniform,LogPDF,100000,PARALLEL,160.125000
Uniform,LogPDF,100000,WORK_STEALING,116.708000
Uniform,CDF,100000,SCALAR,2010.166000
Uniform,CDF,100000,VECTORIZED,482.958000
Uniform,CDF,100000,PARALLEL,167.208000
Uniform,CDF,100000,WORK_STEALING,131.542000
Uniform,PDF,250000,SCALAR,5054.792000
Uniform,PDF,250000,VECTORIZED,44.750000
Uniform,PDF,250000,PARALLEL,281.125000
Uniform,PDF,250000,WORK_STEALING,241.834000
Uniform,LogPDF,250000,SCALAR,4951.333000
Uniform,LogPDF,250000,VECTORIZED,42.834000
Uniform,LogPDF,250000,PARALLEL,296.125000
Uniform,LogPDF,250000,WORK_STEALING,248.125000
Uniform,CDF,250000,SCALAR,5061.666000
Uniform,CDF,250000,VECTORIZED,1374.833000
Uniform,CDF,250000,PARALLEL,351.708000
Uniform,CDF,250000,WORK_STEALING,289.417000
Uniform,PDF,500000,SCALAR,10396.792000
Uniform,PDF,500000,VECTORIZED,89.375000
Uniform,PDF,500000,PARALLEL,526.417000
Uniform,PDF,500000,WORK_STEALING,453.166000
Uniform,LogPDF,500000,SCALAR,9973.708000
Uniform,LogPDF,500000,VECTORIZED,91.458000
Uniform,LogPDF,500000,PARALLEL,537.916000
Uniform,LogPDF,500000,WORK_STEALING,480.375000
Uniform,CDF,500000,SCALAR,10097.750000
Uniform,CDF,500000,VECTORIZED,2589.541000
Uniform,CDF,500000,PARALLEL,548.041000
Uniform,CDF,500000,WORK_STEALING,508.958000
Gaussian,PDF,8,SCALAR,0.167000
Gaussian,PDF,8,VECTORIZED,0.083000
Gaussian,PDF,8,PARALLEL,0.042000
Gaussian,PDF,8,WORK_STEALING,0.083000
Gaussian,LogPDF,8,SCALAR,0.167000
Gaussian,LogPDF,8,VECTORIZED,0.083000
Gaussian,LogPDF,8,PARALLEL,0.042000
Gaussian,LogPDF,8,WORK_STEALING,0.042000
Gaussian,CDF,8,SCALAR,0.208000
Gaussian,CDF,8,VECTORIZED,0.083000
Gaussian,CDF,8,PARALLEL,0.125000
Gaussian,CDF,8,WORK_STEALING,0.125000
Gaussian,PDF,16,SCALAR,0.333000
Gaussian,PDF,16,VECTORIZED,0.083000
Gaussian,PDF,16,PARALLEL,0.083000
Gaussian,PDF,16,WORK_STEALING,0.083000
Gaussian,LogPDF,16,SCALAR,0.333000
Gaussian,LogPDF,16,VECTORIZED,0.083000
Gaussian,LogPDF,16,PARALLEL,0.042000
Gaussian,LogPDF,16,WORK_STEALING,0.041000
Gaussian,CDF,16,SCALAR,0.458000
Gaussian,CDF,16,VECTORIZED,0.125000
Gaussian,CDF,16,PARALLEL,0.209000
Gaussian,CDF,16,WORK_STEALING,0.250000
