distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,1.335,2.227,1.668
Beta,CDF,16,VECTORIZED,2.477,4.478,1.808
Beta,CDF,32,VECTORIZED,4.372,8.232,1.883
Beta,CDF,64,VECTORIZED,7.846,15.228,1.941
Beta,CDF,128,VECTORIZED,17.471,33.954,1.943
Beta,CDF,256,VECTORIZED,35.657,71.618,2.009
Beta,CDF,512,WORK_STEALING,66.926,131.465,1.964
Beta,CDF,1000,VECTORIZED,131.562,257.291,1.956
Beta,CDF,2000,VECTORIZED,268.943,527.643,1.962
Beta,CDF,5000,VECTORIZED,670.078,1298.549,1.938
Beta,CDF,10000,VECTORIZED,1344.12,2610.103,1.942
Beta,CDF,20000,VECTORIZED,2656.87,5254.6,1.978
Beta,CDF,50000,PARALLEL,4560.025,13106.362,2.874
Beta,CDF,100000,WORK_STEALING,4963.584,26212.555,5.281
Beta,CDF,250000,WORK_STEALING,9103.656,65695.126,7.216
Beta,CDF,500000,WORK_STEALING,19308.842,136006.803,7.044
Beta,LogPDF,8,SCALAR,0.806,0.806,1.0
Beta,LogPDF,16,PARALLEL,1.624,1.648,1.015
Beta,LogPDF,32,VECTORIZED,2.362,3.152,1.334
Beta,LogPDF,64,VECTORIZED,3.697,6.068,1.641
Beta,LogPDF,128,VECTORIZED,5.151,12.47,2.421
Beta,LogPDF,256,VECTORIZED,9.335,24.784,2.655
Beta,LogPDF,512,VECTORIZED,19.476,49.033,2.518
Beta,LogPDF,1000,WORK_STEALING,37.604,95.651,2.544
Beta,LogPDF,2000,WORK_STEALING,73.494,192.019,2.613
Beta,LogPDF,5000,WORK_STEALING,190.179,480.682,2.528
Beta,LogPDF,10000,WORK_STEALING,381.535,958.955,2.513
Beta,LogPDF,20000,PARALLEL,769.849,1921.112,2.495
Beta,LogPDF,50000,PARALLEL,1915.861,4933.203,2.575
Beta,LogPDF,100000,PARALLEL,3849.645,9961.9,2.588
Beta,LogPDF,250000,WORK_STEALING,9752.412,26546.501,2.722
Beta,LogPDF,500000,PARALLEL,20295.199,53991.196,2.66
Beta,PDF,8,SCALAR,1.002,1.002,1.0
Beta,PDF,16,VECTORIZED,1.738,1.89,1.087
Beta,PDF,32,VECTORIZED,2.563,3.644,1.422
Beta,PDF,64,VECTORIZED,4.175,6.934,1.661
Beta,PDF,128,WORK_STEALING,5.952,14.401,2.42
Beta,PDF,256,PARALLEL,11.029,29.156,2.644
Beta,PDF,512,VECTORIZED,22.685,56.79,2.503
Beta,PDF,1000,WORK_STEALING,44.012,111.867,2.542
Beta,PDF,2000,VECTORIZED,85.881,223.191,2.599
Beta,PDF,5000,WORK_STEALING,221.21,556.63,2.516
Beta,PDF,10000,VECTORIZED,446.064,1115.117,2.5
Beta,PDF,20000,PARALLEL,900.993,2255.967,2.504
Beta,PDF,50000,WORK_STEALING,2239.959,5701.417,2.545
Beta,PDF,100000,WORK_STEALING,4473.847,11618.19,2.597
Beta,PDF,250000,PARALLEL,11332.118,30178.192,2.663
Beta,PDF,500000,WORK_STEALING,22987.878,59169.819,2.574
Binomial,CDF,8,SCALAR,4.202,4.202,1.0
Binomial,CDF,16,SCALAR,8.462,8.462,1.0
Binomial,CDF,32,WORK_STEALING,16.897,16.987,1.005
Binomial,CDF,64,SCALAR,33.992,33.992,1.0
Binomial,CDF,128,SCALAR,68.027,68.027,1.0
Binomial,CDF,256,SCALAR,135.46,135.46,1.0
Binomial,CDF,512,SCALAR,270.933,270.933,1.0
Binomial,CDF,1000,VECTORIZED,530.169,530.512,1.001
Binomial,CDF,2000,SCALAR,1057.163,1057.163,1.0
Binomial,CDF,5000,WORK_STEALING,2461.087,2659.293,1.081
Binomial,CDF,10000,WORK_STEALING,4976.489,5550.776,1.115
Binomial,CDF,20000,WORK_STEALING,9800.822,10985.097,1.121
Binomial,CDF,50000,WORK_STEALING,22972.239,28321.341,1.233
Binomial,CDF,100000,WORK_STEALING,45724.66,56641.547,1.239
Binomial,CDF,250000,WORK_STEALING,114274.641,141692.592,1.24
Binomial,CDF,500000,WORK_STEALING,233771.389,284268.194,1.216
Binomial,LogPDF,8,VECTORIZED,0.994,1.558,1.567
Binomial,LogPDF,16,VECTORIZED,1.844,2.937,1.593
Binomial,LogPDF,32,VECTORIZED,3.611,5.906,1.636
Binomial,LogPDF,64,VECTORIZED,6.987,11.439,1.637
Binomial,LogPDF,128,VECTORIZED,13.42,22.4,1.669
Binomial,LogPDF,256,VECTORIZED,26.923,44.864,1.666
Binomial,LogPDF,512,VECTORIZED,54.348,90.163,1.659
Binomial,LogPDF,1000,VECTORIZED,106.363,176.251,1.657
Binomial,LogPDF,2000,VECTORIZED,212.499,352.631,1.659
Binomial,LogPDF,5000,VECTORIZED,525.143,876.117,1.668
Binomial,LogPDF,10000,VECTORIZED,1053.088,1757.37,1.669
Binomial,LogPDF,20000,VECTORIZED,2108.079,3521.034,1.67
Binomial,LogPDF,50000,VECTORIZED,5699.135,9337.402,1.638
Binomial,LogPDF,100000,VECTORIZED,11177.017,18705.492,1.674
Binomial,LogPDF,250000,VECTORIZED,28023.473,46740.17,1.668
Binomial,LogPDF,500000,VECTORIZED,56951.354,94549.069,1.66
Binomial,PDF,8,VECTORIZED,1.217,1.731,1.422
Binomial,PDF,16,VECTORIZED,2.189,3.135,1.432
Binomial,PDF,32,VECTORIZED,4.542,6.513,1.434
Binomial,PDF,64,VECTORIZED,8.037,11.424,1.421
Binomial,PDF,128,VECTORIZED,16.423,24.928,1.518
Binomial,PDF,256,VECTORIZED,32.775,50.2,1.532
Binomial,PDF,512,VECTORIZED,65.915,100.784,1.529
Binomial,PDF,1000,VECTORIZED,129.033,197.644,1.532
Binomial,PDF,2000,VECTORIZED,256.717,394.734,1.538
Binomial,PDF,5000,VECTORIZED,639.367,980.196,1.533
Binomial,PDF,10000,VECTORIZED,1282.746,1973.763,1.539
Binomial,PDF,20000,VECTORIZED,2594.162,3938.599,1.518
Binomial,PDF,50000,VECTORIZED,6935.219,10526.556,1.518
Binomial,PDF,100000,VECTORIZED,13750.621,21012.834,1.528
Binomial,PDF,250000,VECTORIZED,34562.676,52791.65,1.527
Binomial,PDF,500000,VECTORIZED,69716.695,106497.165,1.528
ChiSquared,CDF,8,PARALLEL,0.967,1.419,1.467
ChiSquared,CDF,16,PARALLEL,1.809,2.88,1.592
ChiSquared,CDF,32,PARALLEL,3.404,5.769,1.695
ChiSquared,CDF,64,WORK_STEALING,6.654,11.583,1.741
ChiSquared,CDF,128,WORK_STEALING,13.328,23.001,1.726
ChiSquared,CDF,256,WORK_STEALING,27.006,46.065,1.706
ChiSquared,CDF,512,WORK_STEALING,54.18,92.3,1.704
ChiSquared,CDF,1000,WORK_STEALING,110.486,181.821,1.646
ChiSquared,CDF,2000,WORK_STEALING,222.294,363.847,1.637
ChiSquared,CDF,5000,WORK_STEALING,291.704,906.631,3.108
ChiSquared,CDF,10000,WORK_STEALING,407.615,1824.133,4.475
ChiSquared,CDF,20000,WORK_STEALING,610.148,3638.158,5.963
ChiSquared,CDF,50000,WORK_STEALING,1087.264,9203.382,8.465
ChiSquared,CDF,100000,WORK_STEALING,2045.189,18467.628,9.03
ChiSquared,CDF,250000,WORK_STEALING,4738.283,44765.267,9.448
ChiSquared,CDF,500000,WORK_STEALING,8701.107,92336.23,10.612
ChiSquared,LogPDF,8,PARALLEL,0.335,0.747,2.23
ChiSquared,LogPDF,16,PARALLEL,0.493,1.403,2.846
ChiSquared,LogPDF,32,WORK_STEALING,0.778,2.701,3.472
ChiSquared,LogPDF,64,WORK_STEALING,1.363,5.503,4.037
ChiSquared,LogPDF,128,VECTORIZED,2.077,10.527,5.068
ChiSquared,LogPDF,256,VECTORIZED,3.779,21.22,5.615
ChiSquared,LogPDF,512,VECTORIZED,7.336,42.12,5.742
ChiSquared,LogPDF,1000,VECTORIZED,14.028,82.54,5.884
ChiSquared,LogPDF,2000,VECTORIZED,28.084,165.216,5.883
ChiSquared,LogPDF,5000,VECTORIZED,71.671,411.563,5.742
ChiSquared,LogPDF,10000,VECTORIZED,143.272,824.705,5.756
ChiSquared,LogPDF,20000,WORK_STEALING,261.363,1654.145,6.329
ChiSquared,LogPDF,50000,WORK_STEALING,341.626,4171.542,12.211
ChiSquared,LogPDF,100000,WORK_STEALING,480.719,8379.766,17.432
ChiSquared,LogPDF,250000,WORK_STEALING,943.272,20997.499,22.26
ChiSquared,LogPDF,500000,WORK_STEALING,1632.35,40717.921,24.944
ChiSquared,PDF,8,WORK_STEALING,0.471,1.261,2.677
ChiSquared,PDF,16,WORK_STEALING,0.79,2.696,3.413
ChiSquared,PDF,32,WORK_STEALING,1.381,5.09,3.686
ChiSquared,PDF,64,WORK_STEALING,2.617,10.392,3.971
ChiSquared,PDF,128,VECTORIZED,2.998,20.805,6.94
ChiSquared,PDF,256,VECTORIZED,5.485,41.355,7.54
ChiSquared,PDF,512,VECTORIZED,10.559,82.587,7.821
ChiSquared,PDF,1000,VECTORIZED,20.139,160.777,7.983
ChiSquared,PDF,2000,VECTORIZED,40.004,330.68,8.266
ChiSquared,PDF,5000,VECTORIZED,102.955,809.804,7.866
ChiSquared,PDF,10000,VECTORIZED,204.243,1612.63,7.896
ChiSquared,PDF,20000,WORK_STEALING,297.858,3227.56,10.836
ChiSquared,PDF,50000,WORK_STEALING,443.525,8134.43,18.34
ChiSquared,PDF,100000,WORK_STEALING,699.85,16396.6,23.429
ChiSquared,PDF,250000,WORK_STEALING,1658.845,41034.573,24.737
ChiSquared,PDF,500000,WORK_STEALING,2594.036,79296.988,30.569
Discrete,CDF,8,VECTORIZED,0.156,0.526,3.372
Discrete,CDF,16,VECTORIZED,0.188,0.984,5.234
Discrete,CDF,32,VECTORIZED,0.24,1.976,8.233
Discrete,CDF,64,VECTORIZED,0.348,3.847,11.055
Discrete,CDF,128,VECTORIZED,0.571,7.407,12.972
Discrete,CDF,256,VECTORIZED,1.128,14.923,13.23
Discrete,CDF,512,VECTORIZED,2.079,29.404,14.143
Discrete,CDF,1000,VECTORIZED,3.896,57.766,14.827
Discrete,CDF,2000,VECTORIZED,8.009,117.497,14.671
Discrete,CDF,5000,VECTORIZED,18.947,263.672,13.916
Discrete,CDF,10000,VECTORIZED,36.966,527.724,14.276
Discrete,CDF,20000,VECTORIZED,77.655,1125.078,14.488
Discrete,CDF,50000,WORK_STEALING,183.536,2820.939,15.37
Discrete,CDF,100000,WORK_STEALING,234.557,6141.241,26.182
Discrete,CDF,250000,WORK_STEALING,486.458,16604.321,34.133
Discrete,CDF,500000,WORK_STEALING,884.396,33622.727,38.018
Discrete,LogPDF,8,VECTORIZED,0.18,0.598,3.322
Discrete,LogPDF,16,WORK_STEALING,0.246,1.015,4.126
Discrete,LogPDF,32,VECTORIZED,0.296,1.918,6.48
Discrete,LogPDF,64,VECTORIZED,0.423,3.687,8.716
Discrete,LogPDF,128,WORK_STEALING,0.642,7.172,11.171
Discrete,LogPDF,256,WORK_STEALING,1.059,15.009,14.173
Discrete,LogPDF,512,WORK_STEALING,1.82,29.077,15.976
Discrete,LogPDF,1000,WORK_STEALING,3.475,58.469,16.826
Discrete,LogPDF,2000,WORK_STEALING,6.695,117.421,17.539
Discrete,LogPDF,5000,VECTORIZED,22.129,283.815,12.825
Discrete,LogPDF,10000,VECTORIZED,44.084,569.003,12.907
Discrete,LogPDF,20000,VECTORIZED,88.592,1137.647,12.841
Discrete,LogPDF,50000,WORK_STEALING,148.939,2862.09,19.217
Discrete,LogPDF,100000,WORK_STEALING,197.638,5895.652,29.831
Discrete,LogPDF,250000,WORK_STEALING,374.573,16285.407,43.477
Discrete,LogPDF,500000,WORK_STEALING,596.989,34033.956,57.009
Discrete,PDF,8,VECTORIZED,0.161,0.534,3.317
Discrete,PDF,16,VECTORIZED,0.218,1.03,4.725
Discrete,PDF,32,VECTORIZED,0.276,1.851,6.707
Discrete,PDF,64,VECTORIZED,0.381,3.396,8.913
Discrete,PDF,128,PARALLEL,0.672,7.515,11.183
Discrete,PDF,256,PARALLEL,1.132,15.118,13.355
Discrete,PDF,512,PARALLEL,2.094,30.024,14.338
Discrete,PDF,1000,PARALLEL,3.775,58.293,15.442
Discrete,PDF,2000,PARALLEL,7.396,117.869,15.937
Discrete,PDF,5000,VECTORIZED,25.005,294.056,11.76
Discrete,PDF,10000,VECTORIZED,47.36,569.886,12.033
Discrete,PDF,20000,VECTORIZED,94.66,1140.479,12.048
Discrete,PDF,50000,WORK_STEALING,138.669,2858.528,20.614
Discrete,PDF,100000,WORK_STEALING,194.894,5945.235,30.505
Discrete,PDF,250000,WORK_STEALING,330.513,16379.837,49.559
Discrete,PDF,500000,WORK_STEALING,578.809,34009.263,58.757
Exponential,CDF,8,PARALLEL,0.284,0.623,2.194
Exponential,CDF,16,VECTORIZED,0.379,1.204,3.177
Exponential,CDF,32,VECTORIZED,0.447,2.315,5.179
Exponential,CDF,64,VECTORIZED,0.661,4.459,6.746
Exponential,CDF,128,VECTORIZED,1.085,8.864,8.17
Exponential,CDF,256,VECTORIZED,2.081,18.145,8.719
Exponential,CDF,512,VECTORIZED,3.86,35.42,9.176
Exponential,CDF,1000,VECTORIZED,7.313,69.568,9.513
Exponential,CDF,2000,VECTORIZED,14.221,147.816,10.394
Exponential,CDF,5000,VECTORIZED,36.763,389.259,10.588
Exponential,CDF,10000,VECTORIZED,74.374,696.583,9.366
Exponential,CDF,20000,WORK_STEALING,135.553,1445.291,10.662
Exponential,CDF,50000,WORK_STEALING,231.524,3465.58,14.969
Exponential,CDF,100000,WORK_STEALING,286.558,6964.782,24.305
Exponential,CDF,250000,WORK_STEALING,655.606,17578.592,26.813
Exponential,CDF,500000,WORK_STEALING,1307.774,35520.481,27.161
Exponential,LogPDF,8,WORK_STEALING,0.18,0.525,2.917
Exponential,LogPDF,16,WORK_STEALING,0.185,0.98,5.297
Exponential,LogPDF,32,VECTORIZED,0.201,1.785,8.881
Exponential,LogPDF,64,WORK_STEALING,0.226,3.597,15.916
Exponential,LogPDF,128,WORK_STEALING,0.251,7.249,28.88
Exponential,LogPDF,256,WORK_STEALING,0.339,14.562,42.956
Exponential,LogPDF,512,WORK_STEALING,0.5,28.951,57.902
Exponential,LogPDF,1000,WORK_STEALING,0.658,56.12,85.289
Exponential,LogPDF,2000,WORK_STEALING,1.456,125.495,86.192
Exponential,LogPDF,5000,VECTORIZED,7.737,318.179,41.124
Exponential,LogPDF,10000,VECTORIZED,15.686,589.385,37.574
Exponential,LogPDF,20000,VECTORIZED,34.275,1128.362,32.921
Exponential,LogPDF,50000,VECTORIZED,92.825,2845.403,30.653
Exponential,LogPDF,100000,PARALLEL,130.459,5672.292,43.479
Exponential,LogPDF,250000,PARALLEL,220.957,14231.213,64.407
Exponential,LogPDF,500000,WORK_STEALING,331.487,28802.898,86.89
Exponential,PDF,8,VECTORIZED,0.254,0.656,2.583
Exponential,PDF,16,VECTORIZED,0.365,1.189,3.258
Exponential,PDF,32,VECTORIZED,0.397,2.393,6.028
Exponential,PDF,64,VECTORIZED,0.606,4.217,6.959
Exponential,PDF,128,VECTORIZED,1.051,8.978,8.542
Exponential,PDF,256,VECTORIZED,1.87,17.816,9.527
Exponential,PDF,512,VECTORIZED,3.662,39.471,10.779
Exponential,PDF,1000,VECTORIZED,6.99,69.462,9.937
Exponential,PDF,2000,VECTORIZED,13.913,140.068,10.067
Exponential,PDF,5000,VECTORIZED,34.808,347.414,9.981
Exponential,PDF,10000,VECTORIZED,70.257,710.216,10.109
Exponential,PDF,20000,VECTORIZED,142.105,1400.533,9.856
Exponential,PDF,50000,WORK_STEALING,231.44,3556.178,15.365
Exponential,PDF,100000,WORK_STEALING,290.462,6976.625,24.019
Exponential,PDF,250000,WORK_STEALING,548.43,17554.826,32.009
Exponential,PDF,500000,WORK_STEALING,1225.655,35539.515,28.996
Gamma,CDF,8,PARALLEL,1.041,1.42,1.364
Gamma,CDF,16,PARALLEL,1.825,2.812,1.541
Gamma,CDF,32,WORK_STEALING,3.548,5.717,1.611
Gamma,CDF,64,PARALLEL,6.826,11.383,1.668
Gamma,CDF,128,VECTORIZED,13.011,22.462,1.726
