Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.425000
Uniform,PDF,8,VECTORIZED,0.099000
Uniform,PDF,8,PARALLEL,0.119000
Uniform,PDF,8,WORK_STEALING,0.177000
Uniform,LogPDF,8,SCALAR,0.428000
Uniform,LogPDF,8,VECTORIZED,0.106000
Uniform,LogPDF,8,PARALLEL,0.128000
Uniform,LogPDF,8,WORK_STEALING,0.217000
Uniform,CDF,8,SCALAR,0.559000
Uniform,CDF,8,VECTORIZED,0.196000
Uniform,CDF,8,PARALLEL,0.194000
Uniform,CDF,8,WORK_STEALING,0.193000
Uniform,PDF,16,SCALAR,0.950000
Uniform,PDF,16,VECTORIZED,0.136000
Uniform,PDF,16,PARALLEL,0.199000
Uniform,PDF,16,WORK_STEALING,0.210000
Uniform,LogPDF,16,SCALAR,0.999000
Uniform,LogPDF,16,VECTORIZED,0.184000
Uniform,LogPDF,16,PARALLEL,0.136000
Uniform,LogPDF,16,WORK_STEALING,0.141000
Uniform,CDF,16,SCALAR,0.813000
Uniform,CDF,16,VECTORIZED,0.132000
Uniform,CDF,16,PARALLEL,0.202000
Uniform,CDF,16,WORK_STEALING,0.206000
Uniform,PDF,32,SCALAR,1.941000
Uniform,PDF,32,VECTORIZED,0.162000
Uniform,PDF,32,PARALLEL,0.234000
Uniform,PDF,32,WORK_STEALING,0.215000
Uniform,LogPDF,32,SCALAR,1.863000
Uniform,LogPDF,32,VECTORIZED,0.162000
Uniform,LogPDF,32,PARALLEL,0.270000
Uniform,LogPDF,32,WORK_STEALING,0.247000
Uniform,CDF,32,SCALAR,1.927000
Uniform,CDF,32,VECTORIZED,0.405000
Uniform,CDF,32,PARALLEL,0.431000
Uniform,CDF,32,WORK_STEALING,0.237000
Uniform,PDF,64,SCALAR,3.757000
Uniform,PDF,64,VECTORIZED,0.165000
Uniform,PDF,64,PARALLEL,0.300000
Uniform,PDF,64,WORK_STEALING,0.223000
Uniform,LogPDF,64,SCALAR,3.609000
Uniform,LogPDF,64,VECTORIZED,0.185000
Uniform,LogPDF,64,PARALLEL,0.272000
Uniform,LogPDF,64,WORK_STEALING,0.233000
Uniform,CDF,64,SCALAR,3.769000
Uniform,CDF,64,VECTORIZED,0.326000
Uniform,CDF,64,PARALLEL,0.314000
