distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,50000,16,PARALLEL,19878.677,500000
Beta,LogPDF,16,5000,256,WORK_STEALING,19765.008,500000
Beta,PDF,16,8,32,WORK_STEALING,23748.294,500000
Binomial,CDF,16,50000,32,WORK_STEALING,193117.065,500000
Binomial,LogPDF,8,,64,VECTORIZED,47358.14,500000
Binomial,PDF,8,,64,VECTORIZED,60515.383,500000
ChiSquared,CDF,16,8,32,WORK_STEALING,8916.353,500000
ChiSquared,LogPDF,16,8,64,WORK_STEALING,1679.928,500000
ChiSquared,PDF,8,8,256,WORK_STEALING,2982.212,500000
Discrete,CDF,8,100000,8,WORK_STEALING,636.077,500000
Discrete,LogPDF,8,100000,64,WORK_STEALING,503.101,500000
Discrete,PDF,8,64,5000,WORK_STEALING,483.702,500000
Exponential,CDF,8,8,8,WORK_STEALING,1055.212,500000
Exponential,LogPDF,8,8,16,WORK_STEALING,371.728,500000
Exponential,PDF,8,8,8,WORK_STEALING,1017.01,500000
Gamma,CDF,16,8,16,WORK_STEALING,7249.028,500000
Gamma,LogPDF,16,8,32,WORK_STEALING,1388.904,500000
Gamma,PDF,8,8,8,WORK_STEALING,2379.258,500000
Gaussian,CDF,8,8,32,WORK_STEALING,3289.769,500000
Gaussian,LogPDF,8,8,32,PARALLEL,214.438,500000
Gaussian,PDF,8,8,8,WORK_STEALING,982.608,500000
LogNormal,CDF,16,8,64,WORK_STEALING,5318.783,500000
LogNormal,LogPDF,16,8,512,WORK_STEALING,1793.927,500000
LogNormal,PDF,8,8,8,WORK_STEALING,3776.656,500000
NegBinomial,CDF,16,64,128,PARALLEL,173174.564,500000
NegBinomial,LogPDF,8,,32,VECTORIZED,42320.536,500000
NegBinomial,PDF,8,,128,VECTORIZED,54979.297,500000
Pareto,CDF,8,8,5000,WORK_STEALING,4554.68,500000
Pareto,LogPDF,8,8,5000,WORK_STEALING,1639.021,500000
Pareto,PDF,8,100000,1000,WORK_STEALING,3575.452,500000
Poisson,CDF,32,50000,8,WORK_STEALING,10910.382,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,1801.272,500000
Poisson,PDF,8,50000,64,WORK_STEALING,4210.764,500000
Rayleigh,CDF,8,8,5000,WORK_STEALING,1660.145,500000
Rayleigh,LogPDF,16,8,2000,WORK_STEALING,2081.973,500000
Rayleigh,PDF,8,8,2000,WORK_STEALING,3311.427,500000
StudentT,CDF,8,8,8,WORK_STEALING,172101.325,500000
StudentT,LogPDF,8,8,32,WORK_STEALING,2788.693,500000
StudentT,PDF,8,100000,64,WORK_STEALING,5087.435,500000
Uniform,CDF,8,8,32,WORK_STEALING,551.565,500000
Uniform,LogPDF,8,,32,VECTORIZED,481.317,500000
Uniform,PDF,8,,32,VECTORIZED,455.163,500000
VonMises,CDF,8,16,32,WORK_STEALING,1638692.559,500000
VonMises,LogPDF,8,8,1000,WORK_STEALING,2146.755,500000
VonMises,PDF,8,500000,1000,WORK_STEALING,3398.142,500000
Weibull,CDF,8,8,512,WORK_STEALING,4798.887,500000
Weibull,LogPDF,16,8,1000,WORK_STEALING,3268.765,500000
Weibull,PDF,8,8,1000,WORK_STEALING,4634.309,500000
