distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.3,0.8,2.667
Beta,CDF,16,VECTORIZED,0.6,1.8,3.0
Beta,CDF,32,VECTORIZED,1.1,3.2,2.909
Beta,CDF,64,VECTORIZED,2.0,5.9,2.95
Beta,CDF,128,VECTORIZED,4.2,12.5,2.976
Beta,CDF,256,VECTORIZED,8.0,25.4,3.175
Beta,CDF,512,VECTORIZED,16.2,50.9,3.142
Beta,CDF,1000,VECTORIZED,31.1,99.2,3.19
Beta,CDF,2000,VECTORIZED,62.9,203.6,3.237
Beta,CDF,5000,VECTORIZED,153.8,521.0,3.388
Beta,CDF,10000,PARALLEL,136.9,1031.8,7.537
Beta,CDF,20000,PARALLEL,207.8,2105.3,10.131
Beta,CDF,50000,WORK_STEALING,392.7,5340.6,13.6
Beta,CDF,100000,PARALLEL,764.1,10858.6,14.211
Beta,CDF,250000,PARALLEL,1889.9,28103.6,14.87
Beta,CDF,500000,WORK_STEALING,3810.9,56282.7,14.769
Beta,LogPDF,8,SCALAR,0.1,0.1,1.0
Beta,LogPDF,16,SCALAR,0.2,0.2,1.0
Beta,LogPDF,32,VECTORIZED,0.2,0.4,2.0
Beta,LogPDF,64,VECTORIZED,0.4,0.7,1.75
Beta,LogPDF,128,VECTORIZED,0.6,1.4,2.333
Beta,LogPDF,256,VECTORIZED,1.0,2.9,2.9
Beta,LogPDF,512,VECTORIZED,1.9,5.6,2.947
Beta,LogPDF,1000,PARALLEL,3.4,10.9,3.206
Beta,LogPDF,2000,PARALLEL,6.7,22.0,3.284
Beta,LogPDF,5000,VECTORIZED,17.3,54.2,3.133
Beta,LogPDF,10000,VECTORIZED,34.2,117.1,3.424
Beta,LogPDF,20000,VECTORIZED,67.6,234.4,3.467
Beta,LogPDF,50000,WORK_STEALING,170.7,633.8,3.713
Beta,LogPDF,100000,PARALLEL,459.7,1258.4,2.737
Beta,LogPDF,250000,WORK_STEALING,1232.3,3210.4,2.605
Beta,LogPDF,500000,PARALLEL,2571.7,6595.6,2.565
Beta,PDF,8,SCALAR,0.1,0.1,1.0
Beta,PDF,16,SCALAR,0.3,0.3,1.0
Beta,PDF,32,VECTORIZED,0.3,0.6,2.0
Beta,PDF,64,VECTORIZED,0.5,1.0,2.0
Beta,PDF,128,VECTORIZED,0.7,2.0,2.857
Beta,PDF,256,VECTORIZED,1.2,4.1,3.417
Beta,PDF,512,VECTORIZED,2.2,8.0,3.636
Beta,PDF,1000,VECTORIZED,4.1,15.6,3.805
Beta,PDF,2000,PARALLEL,7.8,31.5,4.038
Beta,PDF,5000,WORK_STEALING,20.3,78.1,3.847
Beta,PDF,10000,VECTORIZED,39.5,156.7,3.967
Beta,PDF,20000,VECTORIZED,78.0,334.4,4.287
Beta,PDF,50000,WORK_STEALING,206.8,870.2,4.208
Beta,PDF,100000,PARALLEL,542.7,1730.1,3.188
Beta,PDF,250000,PARALLEL,1379.3,4457.6,3.232
Beta,PDF,500000,WORK_STEALING,2956.6,9537.6,3.226
Binomial,CDF,8,SCALAR,2.3,2.3,1.0
Binomial,CDF,16,SCALAR,5.4,5.4,1.0
Binomial,CDF,32,VECTORIZED,10.6,10.7,1.009
Binomial,CDF,64,PARALLEL,14.3,21.4,1.497
Binomial,CDF,128,VECTORIZED,28.6,28.7,1.003
Binomial,CDF,256,SCALAR,57.4,57.4,1.0
Binomial,CDF,512,PARALLEL,114.7,114.8,1.001
Binomial,CDF,1000,VECTORIZED,224.0,234.3,1.046
Binomial,CDF,2000,PARALLEL,448.2,449.0,1.002
Binomial,CDF,5000,PARALLEL,1127.2,1137.0,1.009
Binomial,CDF,10000,PARALLEL,877.9,2243.4,2.555
Binomial,CDF,20000,PARALLEL,1591.9,4493.0,2.822
Binomial,CDF,50000,PARALLEL,4029.2,12103.5,3.004
Binomial,CDF,100000,PARALLEL,7084.0,23472.6,3.313
Binomial,CDF,250000,PARALLEL,18839.4,59821.5,3.175
Binomial,CDF,500000,PARALLEL,32403.8,125982.7,3.888
Binomial,LogPDF,8,VECTORIZED,0.6,0.7,1.167
Binomial,LogPDF,16,VECTORIZED,1.8,2.1,1.167
Binomial,LogPDF,32,VECTORIZED,3.6,4.2,1.167
Binomial,LogPDF,64,VECTORIZED,7.1,8.4,1.183
Binomial,LogPDF,128,VECTORIZED,9.4,11.2,1.191
Binomial,LogPDF,256,VECTORIZED,18.8,22.4,1.191
Binomial,LogPDF,512,WORK_STEALING,44.9,62.5,1.392
Binomial,LogPDF,1000,VECTORIZED,73.7,88.4,1.199
Binomial,LogPDF,2000,VECTORIZED,147.3,176.7,1.2
