distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,10000,32,WORK_STEALING,3810.9,500000
Beta,LogPDF,32,1000,50000,PARALLEL,2571.7,500000
Beta,PDF,32,2000,5000,WORK_STEALING,2956.6,500000
Binomial,CDF,32,64,256,PARALLEL,32403.8,500000
Binomial,LogPDF,8,512,512,VECTORIZED,40771.0,500000
Binomial,PDF,8,,2000,VECTORIZED,45827.9,500000
ChiSquared,CDF,32,8,16,PARALLEL,5232.5,500000
ChiSquared,LogPDF,32,16,256,PARALLEL,735.2,500000
ChiSquared,PDF,8,250000,256,PARALLEL,1171.3,500000
Discrete,CDF,8,50000,32,PARALLEL,348.8,500000
Discrete,LogPDF,16,32,5000,PARALLEL,291.2,500000
Discrete,PDF,8,250000,32,PARALLEL,212.6,500000
Exponential,CDF,16,250000,16,PARALLEL,449.0,500000
Exponential,LogPDF,8,,256,VECTORIZED,265.3,500000
Exponential,PDF,16,500000,10000,PARALLEL,437.3,500000
Gamma,CDF,32,8,128,WORK_STEALING,4493.1,500000
Gamma,LogPDF,32,16,8,PARALLEL,567.9,500000
Gamma,PDF,8,250000,512,WORK_STEALING,879.9,500000
Gaussian,CDF,8,50000,128,PARALLEL,787.1,500000
Gaussian,LogPDF,32,8,10000,WORK_STEALING,140.7,500000
Gaussian,PDF,8,,32,WORK_STEALING,471.8,500000
LogNormal,CDF,8,16,512,PARALLEL,1416.4,500000
LogNormal,LogPDF,32,16,512,PARALLEL,648.1,500000
LogNormal,PDF,8,250000,1000,PARALLEL,1163.4,500000
NegBinomial,CDF,8,128,64,WORK_STEALING,44610.8,500000
NegBinomial,LogPDF,8,,8,VECTORIZED,34001.2,500000
NegBinomial,PDF,8,5000,8,VECTORIZED,37356.1,500000
Pareto,CDF,8,,8,VECTORIZED,1133.3,500000
Pareto,LogPDF,16,,32,VECTORIZED,579.8,500000
Pareto,PDF,8,,64,VECTORIZED,950.5,500000
Poisson,CDF,128,5000,256,PARALLEL,6019.7,500000
Poisson,LogPDF,8,50000,64,PARALLEL,791.1,500000
Poisson,PDF,8,128,8,PARALLEL,1436.0,500000
Rayleigh,CDF,32,16,1000,PARALLEL,552.4,500000
Rayleigh,LogPDF,32,16,256,PARALLEL,618.6,500000
Rayleigh,PDF,8,32,5000,PARALLEL,1131.4,500000
StudentT,CDF,16,16,8,PARALLEL,67761.4,500000
StudentT,LogPDF,16,,16,VECTORIZED,740.8,500000
StudentT,PDF,16,,64,VECTORIZED,1094.7,500000
Uniform,CDF,16,8,512,PARALLEL,539.9,500000
Uniform,LogPDF,16,1000,64,PARALLEL,579.2,500000
Uniform,PDF,8,256,16,PARALLEL,584.5,500000
VonMises,CDF,16,256,16,WORK_STEALING,491146.1,500000
VonMises,LogPDF,16,100000,64,WORK_STEALING,825.3,500000
VonMises,PDF,16,8,256,PARALLEL,1183.7,500000
Weibull,CDF,16,8,1000,VECTORIZED,1289.7,500000
Weibull,LogPDF,16,100000,16,PARALLEL,1118.9,500000
Weibull,PDF,8,250000,16,PARALLEL,1622.2,500000
