distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,5000,8,PARALLEL,16626.671,500000
Beta,LogPDF,16,8,64,WORK_STEALING,15432.299,500000
Beta,PDF,8,16,8,WORK_STEALING,16990.038,500000
Binomial,CDF,8,16,32,PARALLEL,173089.373,500000
Binomial,LogPDF,8,,32,VECTORIZED,34775.105,500000
Binomial,PDF,8,,128,VECTORIZED,45770.102,500000
ChiSquared,CDF,8,8,16,WORK_STEALING,8892.012,500000
ChiSquared,LogPDF,16,8,8,WORK_STEALING,2111.072,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,3421.964,500000
Discrete,CDF,8,100000,8,WORK_STEALING,696.177,500000
Discrete,LogPDF,8,500000,8,PARALLEL,1024.574,500000
Discrete,PDF,8,250000,8,WORK_STEALING,668.634,500000
Exponential,CDF,8,8,8,WORK_STEALING,1575.516,500000
Exponential,LogPDF,8,8,16,WORK_STEALING,455.979,500000
Exponential,PDF,8,8,8,WORK_STEALING,1158.202,500000
Gamma,CDF,8,8,8,WORK_STEALING,8738.399,500000
Gamma,LogPDF,16,8,32,WORK_STEALING,1864.366,500000
Gamma,PDF,8,8,8,WORK_STEALING,3372.016,500000
Gaussian,CDF,8,20000,8,WORK_STEALING,4082.524,500000
Gaussian,LogPDF,8,8,8,WORK_STEALING,282.986,500000
Gaussian,PDF,8,8,128,WORK_STEALING,1237.651,500000
LogNormal,CDF,8,8,32,WORK_STEALING,5521.83,500000
LogNormal,LogPDF,16,8,128,WORK_STEALING,1892.112,500000
LogNormal,PDF,8,8,256,WORK_STEALING,3192.923,500000
NegBinomial,CDF,32,512,,SCALAR,141041.922,500000
NegBinomial,LogPDF,8,,64,VECTORIZED,29338.639,500000
NegBinomial,PDF,8,,64,VECTORIZED,39618.211,500000
Pareto,CDF,8,500000,512,WORK_STEALING,3448.843,500000
Pareto,LogPDF,8,8,64,WORK_STEALING,2135.165,500000
Pareto,PDF,8,250000,1000,WORK_STEALING,3399.773,500000
Poisson,CDF,16,5000,16,WORK_STEALING,10951.923,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,2891.379,500000
Poisson,PDF,8,10000,8,WORK_STEALING,3918.709,500000
Rayleigh,CDF,8,8,512,WORK_STEALING,1598.544,500000
Rayleigh,LogPDF,16,8,32,WORK_STEALING,2595.941,500000
Rayleigh,PDF,8,8,64,WORK_STEALING,3351.918,500000
StudentT,CDF,8,8,8,WORK_STEALING,129396.97,500000
StudentT,LogPDF,8,8,8,WORK_STEALING,2853.646,500000
StudentT,PDF,8,250000,8,PARALLEL,5264.061,500000
Uniform,CDF,8,8,64,WORK_STEALING,714.081,500000
Uniform,LogPDF,8,,8,VECTORIZED,377.849,500000
Uniform,PDF,8,32,8,VECTORIZED,532.467,500000
VonMises,CDF,16,8,16,WORK_STEALING,1763530.306,500000
VonMises,LogPDF,8,,16,WORK_STEALING,2622.601,500000
VonMises,PDF,8,,512,WORK_STEALING,3662.762,500000
Weibull,CDF,8,,128,WORK_STEALING,5856.59,500000
Weibull,LogPDF,8,8,2000,WORK_STEALING,3195.154,500000
Weibull,PDF,8,8,32,WORK_STEALING,6261.24,500000
