distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.961,1.634,1.7
Beta,CDF,16,VECTORIZED,1.707,3.12,1.828
Beta,CDF,32,VECTORIZED,3.034,5.736,1.891
Beta,CDF,64,VECTORIZED,5.453,10.781,1.977
Beta,CDF,128,VECTORIZED,12.054,23.794,1.974
Beta,CDF,256,VECTORIZED,24.56,48.924,1.992
Beta,CDF,512,WORK_STEALING,46.373,92.497,1.995
Beta,CDF,1000,WORK_STEALING,92.392,182.053,1.97
Beta,CDF,2000,WORK_STEALING,192.583,369.192,1.917
Beta,CDF,5000,PARALLEL,310.142,910.071,2.934
Beta,CDF,10000,WORK_STEALING,574.134,1848.378,3.219
Beta,CDF,20000,WORK_STEALING,668.694,3772.427,5.641
Beta,CDF,50000,PARALLEL,1564.937,9441.17,6.033
Beta,CDF,100000,PARALLEL,2607.579,18864.968,7.235
Beta,CDF,250000,PARALLEL,6580.876,45414.051,6.901
Beta,CDF,500000,WORK_STEALING,13088.209,94399.827,7.213
Beta,LogPDF,8,SCALAR,0.761,0.761,1.0
Beta,LogPDF,16,PARALLEL,0.933,1.483,1.589
Beta,LogPDF,32,PARALLEL,1.427,2.652,1.858
Beta,LogPDF,64,VECTORIZED,2.302,5.192,2.255
Beta,LogPDF,128,PARALLEL,3.096,10.399,3.359
Beta,LogPDF,256,PARALLEL,5.32,21.02,3.951
Beta,LogPDF,512,PARALLEL,11.638,41.224,3.542
Beta,LogPDF,1000,WORK_STEALING,22.475,80.462,3.58
Beta,LogPDF,2000,VECTORIZED,43.636,161.206,3.694
Beta,LogPDF,5000,PARALLEL,114.799,400.894,3.492
Beta,LogPDF,10000,PARALLEL,233.52,812.0,3.477
Beta,LogPDF,20000,PARALLEL,476.921,1595.004,3.344
Beta,LogPDF,50000,WORK_STEALING,1172.717,4131.85,3.523
Beta,LogPDF,100000,WORK_STEALING,2376.013,8261.449,3.477
Beta,LogPDF,250000,WORK_STEALING,5897.276,20091.804,3.407
Beta,LogPDF,500000,PARALLEL,12233.452,41387.332,3.383
Beta,PDF,8,WORK_STEALING,0.838,0.886,1.057
Beta,PDF,16,VECTORIZED,1.094,1.673,1.529
Beta,PDF,32,WORK_STEALING,1.6,3.144,1.965
Beta,PDF,64,VECTORIZED,2.527,6.051,2.395
Beta,PDF,128,PARALLEL,3.389,12.663,3.737
Beta,PDF,256,VECTORIZED,5.951,25.342,4.258
Beta,PDF,512,WORK_STEALING,12.864,50.227,3.904
Beta,PDF,1000,VECTORIZED,24.978,98.284,3.935
Beta,PDF,2000,VECTORIZED,48.591,198.429,4.084
Beta,PDF,5000,WORK_STEALING,126.197,485.243,3.845
Beta,PDF,10000,VECTORIZED,256.741,976.411,3.803
Beta,PDF,20000,WORK_STEALING,522.588,1958.84,3.748
Beta,PDF,50000,PARALLEL,1314.063,5010.58,3.813
Beta,PDF,100000,WORK_STEALING,2664.579,9986.576,3.748
Beta,PDF,250000,WORK_STEALING,6591.348,24217.759,3.674
Beta,PDF,500000,PARALLEL,13687.234,50494.831,3.689
Binomial,CDF,8,VECTORIZED,2.94,2.943,1.001
Binomial,CDF,16,SCALAR,5.882,5.882,1.0
Binomial,CDF,32,VECTORIZED,11.776,11.784,1.001
Binomial,CDF,64,SCALAR,23.478,23.478,1.0
Binomial,CDF,128,PARALLEL,46.935,47.357,1.009
Binomial,CDF,256,WORK_STEALING,93.409,94.023,1.007
Binomial,CDF,512,PARALLEL,189.082,190.248,1.006
Binomial,CDF,1000,SCALAR,363.843,363.843,1.0
Binomial,CDF,2000,WORK_STEALING,737.288,768.814,1.043
Binomial,CDF,5000,VECTORIZED,1838.11,1853.664,1.008
Binomial,CDF,10000,SCALAR,3724.325,3724.325,1.0
Binomial,CDF,20000,VECTORIZED,7909.905,7975.383,1.008
Binomial,CDF,50000,SCALAR,19240.767,19240.767,1.0
Binomial,CDF,100000,PARALLEL,35674.509,37428.309,1.049
Binomial,CDF,250000,PARALLEL,90045.031,93922.076,1.043
Binomial,CDF,500000,PARALLEL,179309.161,194159.96,1.083
Binomial,LogPDF,8,VECTORIZED,0.677,1.197,1.768
Binomial,LogPDF,16,VECTORIZED,1.179,2.244,1.903
Binomial,LogPDF,32,VECTORIZED,2.299,4.402,1.915
Binomial,LogPDF,64,VECTORIZED,4.363,8.559,1.962
Binomial,LogPDF,128,VECTORIZED,8.302,16.773,2.02
Binomial,LogPDF,256,VECTORIZED,16.964,32.862,1.937
