Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.527000
Uniform,PDF,8,VECTORIZED,0.125000
Uniform,PDF,8,PARALLEL,0.132000
Uniform,PDF,8,WORK_STEALING,0.131000
Uniform,LogPDF,8,SCALAR,0.517000
Uniform,LogPDF,8,VECTORIZED,0.131000
Uniform,LogPDF,8,PARALLEL,0.140000
Uniform,LogPDF,8,WORK_STEALING,0.134000
Uniform,CDF,8,SCALAR,0.524000
Uniform,CDF,8,VECTORIZED,0.153000
Uniform,CDF,8,PARALLEL,0.136000
Uniform,CDF,8,WORK_STEALING,0.171000
Uniform,PDF,16,SCALAR,1.231000
Uniform,PDF,16,VECTORIZED,0.171000
Uniform,PDF,16,PARALLEL,0.189000
Uniform,PDF,16,WORK_STEALING,0.181000
Uniform,LogPDF,16,SCALAR,1.233000
Uniform,LogPDF,16,VECTORIZED,0.181000
Uniform,LogPDF,16,PARALLEL,0.206000
Uniform,LogPDF,16,WORK_STEALING,0.207000
Uniform,CDF,16,SCALAR,1.262000
Uniform,CDF,16,VECTORIZED,0.263000
Uniform,CDF,16,PARALLEL,0.214000
Uniform,CDF,16,WORK_STEALING,0.199000
Uniform,PDF,32,SCALAR,2.352000
Uniform,PDF,32,VECTORIZED,0.197000
Uniform,PDF,32,PARALLEL,0.244000
Uniform,PDF,32,WORK_STEALING,0.197000
Uniform,LogPDF,32,SCALAR,1.903000
Uniform,LogPDF,32,VECTORIZED,0.142000
Uniform,LogPDF,32,PARALLEL,0.168000
Uniform,LogPDF,32,WORK_STEALING,0.144000
Uniform,CDF,32,SCALAR,1.922000
Uniform,CDF,32,VECTORIZED,0.178000
Uniform,CDF,32,PARALLEL,0.165000
Uniform,CDF,32,WORK_STEALING,0.152000
Uniform,PDF,64,SCALAR,4.434000
Uniform,PDF,64,VECTORIZED,0.194000
Uniform,PDF,64,PARALLEL,0.315000
Uniform,PDF,64,WORK_STEALING,0.204000
Uniform,LogPDF,64,SCALAR,4.457000
Uniform,LogPDF,64,VECTORIZED,0.234000
Uniform,LogPDF,64,PARALLEL,0.282000
Uniform,LogPDF,64,WORK_STEALING,0.236000
Uniform,CDF,64,SCALAR,4.744000
Uniform,CDF,64,VECTORIZED,0.298000
Uniform,CDF,64,PARALLEL,0.310000
Uniform,CDF,64,WORK_STEALING,0.302000
Uniform,PDF,128,SCALAR,9.221000
Uniform,PDF,128,VECTORIZED,0.172000
Uniform,PDF,128,PARALLEL,0.289000
Uniform,PDF,128,WORK_STEALING,0.173000
Uniform,LogPDF,128,SCALAR,8.321000
Uniform,LogPDF,128,VECTORIZED,0.287000
Uniform,LogPDF,128,PARALLEL,0.370000
Uniform,LogPDF,128,WORK_STEALING,0.284000
Uniform,CDF,128,SCALAR,9.126000
Uniform,CDF,128,VECTORIZED,0.454000
Uniform,CDF,128,PARALLEL,0.426000
Uniform,CDF,128,WORK_STEALING,0.407000
Uniform,PDF,256,SCALAR,15.568000
Uniform,PDF,256,VECTORIZED,0.219000
Uniform,PDF,256,PARALLEL,0.457000
Uniform,PDF,256,WORK_STEALING,0.221000
Uniform,LogPDF,256,SCALAR,17.938000
Uniform,LogPDF,256,VECTORIZED,0.346000
Uniform,LogPDF,256,PARALLEL,0.648000
Uniform,LogPDF,256,WORK_STEALING,0.364000
Uniform,CDF,256,SCALAR,15.577000
Uniform,CDF,256,VECTORIZED,0.431000
Uniform,CDF,256,PARALLEL,0.451000
Uniform,CDF,256,WORK_STEALING,0.676000
Uniform,PDF,512,SCALAR,35.991000
Uniform,PDF,512,VECTORIZED,0.466000
Uniform,PDF,512,PARALLEL,1.114000
Uniform,PDF,512,WORK_STEALING,0.442000
Uniform,LogPDF,512,SCALAR,35.584000
Uniform,LogPDF,512,VECTORIZED,0.405000
Uniform,LogPDF,512,PARALLEL,0.809000
Uniform,LogPDF,512,WORK_STEALING,0.506000
Uniform,CDF,512,SCALAR,35.777000
Uniform,CDF,512,VECTORIZED,0.706000
