distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,64,8,WORK_STEALING,3295.0,500000
Beta,LogPDF,16,64,20000,WORK_STEALING,4670.5,500000
Beta,PDF,16,8,32,PARALLEL,5608.417,500000
Binomial,CDF,128,64,1000,SCALAR,66405.0,500000
Binomial,LogPDF,8,,8,VECTORIZED,10743.625,500000
Binomial,PDF,8,,8,VECTORIZED,12533.666,500000
ChiSquared,CDF,8,8,512,WORK_STEALING,4146.875,500000
ChiSquared,LogPDF,8,8,16,PARALLEL,518.0,500000
ChiSquared,PDF,8,8,32,WORK_STEALING,845.917,500000
Discrete,CDF,8,8,64,VECTORIZED,274.208,500000
Discrete,LogPDF,8,250000,32,PARALLEL,231.792,500000
Discrete,PDF,8,250000,1000,PARALLEL,194.958,500000
Exponential,CDF,8,8,1000,WORK_STEALING,418.0,500000
Exponential,LogPDF,8,8,2000,PARALLEL,128.833,500000
Exponential,PDF,8,8,256,WORK_STEALING,399.625,500000
Gamma,CDF,8,16,8,WORK_STEALING,3818.542,500000
Gamma,LogPDF,8,8,128,WORK_STEALING,543.542,500000
Gamma,PDF,8,8,8,WORK_STEALING,877.416,500000
Gaussian,CDF,8,,16,VECTORIZED,1019.834,500000
Gaussian,LogPDF,8,8,2000,PARALLEL,111.542,500000
Gaussian,PDF,8,8,2000,WORK_STEALING,391.083,500000
LogNormal,CDF,8,,32,VECTORIZED,2217.917,500000
LogNormal,LogPDF,8,8,16,WORK_STEALING,583.625,500000
LogNormal,PDF,8,8,8,PARALLEL,924.167,500000
NegBinomial,CDF,512,64,256,VECTORIZED,48179.958,500000
NegBinomial,LogPDF,8,,32,VECTORIZED,13918.208,500000
NegBinomial,PDF,8,,16,VECTORIZED,13833.25,500000
Pareto,CDF,8,100000,2000,WORK_STEALING,1081.709,500000
Pareto,LogPDF,8,8,2000,WORK_STEALING,655.583,500000
Pareto,PDF,8,8,128,WORK_STEALING,1261.625,500000
Poisson,CDF,32,512,16,WORK_STEALING,4207.916,500000
Poisson,LogPDF,8,128,16,PARALLEL,752.5,500000
Poisson,PDF,8,256,2000,WORK_STEALING,1254.083,500000
Rayleigh,CDF,8,8,128,WORK_STEALING,408.75,500000
Rayleigh,LogPDF,8,8,256,WORK_STEALING,645.167,500000
Rayleigh,PDF,8,8,512,PARALLEL,962.125,500000
StudentT,CDF,8,64,8,WORK_STEALING,8511.333,500000
StudentT,LogPDF,8,8,512,WORK_STEALING,706.541,500000
StudentT,PDF,8,8,256,PARALLEL,1019.291,500000
Uniform,CDF,8,8,128,PARALLEL,463.917,500000
Uniform,LogPDF,8,16,2000,VECTORIZED,89.875,500000
Uniform,PDF,8,,16,VECTORIZED,90.208,500000
VonMises,CDF,512,16,32,PARALLEL,518929.625,500000
VonMises,LogPDF,8,500000,16,PARALLEL,1019.0,500000
VonMises,PDF,8,100000,128,PARALLEL,1769.0,500000
Weibull,CDF,8,50000,2000,WORK_STEALING,1810.959,500000
Weibull,LogPDF,8,8,512,WORK_STEALING,1465.583,500000
Weibull,PDF,8,8,512,PARALLEL,1940.208,500000
