distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.25,0.5,2.0
Beta,CDF,16,VECTORIZED,0.5,1.0,2.0
Beta,CDF,32,WORK_STEALING,0.833,1.875,2.251
Beta,CDF,64,WORK_STEALING,1.5,3.5,2.333
Beta,CDF,128,VECTORIZED,3.5,7.75,2.214
Beta,CDF,256,PARALLEL,7.083,16.25,2.294
Beta,CDF,512,VECTORIZED,13.416,30.625,2.283
Beta,CDF,1000,VECTORIZED,26.583,60.084,2.26
Beta,CDF,2000,WORK_STEALING,51.375,123.5,2.404
Beta,CDF,5000,WORK_STEALING,73.209,307.542,4.201
Beta,CDF,10000,WORK_STEALING,120.209,614.042,5.108
Beta,CDF,20000,PARALLEL,211.166,1219.833,5.777
Beta,CDF,50000,WORK_STEALING,428.458,3087.375,7.206
Beta,CDF,100000,WORK_STEALING,745.5,6146.5,8.245
Beta,CDF,250000,PARALLEL,1677.125,15381.834,9.172
Beta,CDF,500000,WORK_STEALING,3318.916,30788.625,9.277
Beta,LogPDF,8,SCALAR,0.167,0.167,1.0
Beta,LogPDF,16,VECTORIZED,0.25,0.333,1.332
Beta,LogPDF,32,VECTORIZED,0.375,0.708,1.888
Beta,LogPDF,64,VECTORIZED,0.667,1.417,2.124
Beta,LogPDF,128,WORK_STEALING,1.042,2.959,2.84
Beta,LogPDF,256,VECTORIZED,1.916,6.0,3.132
Beta,LogPDF,512,PARALLEL,4.208,12.042,2.862
Beta,LogPDF,1000,PARALLEL,8.208,23.5,2.863
Beta,LogPDF,2000,VECTORIZED,16.0,46.667,2.917
Beta,LogPDF,5000,WORK_STEALING,43.583,117.875,2.705
Beta,LogPDF,10000,VECTORIZED,89.5,235.083,2.627
Beta,LogPDF,20000,VECTORIZED,183.542,467.792,2.549
Beta,LogPDF,50000,VECTORIZED,460.333,1173.125,2.548
Beta,LogPDF,100000,VECTORIZED,922.75,2360.333,2.558
Beta,LogPDF,250000,WORK_STEALING,2341.666,5898.542,2.519
Beta,LogPDF,500000,WORK_STEALING,4676.916,11810.167,2.525
Beta,PDF,8,SCALAR,0.208,0.208,1.0
Beta,PDF,16,VECTORIZED,0.291,0.416,1.43
Beta,PDF,32,VECTORIZED,0.417,0.75,1.799
Beta,PDF,64,PARALLEL,0.791,1.625,2.054
Beta,PDF,128,VECTORIZED,1.208,3.5,2.897
Beta,PDF,256,WORK_STEALING,2.208,7.417,3.359
Beta,PDF,512,WORK_STEALING,4.834,14.791,3.06
Beta,PDF,1000,WORK_STEALING,9.417,29.542,3.137
Beta,PDF,2000,PARALLEL,18.75,61.875,3.3
Beta,PDF,5000,PARALLEL,51.25,153.833,3.002
Beta,PDF,10000,WORK_STEALING,107.292,308.459,2.875
Beta,PDF,20000,VECTORIZED,220.125,619.209,2.813
Beta,PDF,50000,PARALLEL,556.333,1548.166,2.783
Beta,PDF,100000,VECTORIZED,1103.792,3117.5,2.824
Beta,PDF,250000,WORK_STEALING,2796.042,7775.083,2.781
Beta,PDF,500000,PARALLEL,5606.542,15540.083,2.772
Binomial,CDF,8,WORK_STEALING,1.041,1.042,1.001
Binomial,CDF,16,SCALAR,2.0,2.0,1.0
Binomial,CDF,32,PARALLEL,4.167,4.208,1.01
Binomial,CDF,64,VECTORIZED,8.25,8.292,1.005
Binomial,CDF,128,SCALAR,16.792,16.792,1.0
Binomial,CDF,256,VECTORIZED,33.208,33.209,1.0
Binomial,CDF,512,SCALAR,67.208,67.208,1.0
Binomial,CDF,1000,PARALLEL,131.541,131.834,1.002
Binomial,CDF,2000,SCALAR,263.583,263.583,1.0
Binomial,CDF,5000,SCALAR,658.291,658.291,1.0
Binomial,CDF,10000,VECTORIZED,1339.0,1541.042,1.151
Binomial,CDF,20000,VECTORIZED,2637.792,2656.083,1.007
Binomial,CDF,50000,VECTORIZED,6597.75,6604.5,1.001
Binomial,CDF,100000,VECTORIZED,13208.5,13264.208,1.004
Binomial,CDF,250000,SCALAR,33143.75,33143.75,1.0
Binomial,CDF,500000,VECTORIZED,66176.167,66190.584,1.0
Binomial,LogPDF,8,VECTORIZED,0.167,0.292,1.749
Binomial,LogPDF,16,VECTORIZED,0.333,0.583,1.751
Binomial,LogPDF,32,VECTORIZED,0.625,1.25,2.0
Binomial,LogPDF,64,VECTORIZED,1.292,2.333,1.806
Binomial,LogPDF,128,VECTORIZED,2.625,4.583,1.746
Binomial,LogPDF,256,VECTORIZED,5.333,9.125,1.711
Binomial,LogPDF,512,VECTORIZED,11.0,18.292,1.663
Binomial,LogPDF,1000,VECTORIZED,21.584,36.25,1.679
Binomial,LogPDF,2000,VECTORIZED,42.833,72.75,1.698
Binomial,LogPDF,5000,VECTORIZED,107.375,179.708,1.674
Binomial,LogPDF,10000,VECTORIZED,213.959,358.709,1.677
Binomial,LogPDF,20000,VECTORIZED,428.792,719.458,1.678
Binomial,LogPDF,50000,VECTORIZED,1073.209,1802.375,1.679
Binomial,LogPDF,100000,VECTORIZED,2145.375,3607.25,1.681
Binomial,LogPDF,250000,VECTORIZED,5370.5,9081.084,1.691
Binomial,LogPDF,500000,VECTORIZED,10753.792,18070.917,1.68
Binomial,PDF,8,VECTORIZED,0.25,0.375,1.5
Binomial,PDF,16,VECTORIZED,0.417,0.75,1.799
Binomial,PDF,32,VECTORIZED,0.834,1.459,1.749
Binomial,PDF,64,VECTORIZED,1.625,2.791,1.718
Binomial,PDF,128,VECTORIZED,3.208,5.417,1.689
Binomial,PDF,256,VECTORIZED,6.334,11.125,1.756
Binomial,PDF,512,PARALLEL,22.125,22.5,1.017
Binomial,PDF,1000,VECTORIZED,24.875,43.416,1.745
Binomial,PDF,2000,VECTORIZED,49.917,87.0,1.743
Binomial,PDF,5000,VECTORIZED,122.875,215.917,1.757
Binomial,PDF,10000,VECTORIZED,247.833,434.25,1.752
Binomial,PDF,20000,VECTORIZED,504.333,870.5,1.726
Binomial,PDF,50000,VECTORIZED,1245.959,2170.375,1.742
Binomial,PDF,100000,VECTORIZED,2515.166,4358.167,1.733
Binomial,PDF,250000,VECTORIZED,6264.75,10867.833,1.735
Binomial,PDF,500000,VECTORIZED,12517.375,21810.584,1.742
ChiSquared,CDF,8,WORK_STEALING,0.167,0.333,1.994
ChiSquared,CDF,16,PARALLEL,0.375,0.792,2.112
ChiSquared,CDF,32,VECTORIZED,0.791,1.583,2.001
ChiSquared,CDF,64,WORK_STEALING,1.5,3.25,2.167
ChiSquared,CDF,128,PARALLEL,2.958,6.625,2.24
ChiSquared,CDF,256,WORK_STEALING,6.708,13.958,2.081
ChiSquared,CDF,512,VECTORIZED,14.541,28.167,1.937
ChiSquared,CDF,1000,VECTORIZED,32.583,55.625,1.707
ChiSquared,CDF,2000,WORK_STEALING,49.625,112.5,2.267
ChiSquared,CDF,5000,WORK_STEALING,78.25,285.459,3.648
ChiSquared,CDF,10000,WORK_STEALING,135.625,568.416,4.191
ChiSquared,CDF,20000,PARALLEL,241.625,1141.583,4.725
ChiSquared,CDF,50000,WORK_STEALING,495.416,2868.292,5.79
