Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.167000
Uniform,PDF,8,VECTORIZED,0.042000
Uniform,PDF,8,PARALLEL,0.042000
Uniform,PDF,8,WORK_STEALING,0.042000
Uniform,LogPDF,8,SCALAR,0.167000
Uniform,LogPDF,8,VECTORIZED,0.042000
Uniform,LogPDF,8,PARALLEL,0.042000
Uniform,LogPDF,8,WORK_STEALING,0.042000
Uniform,CDF,8,SCALAR,0.167000
Uniform,CDF,8,VECTORIZED,0.042000
Uniform,CDF,8,PARALLEL,0.041000
Uniform,CDF,8,WORK_STEALING,0.042000
Uniform,PDF,16,SCALAR,0.333000
Uniform,PDF,16,VECTORIZED,0.041000
Uniform,PDF,16,PARALLEL,0.041000
Uniform,PDF,16,WORK_STEALING,0.042000
Uniform,LogPDF,16,SCALAR,0.333000
Uniform,LogPDF,16,VECTORIZED,0.042000
Uniform,LogPDF,16,PARALLEL,0.042000
Uniform,LogPDF,16,WORK_STEALING,0.042000
Uniform,CDF,16,SCALAR,0.333000
Uniform,CDF,16,VECTORIZED,0.083000
Uniform,CDF,16,PARALLEL,0.042000
Uniform,CDF,16,WORK_STEALING,0.042000
Uniform,PDF,32,SCALAR,0.625000
Uniform,PDF,32,VECTORIZED,0.042000
Uniform,PDF,32,PARALLEL,0.042000
Uniform,PDF,32,WORK_STEALING,0.042000
Uniform,LogPDF,32,SCALAR,0.625000
Uniform,LogPDF,32,VECTORIZED,0.042000
Uniform,LogPDF,32,PARALLEL,0.042000
Uniform,LogPDF,32,WORK_STEALING,0.042000
Uniform,CDF,32,SCALAR,0.625000
Uniform,CDF,32,VECTORIZED,0.083000
Uniform,CDF,32,PARALLEL,0.042000
Uniform,CDF,32,WORK_STEALING,0.042000
Uniform,PDF,64,SCALAR,1.250000
Uniform,PDF,64,VECTORIZED,0.042000
Uniform,PDF,64,PARALLEL,0.042000
Uniform,PDF,64,WORK_STEALING,0.042000
Uniform,LogPDF,64,SCALAR,1.209000
Uniform,LogPDF,64,VECTORIZED,0.042000
Uniform,LogPDF,64,PARALLEL,0.042000
Uniform,LogPDF,64,WORK_STEALING,0.042000
Uniform,CDF,64,SCALAR,1.208000
Uniform,CDF,64,VECTORIZED,0.125000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.083000
Uniform,PDF,128,SCALAR,2.458000
Uniform,PDF,128,VECTORIZED,0.042000
Uniform,PDF,128,PARALLEL,0.042000
Uniform,PDF,128,WORK_STEALING,0.042000
Uniform,LogPDF,128,SCALAR,2.500000
Uniform,LogPDF,128,VECTORIZED,0.042000
Uniform,LogPDF,128,PARALLEL,0.042000
Uniform,LogPDF,128,WORK_STEALING,0.042000
Uniform,CDF,128,SCALAR,2.458000
Uniform,CDF,128,VECTORIZED,0.167000
Uniform,CDF,128,PARALLEL,0.125000
Uniform,CDF,128,WORK_STEALING,0.125000
Uniform,PDF,256,SCALAR,5.041000
Uniform,PDF,256,VECTORIZED,0.083000
Uniform,PDF,256,PARALLEL,0.083000
Uniform,PDF,256,WORK_STEALING,0.083000
Uniform,LogPDF,256,SCALAR,5.000000
Uniform,LogPDF,256,VECTORIZED,0.083000
Uniform,LogPDF,256,PARALLEL,0.083000
Uniform,LogPDF,256,WORK_STEALING,0.083000
Uniform,CDF,256,SCALAR,5.083000
Uniform,CDF,256,VECTORIZED,0.334000
Uniform,CDF,256,PARALLEL,0.250000
Uniform,CDF,256,WORK_STEALING,0.208000
Uniform,PDF,512,SCALAR,10.084000
Uniform,PDF,512,VECTORIZED,0.125000
Uniform,PDF,512,PARALLEL,0.125000
Uniform,PDF,512,WORK_STEALING,0.125000
Uniform,LogPDF,512,SCALAR,10.125000
Uniform,LogPDF,512,VECTORIZED,0.125000
Uniform,LogPDF,512,PARALLEL,0.125000
Uniform,LogPDF,512,WORK_STEALING,0.125000
Uniform,CDF,512,SCALAR,10.292000
Uniform,CDF,512,VECTORIZED,0.584000
Uniform,CDF,512,PARALLEL,0.500000
Uniform,CDF,512,WORK_STEALING,0.375000
Uniform,PDF,1000,SCALAR,19.916000
Uniform,PDF,1000,VECTORIZED,0.208000
Uniform,PDF,1000,PARALLEL,0.250000
Uniform,PDF,1000,WORK_STEALING,0.250000
Uniform,LogPDF,1000,SCALAR,19.833000
Uniform,LogPDF,1000,VECTORIZED,0.209000
Uniform,LogPDF,1000,PARALLEL,0.208000
Uniform,LogPDF,1000,WORK_STEALING,0.208000
Uniform,CDF,1000,SCALAR,20.125000
Uniform,CDF,1000,VECTORIZED,1.125000
Uniform,CDF,1000,PARALLEL,0.917000
Uniform,CDF,1000,WORK_STEALING,0.750000
Uniform,PDF,2000,SCALAR,39.625000
Uniform,PDF,2000,VECTORIZED,0.375000
Uniform,PDF,2000,PARALLEL,43.000000
Uniform,PDF,2000,WORK_STEALING,9.167000
Uniform,LogPDF,2000,SCALAR,39.791000
Uniform,LogPDF,2000,VECTORIZED,0.375000
Uniform,LogPDF,2000,PARALLEL,35.292000
Uniform,LogPDF,2000,WORK_STEALING,12.292000
Uniform,CDF,2000,SCALAR,40.583000
Uniform,CDF,2000,VECTORIZED,2.208000
Uniform,CDF,2000,PARALLEL,32.000000
Uniform,CDF,2000,WORK_STEALING,17.500000
Uniform,PDF,5000,SCALAR,98.708000
Uniform,PDF,5000,VECTORIZED,0.875000
Uniform,PDF,5000,PARALLEL,94.667000
Uniform,PDF,5000,WORK_STEALING,23.250000
Uniform,LogPDF,5000,SCALAR,98.709000
Uniform,LogPDF,5000,VECTORIZED,0.875000
Uniform,LogPDF,5000,PARALLEL,92.291000
Uniform,LogPDF,5000,WORK_STEALING,17.041000
Uniform,CDF,5000,SCALAR,99.459000
Uniform,CDF,5000,VECTORIZED,5.375000
Uniform,CDF,5000,PARALLEL,69.875000
Uniform,CDF,5000,WORK_STEALING,20.667000
Uniform,PDF,10000,SCALAR,197.333000
Uniform,PDF,10000,VECTORIZED,1.709000
Uniform,PDF,10000,PARALLEL,141.917000
Uniform,PDF,10000,WORK_STEALING,37.084000
Uniform,LogPDF,10000,SCALAR,196.042000
Uniform,LogPDF,10000,VECTORIZED,1.792000
Uniform,LogPDF,10000,PARALLEL,148.500000
Uniform,LogPDF,10000,WORK_STEALING,28.292000
Uniform,CDF,10000,SCALAR,198.708000
Uniform,CDF,10000,VECTORIZED,20.792000
Uniform,CDF,10000,PARALLEL,119.125000
Uniform,CDF,10000,WORK_STEALING,37.750000
Uniform,PDF,20000,SCALAR,396.917000
Uniform,PDF,20000,VECTORIZED,3.666000
Uniform,PDF,20000,PARALLEL,112.708000
Uniform,PDF,20000,WORK_STEALING,35.916000
Uniform,LogPDF,20000,SCALAR,394.333000
Uniform,LogPDF,20000,VECTORIZED,3.458000
Uniform,LogPDF,20000,PARALLEL,118.250000
Uniform,LogPDF,20000,WORK_STEALING,40.084000
Uniform,CDF,20000,SCALAR,396.333000
Uniform,CDF,20000,VECTORIZED,75.167000
Uniform,CDF,20000,PARALLEL,116.334000
Uniform,CDF,20000,WORK_STEALING,52.166000
Uniform,PDF,50000,SCALAR,999.917000
Uniform,PDF,50000,VECTORIZED,9.334000
Uniform,PDF,50000,PARALLEL,116.875000
Uniform,PDF,50000,WORK_STEALING,70.875000
Uniform,LogPDF,50000,SCALAR,990.208000
Uniform,LogPDF,50000,VECTORIZED,8.542000
Uniform,LogPDF,50000,PARALLEL,133.875000
Uniform,LogPDF,50000,WORK_STEALING,79.292000
Uniform,CDF,50000,SCALAR,1009.625000
Uniform,CDF,50000,VECTORIZED,236.500000
Uniform,CDF,50000,PARALLEL,111.916000
Uniform,CDF,50000,WORK_STEALING,92.750000
Uniform,PDF,100000,SCALAR,1987.583000
Uniform,PDF,100000,VECTORIZED,18.083000
Uniform,PDF,100000,PARALLEL,152.333000
Uniform,PDF,100000,WORK_STEALING,123.375000
Uniform,LogPDF,100000,SCALAR,1980.000000
Uniform,LogPDF,100000,VECTORIZED,17.042000
Uniform,LogPDF,100000,PARALLEL,157.000000
Uniform,LogPDF,100000,WORK_STEALING,121.542000
Uniform,CDF,100000,SCALAR,2015.625000
Uniform,CDF,100000,VECTORIZED,471.875000
Uniform,CDF,100000,PARALLEL,148.917000
Uniform,CDF,100000,WORK_STEALING,124.792000
Uniform,PDF,250000,SCALAR,5023.958000
Uniform,PDF,250000,VECTORIZED,45.292000
Uniform,PDF,250000,PARALLEL,291.542000
Uniform,PDF,250000,WORK_STEALING,274.667000
Uniform,LogPDF,250000,SCALAR,5006.500000
Uniform,LogPDF,250000,VECTORIZED,42.791000
Uniform,LogPDF,250000,PARALLEL,296.167000
Uniform,LogPDF,250000,WORK_STEALING,274.583000
Uniform,CDF,250000,SCALAR,5145.958000
Uniform,CDF,250000,VECTORIZED,1328.458000
Uniform,CDF,250000,PARALLEL,373.834000
Uniform,CDF,250000,WORK_STEALING,310.875000
Uniform,PDF,500000,SCALAR,10026.667000
Uniform,PDF,500000,VECTORIZED,89.792000
Uniform,PDF,500000,PARALLEL,548.208000
Uniform,PDF,500000,WORK_STEALING,585.333000
Uniform,LogPDF,500000,SCALAR,9925.750000
Uniform,LogPDF,500000,VECTORIZED,89.333000
Uniform,LogPDF,500000,PARALLEL,558.458000
Uniform,LogPDF,500000,WORK_STEALING,501.333000
Uniform,CDF,500000,SCALAR,10017.208000
Uniform,CDF,500000,VECTORIZED,2481.334000
Uniform,CDF,500000,PARALLEL,531.708000
Uniform,CDF,500000,WORK_STEALING,484.583000
Gaussian,PDF,8,SCALAR,0.167000
Gaussian,PDF,8,VECTORIZED,0.125000
Gaussian,PDF,8,PARALLEL,0.083000
Gaussian,PDF,8,WORK_STEALING,0.083000
Gaussian,LogPDF,8,SCALAR,0.167000
Gaussian,LogPDF,8,VECTORIZED,0.083000
Gaussian,LogPDF,8,PARALLEL,0.041000
Gaussian,LogPDF,8,WORK_STEALING,0.042000
Gaussian,CDF,8,SCALAR,0.250000
Gaussian,CDF,8,VECTORIZED,0.083000
Gaussian,CDF,8,PARALLEL,0.125000
Gaussian,CDF,8,WORK_STEALING,0.125000
Gaussian,PDF,16,SCALAR,0.333000
Gaussian,PDF,16,VECTORIZED,0.083000
Gaussian,PDF,16,PARALLEL,0.083000
Gaussian,PDF,16,WORK_STEALING,0.083000
Gaussian,LogPDF,16,SCALAR,0.333000
Gaussian,LogPDF,16,VECTORIZED,0.042000
Gaussian,LogPDF,16,PARALLEL,0.042000
Gaussian,LogPDF,16,WORK_STEALING,0.042000
Gaussian,CDF,16,SCALAR,0.458000
Gaussian,CDF,16,VECTORIZED,0.083000
Gaussian,CDF,16,PARALLEL,0.208000
Gaussian,CDF,16,WORK_STEALING,0.250000
