distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,64,16,WORK_STEALING,6907.344,500000
Beta,LogPDF,16,16,16,PARALLEL,8567.105,500000
Beta,PDF,8,64,8,PARALLEL,9206.386,500000
Binomial,CDF,8,8,32,VECTORIZED,160666.532,500000
Binomial,LogPDF,8,,1000,VECTORIZED,29069.786,500000
Binomial,PDF,8,,8,VECTORIZED,36144.268,500000
ChiSquared,CDF,8,8,128,WORK_STEALING,7892.047,500000
ChiSquared,LogPDF,8,8,8,WORK_STEALING,1169.893,500000
ChiSquared,PDF,8,8,32,WORK_STEALING,2402.216,500000
Discrete,CDF,8,8,16,WORK_STEALING,380.752,500000
Discrete,LogPDF,8,500000,16,WORK_STEALING,333.545,500000
Discrete,PDF,8,500000,32,WORK_STEALING,414.203,500000
Exponential,CDF,8,8,16,WORK_STEALING,810.707,500000
Exponential,LogPDF,8,8,32,WORK_STEALING,219.391,500000
Exponential,PDF,8,8,8,WORK_STEALING,801.181,500000
Gamma,CDF,8,8,16,WORK_STEALING,6539.415,500000
Gamma,LogPDF,8,8,8,WORK_STEALING,997.553,500000
Gamma,PDF,8,8,8,WORK_STEALING,2138.554,500000
Gaussian,CDF,8,50000,32,WORK_STEALING,2926.181,500000
Gaussian,LogPDF,8,8,32,WORK_STEALING,213.04,500000
Gaussian,PDF,8,8,8,WORK_STEALING,754.894,500000
LogNormal,CDF,8,8,16,WORK_STEALING,4697.792,500000
LogNormal,LogPDF,16,8,256,WORK_STEALING,1255.421,500000
LogNormal,PDF,8,8,8,WORK_STEALING,2611.652,500000
NegBinomial,CDF,32,8,32,VECTORIZED,131125.131,500000
NegBinomial,LogPDF,8,,128,VECTORIZED,24618.64,500000
NegBinomial,PDF,8,,128,VECTORIZED,31593.416,500000
Pareto,CDF,8,,128,WORK_STEALING,2767.311,500000
Pareto,LogPDF,8,8,2000,WORK_STEALING,1373.139,500000
Pareto,PDF,8,250000,256,WORK_STEALING,2478.339,500000
Poisson,CDF,64,16,8,WORK_STEALING,6635.88,500000
Poisson,LogPDF,8,8,16,WORK_STEALING,1686.02,500000
Poisson,PDF,8,8,8,WORK_STEALING,3263.893,500000
Rayleigh,CDF,8,8,256,WORK_STEALING,1151.551,500000
Rayleigh,LogPDF,8,8,16,WORK_STEALING,1287.679,500000
Rayleigh,PDF,8,8,512,WORK_STEALING,3594.174,500000
StudentT,CDF,8,8,8,WORK_STEALING,18021.678,500000
StudentT,LogPDF,8,8,8,WORK_STEALING,1342.08,500000
StudentT,PDF,8,250000,32,WORK_STEALING,2830.517,500000
Uniform,CDF,8,8,32,WORK_STEALING,802.762,500000
Uniform,LogPDF,8,32,512,WORK_STEALING,615.184,500000
Uniform,PDF,8,64,2000,VECTORIZED,558.568,500000
VonMises,CDF,8,16,16,WORK_STEALING,1530357.49,500000
VonMises,LogPDF,8,,5000,WORK_STEALING,2244.393,500000
VonMises,PDF,8,,512,WORK_STEALING,3411.491,500000
Weibull,CDF,8,,128,WORK_STEALING,4107.078,500000
Weibull,LogPDF,8,8,512,WORK_STEALING,2606.516,500000
Weibull,PDF,8,8,512,WORK_STEALING,3912.22,500000
