Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.532000
Uniform,PDF,8,VECTORIZED,0.129000
Uniform,PDF,8,PARALLEL,0.133000
Uniform,PDF,8,WORK_STEALING,0.139000
Uniform,LogPDF,8,SCALAR,0.543000
Uniform,LogPDF,8,VECTORIZED,0.144000
Uniform,LogPDF,8,PARALLEL,0.153000
Uniform,LogPDF,8,WORK_STEALING,0.154000
Uniform,CDF,8,SCALAR,0.536000
Uniform,CDF,8,VECTORIZED,0.177000
Uniform,CDF,8,PARALLEL,0.141000
Uniform,CDF,8,WORK_STEALING,0.142000
Uniform,PDF,16,SCALAR,1.002000
Uniform,PDF,16,VECTORIZED,0.141000
Uniform,PDF,16,PARALLEL,0.142000
Uniform,PDF,16,WORK_STEALING,0.142000
Uniform,LogPDF,16,SCALAR,0.999000
Uniform,LogPDF,16,VECTORIZED,0.141000
Uniform,LogPDF,16,PARALLEL,0.150000
Uniform,LogPDF,16,WORK_STEALING,0.153000
Uniform,CDF,16,SCALAR,0.999000
Uniform,CDF,16,VECTORIZED,0.171000
Uniform,CDF,16,PARALLEL,0.151000
Uniform,CDF,16,WORK_STEALING,0.151000
Uniform,PDF,32,SCALAR,1.934000
Uniform,PDF,32,VECTORIZED,0.148000
Uniform,PDF,32,PARALLEL,0.148000
Uniform,PDF,32,WORK_STEALING,0.148000
Uniform,LogPDF,32,SCALAR,1.930000
Uniform,LogPDF,32,VECTORIZED,0.155000
Uniform,LogPDF,32,PARALLEL,0.146000
Uniform,LogPDF,32,WORK_STEALING,0.161000
Uniform,CDF,32,SCALAR,1.927000
Uniform,CDF,32,VECTORIZED,0.184000
Uniform,CDF,32,PARALLEL,0.169000
Uniform,CDF,32,WORK_STEALING,0.166000
Uniform,PDF,64,SCALAR,3.798000
Uniform,PDF,64,VECTORIZED,0.160000
Uniform,PDF,64,PARALLEL,0.159000
Uniform,PDF,64,WORK_STEALING,0.162000
Uniform,LogPDF,64,SCALAR,3.786000
Uniform,LogPDF,64,VECTORIZED,0.170000
Uniform,LogPDF,64,PARALLEL,0.171000
Uniform,LogPDF,64,WORK_STEALING,0.173000
Uniform,CDF,64,SCALAR,3.778000
Uniform,CDF,64,VECTORIZED,0.233000
Uniform,CDF,64,PARALLEL,0.201000
Uniform,CDF,64,WORK_STEALING,0.209000
Uniform,PDF,128,SCALAR,7.506000
Uniform,PDF,128,VECTORIZED,0.182000
Uniform,PDF,128,PARALLEL,0.184000
Uniform,PDF,128,WORK_STEALING,0.187000
Uniform,LogPDF,128,SCALAR,7.535000
Uniform,LogPDF,128,VECTORIZED,0.190000
Uniform,LogPDF,128,PARALLEL,0.194000
Uniform,LogPDF,128,WORK_STEALING,0.203000
Uniform,CDF,128,SCALAR,7.461000
Uniform,CDF,128,VECTORIZED,0.328000
Uniform,CDF,128,PARALLEL,0.329000
Uniform,CDF,128,WORK_STEALING,0.301000
Uniform,PDF,256,SCALAR,14.948000
Uniform,PDF,256,VECTORIZED,0.221000
Uniform,PDF,256,PARALLEL,0.233000
Uniform,PDF,256,WORK_STEALING,0.236000
Uniform,LogPDF,256,SCALAR,14.945000
Uniform,LogPDF,256,VECTORIZED,0.255000
Uniform,LogPDF,256,PARALLEL,0.243000
Uniform,LogPDF,256,WORK_STEALING,0.258000
Uniform,CDF,256,SCALAR,14.860000
Uniform,CDF,256,VECTORIZED,0.502000
Uniform,CDF,256,PARALLEL,0.545000
Uniform,CDF,256,WORK_STEALING,0.460000
Uniform,PDF,512,SCALAR,29.895000
Uniform,PDF,512,VECTORIZED,0.321000
Uniform,PDF,512,PARALLEL,0.328000
Uniform,PDF,512,WORK_STEALING,0.329000
Uniform,LogPDF,512,SCALAR,31.409000
Uniform,LogPDF,512,VECTORIZED,0.410000
Uniform,LogPDF,512,PARALLEL,0.382000
Uniform,LogPDF,512,WORK_STEALING,0.371000
Uniform,CDF,512,SCALAR,29.707000
Uniform,CDF,512,VECTORIZED,0.817000
Uniform,CDF,512,PARALLEL,0.914000
Uniform,CDF,512,WORK_STEALING,0.803000
Uniform,PDF,1000,SCALAR,58.149000
Uniform,PDF,1000,VECTORIZED,0.594000
Uniform,PDF,1000,PARALLEL,0.510000
Uniform,PDF,1000,WORK_STEALING,0.511000
Uniform,LogPDF,1000,SCALAR,58.177000
Uniform,LogPDF,1000,VECTORIZED,0.575000
Uniform,LogPDF,1000,PARALLEL,0.516000
Uniform,LogPDF,1000,WORK_STEALING,0.588000
Uniform,CDF,1000,SCALAR,58.057000
Uniform,CDF,1000,VECTORIZED,1.476000
Uniform,CDF,1000,PARALLEL,2.381000
Uniform,CDF,1000,WORK_STEALING,1.548000
Uniform,PDF,2000,SCALAR,124.690000
Uniform,PDF,2000,VECTORIZED,1.445000
Uniform,PDF,2000,PARALLEL,2.295000
Uniform,PDF,2000,WORK_STEALING,0.912000
Uniform,LogPDF,2000,SCALAR,127.404000
Uniform,LogPDF,2000,VECTORIZED,0.990000
Uniform,LogPDF,2000,PARALLEL,4.507000
Uniform,LogPDF,2000,WORK_STEALING,1.005000
Uniform,CDF,2000,SCALAR,120.517000
Uniform,CDF,2000,VECTORIZED,5.097000
Uniform,CDF,2000,PARALLEL,7.922000
Uniform,CDF,2000,WORK_STEALING,4.921000
Uniform,PDF,5000,SCALAR,290.818000
Uniform,PDF,5000,VECTORIZED,2.164000
Uniform,PDF,5000,PARALLEL,72.574000
Uniform,PDF,5000,WORK_STEALING,23.542000
Uniform,LogPDF,5000,SCALAR,444.572000
Uniform,LogPDF,5000,VECTORIZED,3.357000
Uniform,LogPDF,5000,PARALLEL,78.055000
Uniform,LogPDF,5000,WORK_STEALING,28.560000
Uniform,CDF,5000,SCALAR,287.226000
Uniform,CDF,5000,VECTORIZED,17.824000
Uniform,CDF,5000,PARALLEL,76.053000
Uniform,CDF,5000,WORK_STEALING,39.178000
Uniform,PDF,10000,SCALAR,554.501000
Uniform,PDF,10000,VECTORIZED,5.210000
Uniform,PDF,10000,PARALLEL,73.130000
Uniform,PDF,10000,WORK_STEALING,35.753000
Uniform,LogPDF,10000,SCALAR,477.589000
Uniform,LogPDF,10000,VECTORIZED,3.633000
Uniform,LogPDF,10000,PARALLEL,89.607000
Uniform,LogPDF,10000,WORK_STEALING,33.226000
Uniform,CDF,10000,SCALAR,476.533000
Uniform,CDF,10000,VECTORIZED,45.445000
Uniform,CDF,10000,PARALLEL,85.578000
Uniform,CDF,10000,WORK_STEALING,41.333000
Uniform,PDF,20000,SCALAR,939.193000
Uniform,PDF,20000,VECTORIZED,7.712000
Uniform,PDF,20000,PARALLEL,74.060000
Uniform,PDF,20000,WORK_STEALING,46.676000
Uniform,LogPDF,20000,SCALAR,995.681000
Uniform,LogPDF,20000,VECTORIZED,7.926000
Uniform,LogPDF,20000,PARALLEL,80.709000
Uniform,LogPDF,20000,WORK_STEALING,47.550000
Uniform,CDF,20000,SCALAR,967.672000
Uniform,CDF,20000,VECTORIZED,162.723000
Uniform,CDF,20000,PARALLEL,87.190000
Uniform,CDF,20000,WORK_STEALING,57.134000
Uniform,PDF,50000,SCALAR,2432.601000
Uniform,PDF,50000,VECTORIZED,20.523000
Uniform,PDF,50000,PARALLEL,132.311000
Uniform,PDF,50000,WORK_STEALING,103.686000
Uniform,LogPDF,50000,SCALAR,2392.992000
Uniform,LogPDF,50000,VECTORIZED,21.662000
Uniform,LogPDF,50000,PARALLEL,181.964000
Uniform,LogPDF,50000,WORK_STEALING,83.842000
Uniform,CDF,50000,SCALAR,2377.450000
Uniform,CDF,50000,VECTORIZED,331.322000
Uniform,CDF,50000,PARALLEL,141.544000
Uniform,CDF,50000,WORK_STEALING,99.756000
Uniform,PDF,100000,SCALAR,4879.870000
Uniform,PDF,100000,VECTORIZED,43.941000
