distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.679,1.185,1.745
Beta,CDF,16,VECTORIZED,1.221,2.331,1.909
Beta,CDF,32,VECTORIZED,3.14,5.99,1.908
Beta,CDF,64,VECTORIZED,3.77,9.337,2.477
Beta,CDF,128,PARALLEL,7.983,16.677,2.089
Beta,CDF,256,WORK_STEALING,19.087,36.788,1.927
Beta,CDF,512,WORK_STEALING,30.62,77.515,2.532
Beta,CDF,1000,VECTORIZED,69.82,153.453,2.198
Beta,CDF,2000,PARALLEL,148.189,272.342,1.838
Beta,CDF,5000,WORK_STEALING,109.468,627.712,5.734
Beta,CDF,10000,WORK_STEALING,223.67,1284.839,5.744
Beta,CDF,20000,WORK_STEALING,396.227,2701.49,6.818
Beta,CDF,50000,WORK_STEALING,694.817,6618.076,9.525
Beta,CDF,100000,WORK_STEALING,1320.389,13491.655,10.218
Beta,CDF,250000,WORK_STEALING,3493.184,34667.268,9.924
Beta,CDF,500000,WORK_STEALING,8173.655,69517.04,8.505
Beta,LogPDF,8,SCALAR,0.563,0.563,1.0
Beta,LogPDF,16,WORK_STEALING,0.745,1.451,1.948
Beta,LogPDF,32,WORK_STEALING,1.263,2.849,2.256
Beta,LogPDF,64,VECTORIZED,1.777,3.945,2.22
Beta,LogPDF,128,WORK_STEALING,2.932,11.095,3.784
Beta,LogPDF,256,WORK_STEALING,3.79,15.032,3.966
Beta,LogPDF,512,PARALLEL,8.662,30.568,3.529
Beta,LogPDF,1000,WORK_STEALING,16.275,78.793,4.841
Beta,LogPDF,2000,VECTORIZED,29.741,130.656,4.393
Beta,LogPDF,5000,WORK_STEALING,75.776,300.398,3.964
Beta,LogPDF,10000,PARALLEL,171.639,579.825,3.378
Beta,LogPDF,20000,PARALLEL,344.287,1249.854,3.63
Beta,LogPDF,50000,PARALLEL,848.602,3000.23,3.535
Beta,LogPDF,100000,WORK_STEALING,1683.905,6199.535,3.682
Beta,LogPDF,250000,WORK_STEALING,4268.813,17049.021,3.994
Beta,LogPDF,500000,PARALLEL,9040.173,31477.709,3.482
Beta,PDF,8,WORK_STEALING,0.663,0.905,1.365
Beta,PDF,16,WORK_STEALING,1.199,1.75,1.46
Beta,PDF,32,VECTORIZED,1.314,2.356,1.793
