distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,2.4,7.1,2.958
Beta,CDF,128,VECTORIZED,4.3,13.3,3.093
Beta,CDF,256,VECTORIZED,8.0,24.9,3.112
Beta,CDF,512,VECTORIZED,16.0,50.5,3.156
Beta,CDF,1024,VECTORIZED,31.0,101.5,3.274
Beta,CDF,2048,VECTORIZED,63.2,205.5,3.252
Beta,CDF,4096,VECTORIZED,124.8,549.6,4.404
Beta,CDF,6144,WORK_STEALING,190.1,628.5,3.306
Beta,CDF,8192,PARALLEL,109.4,835.8,7.64
Beta,CDF,10000,PARALLEL,111.3,1482.7,13.322
Beta,CDF,25000,PARALLEL,226.7,2586.8,11.411
Beta,CDF,50000,PARALLEL,418.5,5256.2,12.56
Beta,CDF,75000,PARALLEL,591.8,7823.6,13.22
Beta,CDF,100000,PARALLEL,796.7,11490.5,14.423
Beta,CDF,150000,PARALLEL,1154.5,15728.3,13.623
Beta,CDF,200000,PARALLEL,1666.2,25386.3,15.236
Beta,CDF,250000,PARALLEL,1883.1,31168.7,16.552
Beta,CDF,300000,PARALLEL,2312.4,36392.5,15.738
Beta,CDF,400000,PARALLEL,3012.4,47078.0,15.628
Beta,CDF,500000,PARALLEL,3692.3,61126.9,16.555
Beta,CDF,750000,PARALLEL,5622.6,95000.0,16.896
Beta,CDF,1000000,PARALLEL,7351.4,126309.8,17.182
Beta,CDF,1500000,PARALLEL,10923.4,192605.8,17.632
Beta,CDF,2000000,PARALLEL,14092.1,251056.8,17.815
Beta,LogPDF,64,WORK_STEALING,0.3,1.3,4.333
Beta,LogPDF,128,VECTORIZED,0.6,1.5,2.5
Beta,LogPDF,256,WORK_STEALING,0.9,2.8,3.111
Beta,LogPDF,512,PARALLEL,1.9,5.4,2.842
Beta,LogPDF,1024,VECTORIZED,3.6,11.0,3.056
Beta,LogPDF,2048,VECTORIZED,7.1,21.8,3.07
Beta,LogPDF,4096,VECTORIZED,14.4,43.6,3.028
Beta,LogPDF,6144,PARALLEL,21.3,67.3,3.16
Beta,LogPDF,8192,VECTORIZED,27.9,87.1,3.122
Beta,LogPDF,10000,VECTORIZED,34.2,196.1,5.734
Beta,LogPDF,25000,VECTORIZED,84.7,297.6,3.514
Beta,LogPDF,50000,WORK_STEALING,172.7,617.6,3.576
Beta,LogPDF,75000,PARALLEL,337.1,1061.7,3.15
Beta,LogPDF,100000,WORK_STEALING,473.3,1262.9,2.668
Beta,LogPDF,150000,PARALLEL,828.6,3177.8,3.835
Beta,LogPDF,200000,WORK_STEALING,1014.5,3019.3,2.976
Beta,LogPDF,250000,PARALLEL,1441.4,3415.8,2.37
Beta,LogPDF,300000,PARALLEL,1527.3,6000.3,3.929
Beta,LogPDF,400000,PARALLEL,2128.6,7136.9,3.353
Beta,LogPDF,500000,WORK_STEALING,3025.3,7492.7,2.477
Beta,LogPDF,750000,PARALLEL,4793.8,10747.9,2.242
Beta,LogPDF,1000000,PARALLEL,6218.6,15247.8,2.452
Beta,LogPDF,1500000,PARALLEL,9498.3,25956.7,2.733
Beta,LogPDF,2000000,PARALLEL,12850.8,34906.2,2.716
Beta,PDF,64,VECTORIZED,0.6,1.7,2.833
Beta,PDF,128,VECTORIZED,0.7,2.1,3.0
Beta,PDF,256,VECTORIZED,1.2,4.0,3.333
Beta,PDF,512,VECTORIZED,2.3,8.0,3.478
