distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,64,64,PARALLEL,14255.4,2000000
Beta,LogPDF,64,2048,2048,PARALLEL,10891.4,2000000
Beta,PDF,64,256,512,PARALLEL,11775.9,2000000
Binomial,CDF,128,64,64,PARALLEL,153189.5,2000000
Binomial,LogPDF,64,10000,64,VECTORIZED,157829.1,2000000
Binomial,PDF,64,128,128,VECTORIZED,174959.9,2000000
ChiSquared,CDF,64,64,64,PARALLEL,18778.3,2000000
ChiSquared,LogPDF,64,150000,1024,PARALLEL,2310.5,2000000
ChiSquared,PDF,64,150000,6144,PARALLEL,4049.6,2000000
Discrete,CDF,64,50000,8192,PARALLEL,1181.1,2000000
Discrete,LogPDF,64,150000,256,PARALLEL,866.6,2000000
Discrete,PDF,64,128,2048,PARALLEL,806.5,2000000
Exponential,CDF,64,250000,64,PARALLEL,1581.4,2000000
Exponential,LogPDF,64,400000,10000,PARALLEL,718.0,2000000
Exponential,PDF,64,150000,256,PARALLEL,1577.2,2000000
Gamma,CDF,64,64,64,PARALLEL,18244.7,2000000
Gamma,LogPDF,64,75000,2048,PARALLEL,2311.6,2000000
Gamma,PDF,64,150000,128,PARALLEL,4092.0,2000000
Gaussian,CDF,64,25000,512,PARALLEL,2897.7,2000000
Gaussian,LogPDF,64,1000000,256,PARALLEL,821.3,2000000
Gaussian,PDF,64,1000000,512,PARALLEL,1622.9,2000000
LogNormal,CDF,64,25000,2048,PARALLEL,5193.5,2000000
LogNormal,LogPDF,64,75000,256,PARALLEL,2328.5,2000000
LogNormal,PDF,64,150000,,PARALLEL,4214.9,2000000
NegBinomial,CDF,128,2048,256,PARALLEL,178132.0,2000000
NegBinomial,LogPDF,64,128,64,VECTORIZED,129137.4,2000000
NegBinomial,PDF,64,6144,128,VECTORIZED,142635.2,2000000
Pareto,CDF,64,2000000,512,PARALLEL,5431.8,2000000
Pareto,LogPDF,64,250000,512,PARALLEL,2330.2,2000000
Pareto,PDF,64,2000000,512,PARALLEL,3990.1,2000000
Poisson,CDF,64,64,64,PARALLEL,21701.1,2000000
Poisson,LogPDF,64,25000,1024,PARALLEL,3598.1,2000000
Poisson,PDF,128,128,2048,PARALLEL,5956.5,2000000
Rayleigh,CDF,64,100000,2048,PARALLEL,1655.8,2000000
Rayleigh,LogPDF,64,75000,128,PARALLEL,2229.7,2000000
Rayleigh,PDF,64,150000,4096,PARALLEL,4026.1,2000000
StudentT,CDF,64,256,128,WORK_STEALING,47002.7,2000000
StudentT,LogPDF,64,,128,VECTORIZED,3548.0,2000000
StudentT,PDF,64,,256,VECTORIZED,4575.8,2000000
Uniform,CDF,64,256,1024,PARALLEL,1690.3,2000000
Uniform,LogPDF,64,4096,2048,PARALLEL,1636.2,2000000
Uniform,PDF,64,50000,256,PARALLEL,1799.4,2000000
VonMises,CDF,64,64,128,WORK_STEALING,1731400.9,2000000
VonMises,LogPDF,64,100000,1024,PARALLEL,3381.0,2000000
VonMises,PDF,64,50000,2048,PARALLEL,4704.1,2000000
Weibull,CDF,64,2000000,64,PARALLEL,6004.0,2000000
Weibull,LogPDF,64,150000,1024,PARALLEL,4062.6,2000000
Weibull,PDF,64,150000,128,PARALLEL,6109.4,2000000
