Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,64,SCALAR,0.500000
Uniform,PDF,64,VECTORIZED,0.100000
Uniform,PDF,64,PARALLEL,0.100000
Uniform,PDF,64,WORK_STEALING,0.100000
Uniform,LogPDF,64,SCALAR,0.700000
Uniform,LogPDF,64,VECTORIZED,0.100000
Uniform,LogPDF,64,PARALLEL,0.100000
Uniform,LogPDF,64,WORK_STEALING,0.100000
Uniform,CDF,64,SCALAR,0.600000
Uniform,CDF,64,VECTORIZED,0.100000
Uniform,CDF,64,PARALLEL,0.100000
Uniform,CDF,64,WORK_STEALING,0.100000
Uniform,PDF,128,SCALAR,1.300000
Uniform,PDF,128,VECTORIZED,0.100000
Uniform,PDF,128,PARALLEL,0.200000
Uniform,PDF,128,WORK_STEALING,0.200000
Uniform,LogPDF,128,SCALAR,1.300000
Uniform,LogPDF,128,VECTORIZED,0.100000
Uniform,LogPDF,128,PARALLEL,0.100000
Uniform,LogPDF,128,WORK_STEALING,0.200000
Uniform,CDF,128,SCALAR,1.200000
Uniform,CDF,128,VECTORIZED,0.200000
Uniform,CDF,128,PARALLEL,0.200000
Uniform,CDF,128,WORK_STEALING,0.200000
Uniform,PDF,256,SCALAR,2.500000
Uniform,PDF,256,VECTORIZED,0.200000
Uniform,PDF,256,PARALLEL,0.300000
Uniform,PDF,256,WORK_STEALING,0.200000
Uniform,LogPDF,256,SCALAR,2.600000
Uniform,LogPDF,256,VECTORIZED,0.200000
Uniform,LogPDF,256,PARALLEL,0.300000
Uniform,LogPDF,256,WORK_STEALING,0.300000
Uniform,CDF,256,SCALAR,2.200000
Uniform,CDF,256,VECTORIZED,0.400000
Uniform,CDF,256,PARALLEL,0.300000
Uniform,CDF,256,WORK_STEALING,0.300000
Uniform,PDF,512,SCALAR,4.900000
Uniform,PDF,512,VECTORIZED,0.400000
Uniform,PDF,512,PARALLEL,0.500000
Uniform,PDF,512,WORK_STEALING,0.400000
Uniform,LogPDF,512,SCALAR,5.200000
Uniform,LogPDF,512,VECTORIZED,0.400000
Uniform,LogPDF,512,PARALLEL,0.500000
Uniform,LogPDF,512,WORK_STEALING,0.500000
Uniform,CDF,512,SCALAR,4.400000
Uniform,CDF,512,VECTORIZED,0.700000
Uniform,CDF,512,PARALLEL,0.600000
Uniform,CDF,512,WORK_STEALING,0.600000
Uniform,PDF,1024,SCALAR,10.900000
Uniform,PDF,1024,VECTORIZED,0.900000
Uniform,PDF,1024,PARALLEL,1.200000
Uniform,PDF,1024,WORK_STEALING,1.000000
Uniform,LogPDF,1024,SCALAR,10.300000
Uniform,LogPDF,1024,VECTORIZED,1.000000
Uniform,LogPDF,1024,PARALLEL,1.100000
Uniform,LogPDF,1024,WORK_STEALING,1.100000
Uniform,CDF,1024,SCALAR,12.200000
Uniform,CDF,1024,VECTORIZED,2.000000
Uniform,CDF,1024,PARALLEL,2.400000
Uniform,CDF,1024,WORK_STEALING,1.300000
Uniform,PDF,2048,SCALAR,21.200000
Uniform,PDF,2048,VECTORIZED,2.100000
Uniform,PDF,2048,PARALLEL,2.200000
Uniform,PDF,2048,WORK_STEALING,3.200000
Uniform,LogPDF,2048,SCALAR,18.600000
Uniform,LogPDF,2048,VECTORIZED,1.900000
Uniform,LogPDF,2048,PARALLEL,2.100000
Uniform,LogPDF,2048,WORK_STEALING,2.000000
Uniform,CDF,2048,SCALAR,16.600000
Uniform,CDF,2048,VECTORIZED,2.900000
Uniform,CDF,2048,PARALLEL,2.500000
Uniform,CDF,2048,WORK_STEALING,2.400000
Uniform,PDF,4096,SCALAR,35.100000
Uniform,PDF,4096,VECTORIZED,3.800000
Uniform,PDF,4096,PARALLEL,4.100000
Uniform,PDF,4096,WORK_STEALING,4.300000
Uniform,LogPDF,4096,SCALAR,66.800000
Uniform,LogPDF,4096,VECTORIZED,5.300000
Uniform,LogPDF,4096,PARALLEL,4.500000
Uniform,LogPDF,4096,WORK_STEALING,4.500000
Uniform,CDF,4096,SCALAR,34.600000
Uniform,CDF,4096,VECTORIZED,6.600000
Uniform,CDF,4096,PARALLEL,7.300000
Uniform,CDF,4096,WORK_STEALING,5.500000
Uniform,PDF,6144,SCALAR,60.400000
Uniform,PDF,6144,VECTORIZED,4.500000
Uniform,PDF,6144,PARALLEL,4.600000
Uniform,PDF,6144,WORK_STEALING,4.700000
Uniform,LogPDF,6144,SCALAR,43.000000
Uniform,LogPDF,6144,VECTORIZED,4.400000
Uniform,LogPDF,6144,PARALLEL,4.400000
Uniform,LogPDF,6144,WORK_STEALING,4.600000
Uniform,CDF,6144,SCALAR,37.900000
Uniform,CDF,6144,VECTORIZED,6.500000
Uniform,CDF,6144,PARALLEL,5.800000
Uniform,CDF,6144,WORK_STEALING,5.500000
Uniform,PDF,8192,SCALAR,60.500000
Uniform,PDF,8192,VECTORIZED,5.700000
Uniform,PDF,8192,PARALLEL,67.500000
Uniform,PDF,8192,WORK_STEALING,46.700000
Uniform,LogPDF,8192,SCALAR,87.400000
Uniform,LogPDF,8192,VECTORIZED,8.900000
Uniform,LogPDF,8192,PARALLEL,62.300000
Uniform,LogPDF,8192,WORK_STEALING,58.500000
Uniform,CDF,8192,SCALAR,86.200000
Uniform,CDF,8192,VECTORIZED,14.700000
Uniform,CDF,8192,PARALLEL,62.000000
Uniform,CDF,8192,WORK_STEALING,74.000000
Uniform,PDF,10000,SCALAR,101.500000
Uniform,PDF,10000,VECTORIZED,9.400000
Uniform,PDF,10000,PARALLEL,114.000000
Uniform,PDF,10000,WORK_STEALING,188.000000
Uniform,LogPDF,10000,SCALAR,101.500000
Uniform,LogPDF,10000,VECTORIZED,10.900000
Uniform,LogPDF,10000,PARALLEL,74.000000
Uniform,LogPDF,10000,WORK_STEALING,189.000000
Uniform,CDF,10000,SCALAR,115.600000
Uniform,CDF,10000,VECTORIZED,10.500000
Uniform,CDF,10000,PARALLEL,76.300000
Uniform,CDF,10000,WORK_STEALING,262.400000
Uniform,PDF,25000,SCALAR,237.300000
Uniform,PDF,25000,VECTORIZED,17.600000
Uniform,PDF,25000,PARALLEL,68.600000
Uniform,PDF,25000,WORK_STEALING,641.500000
Uniform,LogPDF,25000,SCALAR,365.500000
Uniform,LogPDF,25000,VECTORIZED,21.400000
Uniform,LogPDF,25000,PARALLEL,96.800000
Uniform,LogPDF,25000,WORK_STEALING,178.200000
Uniform,CDF,25000,SCALAR,211.300000
Uniform,CDF,25000,VECTORIZED,26.500000
Uniform,CDF,25000,PARALLEL,90.700000
Uniform,CDF,25000,WORK_STEALING,184.400000
Uniform,PDF,50000,SCALAR,504.600000
Uniform,PDF,50000,VECTORIZED,118.400000
Uniform,PDF,50000,PARALLEL,83.500000
Uniform,PDF,50000,WORK_STEALING,413.000000
Uniform,LogPDF,50000,SCALAR,501.000000
Uniform,LogPDF,50000,VECTORIZED,131.800000
Uniform,LogPDF,50000,PARALLEL,70.700000
Uniform,LogPDF,50000,WORK_STEALING,2857.900000
Uniform,CDF,50000,SCALAR,470.900000
Uniform,CDF,50000,VECTORIZED,156.100000
Uniform,CDF,50000,PARALLEL,142.000000
Uniform,CDF,50000,WORK_STEALING,383.800000
Uniform,PDF,75000,SCALAR,740.600000
Uniform,PDF,75000,VECTORIZED,287.900000
Uniform,PDF,75000,PARALLEL,140.700000
Uniform,PDF,75000,WORK_STEALING,724.700000
Uniform,LogPDF,75000,SCALAR,762.200000
Uniform,LogPDF,75000,VECTORIZED,294.900000
Uniform,LogPDF,75000,PARALLEL,87.100000
Uniform,LogPDF,75000,WORK_STEALING,684.600000
Uniform,CDF,75000,SCALAR,723.900000
Uniform,CDF,75000,VECTORIZED,277.000000
Uniform,CDF,75000,PARALLEL,88.100000
Uniform,CDF,75000,WORK_STEALING,999.800000
Uniform,PDF,100000,SCALAR,991.800000
Uniform,PDF,100000,VECTORIZED,415.600000
Uniform,PDF,100000,PARALLEL,139.500000
Uniform,PDF,100000,WORK_STEALING,1272.500000
Uniform,LogPDF,100000,SCALAR,1315.300000
Uniform,LogPDF,100000,VECTORIZED,409.500000
Uniform,LogPDF,100000,PARALLEL,106.500000
Uniform,LogPDF,100000,WORK_STEALING,7056.500000
Uniform,CDF,100000,SCALAR,960.800000
Uniform,CDF,100000,VECTORIZED,385.900000
Uniform,CDF,100000,PARALLEL,117.700000
Uniform,CDF,100000,WORK_STEALING,14700.800000
Uniform,PDF,150000,SCALAR,1510.400000
Uniform,PDF,150000,VECTORIZED,639.400000
Uniform,PDF,150000,PARALLEL,145.100000
Uniform,PDF,150000,WORK_STEALING,11645.400000
Uniform,LogPDF,150000,SCALAR,1532.700000
Uniform,LogPDF,150000,VECTORIZED,638.000000
Uniform,LogPDF,150000,PARALLEL,138.300000
Uniform,LogPDF,150000,WORK_STEALING,14194.800000
Uniform,CDF,150000,SCALAR,1440.100000
Uniform,CDF,150000,VECTORIZED,599.500000
Uniform,CDF,150000,PARALLEL,149.400000
Uniform,CDF,150000,WORK_STEALING,4026.300000
Uniform,PDF,200000,SCALAR,2032.700000
Uniform,PDF,200000,VECTORIZED,864.800000
Uniform,PDF,200000,PARALLEL,220.200000
Uniform,PDF,200000,WORK_STEALING,1868.600000
Uniform,LogPDF,200000,SCALAR,2263.800000
Uniform,LogPDF,200000,VECTORIZED,876.900000
Uniform,LogPDF,200000,PARALLEL,201.800000
Uniform,LogPDF,200000,WORK_STEALING,2089.900000
Uniform,CDF,200000,SCALAR,2132.100000
Uniform,CDF,200000,VECTORIZED,795.000000
Uniform,CDF,200000,PARALLEL,224.600000
Uniform,CDF,200000,WORK_STEALING,1537.000000
Uniform,PDF,250000,SCALAR,2551.600000
Uniform,PDF,250000,VECTORIZED,1081.300000
Uniform,PDF,250000,PARALLEL,312.900000
Uniform,PDF,250000,WORK_STEALING,3427.500000
