distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,128,64,WORK_STEALING,6486.656,500000
Beta,LogPDF,64,512,128,PARALLEL,8895.697,500000
Beta,PDF,64,512,256,PARALLEL,9999.218,500000
Binomial,CDF,64,64,512,VECTORIZED,127743.81,500000
Binomial,LogPDF,64,,64,VECTORIZED,22685.034,500000
Binomial,PDF,64,,256,VECTORIZED,28874.904,500000
ChiSquared,CDF,64,64,256,WORK_STEALING,6452.105,500000
ChiSquared,LogPDF,64,64,512,WORK_STEALING,981.46,500000
ChiSquared,PDF,64,50000,64,WORK_STEALING,2192.736,500000
Discrete,CDF,64,25000,64,WORK_STEALING,439.845,500000
Discrete,LogPDF,64,75000,64,WORK_STEALING,414.885,500000
Discrete,PDF,64,50000,128,WORK_STEALING,307.687,500000
Exponential,CDF,64,25000,64,WORK_STEALING,1120.681,500000
Exponential,LogPDF,64,64,512,WORK_STEALING,421.339,500000
Exponential,PDF,64,25000,128,WORK_STEALING,1021.947,500000
Gamma,CDF,64,64,64,WORK_STEALING,6659.515,500000
Gamma,LogPDF,64,64,64,WORK_STEALING,1023.703,500000
Gamma,PDF,64,25000,128,WORK_STEALING,2001.507,500000
Gaussian,CDF,64,10000,64,WORK_STEALING,2834.813,500000
Gaussian,LogPDF,64,64,256,PARALLEL,153.996,500000
Gaussian,PDF,64,50000,128,WORK_STEALING,792.517,500000
LogNormal,CDF,64,6144,64,WORK_STEALING,3857.779,500000
LogNormal,LogPDF,64,64,128,WORK_STEALING,1185.132,500000
LogNormal,PDF,64,25000,256,WORK_STEALING,2422.818,500000
NegBinomial,CDF,64,64,1024,VECTORIZED,102593.332,500000
NegBinomial,LogPDF,64,,2048,VECTORIZED,19713.571,500000
NegBinomial,PDF,64,,1024,VECTORIZED,27476.356,500000
Pareto,CDF,64,50000,128,WORK_STEALING,2659.73,500000
Pareto,LogPDF,64,25000,2048,WORK_STEALING,1110.99,500000
Pareto,PDF,64,25000,128,WORK_STEALING,1925.274,500000
Poisson,CDF,128,64,64,WORK_STEALING,7716.059,500000
Poisson,LogPDF,64,64,64,WORK_STEALING,1562.043,500000
Poisson,PDF,64,64,256,WORK_STEALING,3385.47,500000
Rayleigh,CDF,64,25000,512,WORK_STEALING,907.772,500000
Rayleigh,LogPDF,64,64,4096,WORK_STEALING,1046.272,500000
Rayleigh,PDF,64,25000,512,WORK_STEALING,1913.17,500000
StudentT,CDF,64,64,64,WORK_STEALING,15782.231,500000
StudentT,LogPDF,64,25000,128,WORK_STEALING,1261.499,500000
StudentT,PDF,64,25000,64,WORK_STEALING,1969.943,500000
Uniform,CDF,64,64,64,WORK_STEALING,689.524,500000
Uniform,LogPDF,64,64,256,VECTORIZED,355.619,500000
Uniform,PDF,64,128,512,VECTORIZED,308.091,500000
VonMises,CDF,64,64,64,WORK_STEALING,1293971.579,500000
VonMises,LogPDF,64,400000,256,WORK_STEALING,1582.64,500000
VonMises,PDF,64,75000,4096,WORK_STEALING,2433.345,500000
Weibull,CDF,64,50000,2048,WORK_STEALING,3513.094,500000
Weibull,LogPDF,64,8192,512,WORK_STEALING,2281.962,500000
Weibull,PDF,64,25000,4096,WORK_STEALING,3100.032,500000
