distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,3.557,7.472,2.101
Beta,CDF,128,PARALLEL,7.435,15.523,2.088
Beta,CDF,256,PARALLEL,13.156,27.869,2.118
Beta,CDF,512,PARALLEL,28.457,61.453,2.16
Beta,CDF,1024,PARALLEL,58.195,128.171,2.202
Beta,CDF,2048,WORK_STEALING,118.474,244.178,2.061
Beta,CDF,4096,PARALLEL,115.791,500.642,4.324
Beta,CDF,6144,WORK_STEALING,185.151,764.348,4.128
Beta,CDF,8192,WORK_STEALING,213.205,1001.772,4.699
Beta,CDF,10000,WORK_STEALING,218.726,1350.723,6.175
Beta,CDF,25000,WORK_STEALING,414.517,3334.365,8.044
Beta,CDF,50000,WORK_STEALING,700.265,6906.363,9.862
Beta,CDF,75000,WORK_STEALING,1036.86,9981.666,9.627
Beta,CDF,100000,WORK_STEALING,1267.898,13732.093,10.831
Beta,CDF,150000,WORK_STEALING,1897.317,19881.734,10.479
Beta,CDF,200000,WORK_STEALING,2553.877,27998.031,10.963
Beta,CDF,250000,WORK_STEALING,3494.198,35089.734,10.042
Beta,CDF,300000,WORK_STEALING,3836.003,43661.935,11.382
Beta,CDF,400000,WORK_STEALING,5717.588,53031.232,9.275
Beta,CDF,500000,WORK_STEALING,8265.37,67430.957,8.158
Beta,CDF,750000,WORK_STEALING,10404.551,113432.415,10.902
Beta,CDF,1000000,WORK_STEALING,13953.732,134297.86,9.625
Beta,CDF,1500000,WORK_STEALING,20560.042,205565.345,9.998
Beta,CDF,2000000,WORK_STEALING,26978.004,269490.424,9.989
Beta,LogPDF,64,WORK_STEALING,1.374,3.536,2.574
Beta,LogPDF,128,VECTORIZED,1.99,8.971,4.508
Beta,LogPDF,256,VECTORIZED,4.592,13.401,2.918
Beta,LogPDF,512,PARALLEL,7.428,27.327,3.679
Beta,LogPDF,1024,WORK_STEALING,15.432,55.363,3.588
Beta,LogPDF,2048,PARALLEL,29.843,113.768,3.812
Beta,LogPDF,4096,WORK_STEALING,60.656,233.44,3.849
Beta,LogPDF,6144,VECTORIZED,98.55,369.801,3.752
Beta,LogPDF,8192,VECTORIZED,127.357,447.955,3.517
Beta,LogPDF,10000,PARALLEL,158.705,548.818,3.458
Beta,LogPDF,25000,WORK_STEALING,418.933,1476.558,3.525
Beta,LogPDF,50000,VECTORIZED,928.378,3116.215,3.357
Beta,LogPDF,75000,WORK_STEALING,1179.647,4659.68,3.95
Beta,LogPDF,100000,PARALLEL,1692.561,5957.729,3.52
Beta,LogPDF,150000,PARALLEL,2444.309,9314.12,3.811
Beta,LogPDF,200000,WORK_STEALING,3269.345,12100.796,3.701
Beta,LogPDF,250000,PARALLEL,4445.228,15370.031,3.458
Beta,LogPDF,300000,WORK_STEALING,5287.466,18935.566,3.581
Beta,LogPDF,400000,PARALLEL,6853.403,25272.001,3.688
Beta,LogPDF,500000,WORK_STEALING,8637.522,30490.422,3.53
Beta,LogPDF,750000,WORK_STEALING,13285.663,45832.863,3.45
Beta,LogPDF,1000000,WORK_STEALING,17608.253,61833.694,3.512
Beta,LogPDF,1500000,PARALLEL,26975.214,94819.628,3.515
Beta,LogPDF,2000000,WORK_STEALING,35020.708,123745.186,3.533
Beta,PDF,64,VECTORIZED,1.493,4.088,2.738
Beta,PDF,128,VECTORIZED,2.289,8.163,3.566
Beta,PDF,256,VECTORIZED,5.049,15.51,3.072
Beta,PDF,512,VECTORIZED,8.304,31.651,3.812
Beta,PDF,1024,VECTORIZED,17.123,65.643,3.834
Beta,PDF,2048,VECTORIZED,33.439,127.514,3.813
Beta,PDF,4096,VECTORIZED,66.658,257.985,3.87
Beta,PDF,6144,VECTORIZED,122.19,416.439,3.408
Beta,PDF,8192,PARALLEL,148.28,533.358,3.597
Beta,PDF,10000,WORK_STEALING,176.374,649.39,3.682
Beta,PDF,25000,VECTORIZED,477.819,1596.492,3.341
Beta,PDF,50000,PARALLEL,941.586,3708.666,3.939
Beta,PDF,75000,PARALLEL,1366.122,5105.098,3.737
Beta,PDF,100000,WORK_STEALING,1799.74,6986.726,3.882
Beta,PDF,150000,WORK_STEALING,2777.499,10654.286,3.836
Beta,PDF,200000,PARALLEL,3605.106,13618.197,3.777
Beta,PDF,250000,PARALLEL,4899.743,17835.063,3.64
Beta,PDF,300000,WORK_STEALING,5771.581,21857.8,3.787
Beta,PDF,400000,WORK_STEALING,7859.905,29522.117,3.756
Beta,PDF,500000,WORK_STEALING,9684.527,35117.694,3.626
Beta,PDF,750000,WORK_STEALING,14547.962,53267.658,3.662
Beta,PDF,1000000,WORK_STEALING,19888.087,70389.795,3.539
Beta,PDF,1500000,WORK_STEALING,29976.176,107449.526,3.584
Beta,PDF,2000000,WORK_STEALING,38521.913,143989.169,3.738
Binomial,CDF,64,WORK_STEALING,19.135,19.197,1.003
Binomial,CDF,128,SCALAR,37.97,37.97,1.0
Binomial,CDF,256,SCALAR,79.146,79.146,1.0
Binomial,CDF,512,SCALAR,169.861,169.861,1.0
Binomial,CDF,1024,SCALAR,333.642,333.642,1.0
Binomial,CDF,2048,VECTORIZED,874.642,1046.327,1.196
Binomial,CDF,4096,SCALAR,1568.769,1568.769,1.0
Binomial,CDF,6144,VECTORIZED,2005.384,2228.598,1.111
Binomial,CDF,8192,VECTORIZED,2692.435,3133.843,1.164
Binomial,CDF,10000,VECTORIZED,3205.887,3280.821,1.023
Binomial,CDF,25000,SCALAR,9432.071,9432.071,1.0
Binomial,CDF,50000,VECTORIZED,16030.518,17329.202,1.081
Binomial,CDF,75000,SCALAR,23972.431,23972.431,1.0
Binomial,CDF,100000,SCALAR,30843.269,30843.269,1.0
Binomial,CDF,150000,SCALAR,48223.939,48223.939,1.0
Binomial,CDF,200000,VECTORIZED,68010.931,71043.474,1.045
Binomial,CDF,250000,SCALAR,77544.454,77544.454,1.0
Binomial,CDF,300000,VECTORIZED,92129.337,94821.527,1.029
Binomial,CDF,400000,VECTORIZED,143522.672,146006.856,1.017
Binomial,CDF,500000,VECTORIZED,155193.712,160702.81,1.035
Binomial,CDF,750000,VECTORIZED,249528.122,270509.693,1.084
Binomial,CDF,1000000,VECTORIZED,345262.318,361358.686,1.047
Binomial,CDF,1500000,SCALAR,468716.049,468716.049,1.0
Binomial,CDF,2000000,VECTORIZED,604031.725,642118.26,1.063
Binomial,LogPDF,64,VECTORIZED,3.31,6.575,1.986
Binomial,LogPDF,128,VECTORIZED,6.407,13.075,2.041
Binomial,LogPDF,256,VECTORIZED,17.978,36.214,2.014
Binomial,LogPDF,512,VECTORIZED,27.586,62.37,2.261
Binomial,LogPDF,1024,VECTORIZED,62.792,137.897,2.196
Binomial,LogPDF,2048,VECTORIZED,150.837,358.077,2.374
Binomial,LogPDF,4096,VECTORIZED,241.552,493.359,2.042
Binomial,LogPDF,6144,VECTORIZED,385.114,853.605,2.216
Binomial,LogPDF,8192,VECTORIZED,470.635,923.263,1.962
Binomial,LogPDF,10000,VECTORIZED,547.34,1105.715,2.02
Binomial,LogPDF,25000,VECTORIZED,1399.386,3244.83,2.319
Binomial,LogPDF,50000,VECTORIZED,3108.912,6774.275,2.179
Binomial,LogPDF,75000,VECTORIZED,4013.598,9719.865,2.422
Binomial,LogPDF,100000,VECTORIZED,5423.712,12112.802,2.233
Binomial,LogPDF,150000,VECTORIZED,7980.912,17386.688,2.179
Binomial,LogPDF,200000,VECTORIZED,10305.133,21713.406,2.107
Binomial,LogPDF,250000,VECTORIZED,13869.269,26696.008,1.925
Binomial,LogPDF,300000,VECTORIZED,16029.644,34343.256,2.142
Binomial,LogPDF,400000,VECTORIZED,23550.955,45537.752,1.934
Binomial,LogPDF,500000,VECTORIZED,26970.298,56614.832,2.099
Binomial,LogPDF,750000,VECTORIZED,44542.668,80860.888,1.815
Binomial,LogPDF,1000000,VECTORIZED,55328.333,120168.901,2.172
Binomial,LogPDF,1500000,VECTORIZED,78315.916,173326.942,2.213
Binomial,LogPDF,2000000,VECTORIZED,131259.28,273939.823,2.087
Binomial,PDF,64,VECTORIZED,4.203,7.927,1.886
Binomial,PDF,128,VECTORIZED,12.22,15.958,1.306
Binomial,PDF,256,VECTORIZED,22.194,42.019,1.893
Binomial,PDF,512,VECTORIZED,33.499,68.783,2.053
Binomial,PDF,1024,VECTORIZED,63.945,130.255,2.037
Binomial,PDF,2048,VECTORIZED,202.164,289.186,1.43
Binomial,PDF,4096,VECTORIZED,397.714,739.133,1.858
Binomial,PDF,6144,VECTORIZED,415.586,876.687,2.11
Binomial,PDF,8192,VECTORIZED,549.025,1058.188,1.927
Binomial,PDF,10000,VECTORIZED,735.645,1265.73,1.721
Binomial,PDF,25000,VECTORIZED,1846.629,3340.704,1.809
Binomial,PDF,50000,VECTORIZED,3610.633,6784.649,1.879
Binomial,PDF,75000,VECTORIZED,4946.066,10068.235,2.036
Binomial,PDF,100000,VECTORIZED,6851.671,13592.632,1.984
Binomial,PDF,150000,VECTORIZED,9895.853,19219.752,1.942
Binomial,PDF,200000,VECTORIZED,13426.12,27946.148,2.081
Binomial,PDF,250000,VECTORIZED,18184.398,36059.879,1.983
Binomial,PDF,300000,VECTORIZED,23269.718,43714.069,1.879
Binomial,PDF,400000,VECTORIZED,30623.183,56777.591,1.854
Binomial,PDF,500000,VECTORIZED,37564.466,70570.511,1.879
Binomial,PDF,750000,VECTORIZED,52818.267,105295.244,1.994
Binomial,PDF,1000000,VECTORIZED,83321.652,154928.041,1.859
Binomial,PDF,1500000,VECTORIZED,107866.074,199077.536,1.846
Binomial,PDF,2000000,VECTORIZED,143434.459,299760.311,2.09
ChiSquared,CDF,64,WORK_STEALING,3.146,6.496,2.065
ChiSquared,CDF,128,PARALLEL,6.183,12.963,2.097
ChiSquared,CDF,256,PARALLEL,12.945,26.395,2.039
ChiSquared,CDF,512,VECTORIZED,37.012,53.889,1.456
ChiSquared,CDF,1024,WORK_STEALING,61.614,106.142,1.723
ChiSquared,CDF,2048,WORK_STEALING,114.905,231.651,2.016
ChiSquared,CDF,4096,WORK_STEALING,99.771,433.365,4.344
ChiSquared,CDF,6144,WORK_STEALING,154.077,695.527,4.514
ChiSquared,CDF,8192,WORK_STEALING,187.154,886.815,4.738
ChiSquared,CDF,10000,WORK_STEALING,230.471,1076.44,4.671
ChiSquared,CDF,25000,WORK_STEALING,416.944,2919.129,7.001
ChiSquared,CDF,50000,WORK_STEALING,776.032,5565.658,7.172
ChiSquared,CDF,75000,WORK_STEALING,1118.056,8494.931,7.598
ChiSquared,CDF,100000,WORK_STEALING,1357.668,12526.218,9.226
ChiSquared,CDF,150000,WORK_STEALING,2250.486,17126.16,7.61
ChiSquared,CDF,200000,WORK_STEALING,2710.049,22936.79,8.464
ChiSquared,CDF,250000,WORK_STEALING,3384.788,30118.227,8.898
ChiSquared,CDF,300000,WORK_STEALING,3804.483,34303.178,9.017
ChiSquared,CDF,400000,WORK_STEALING,5124.599,46073.451,8.991
ChiSquared,CDF,500000,WORK_STEALING,6899.937,59811.178,8.668
ChiSquared,CDF,750000,WORK_STEALING,11680.121,83284.405,7.13
ChiSquared,CDF,1000000,WORK_STEALING,14198.88,111166.903,7.829
ChiSquared,CDF,1500000,WORK_STEALING,21611.283,167699.843,7.76
ChiSquared,CDF,2000000,WORK_STEALING,28629.382,224306.008,7.835
ChiSquared,LogPDF,64,PARALLEL,0.565,3.371,5.966
ChiSquared,LogPDF,128,VECTORIZED,0.763,6.706,8.789
ChiSquared,LogPDF,256,VECTORIZED,1.326,13.347,10.066
ChiSquared,LogPDF,512,VECTORIZED,2.89,26.554,9.188
ChiSquared,LogPDF,1024,VECTORIZED,4.516,54.732,12.12
ChiSquared,LogPDF,2048,VECTORIZED,9.122,117.728,12.906
ChiSquared,LogPDF,4096,VECTORIZED,18.545,240.823,12.986
ChiSquared,LogPDF,6144,VECTORIZED,28.758,367.665,12.785
ChiSquared,LogPDF,8192,VECTORIZED,38.659,459.777,11.893
ChiSquared,LogPDF,10000,WORK_STEALING,42.134,539.069,12.794
ChiSquared,LogPDF,25000,WORK_STEALING,87.341,1464.176,16.764
ChiSquared,LogPDF,50000,WORK_STEALING,131.384,2935.147,22.34
ChiSquared,LogPDF,75000,WORK_STEALING,187.331,4195.184,22.394
ChiSquared,LogPDF,100000,WORK_STEALING,254.388,5630.95,22.135
ChiSquared,LogPDF,150000,WORK_STEALING,334.569,8622.234,25.771
ChiSquared,LogPDF,200000,WORK_STEALING,454.093,11523.115,25.376
ChiSquared,LogPDF,250000,WORK_STEALING,505.943,14293.075,28.25
ChiSquared,LogPDF,300000,WORK_STEALING,686.556,17549.125,25.561
ChiSquared,LogPDF,400000,WORK_STEALING,897.47,23195.123,25.845
ChiSquared,LogPDF,500000,WORK_STEALING,1025.684,28520.321,27.806
ChiSquared,LogPDF,750000,WORK_STEALING,1660.237,42815.661,25.789
ChiSquared,LogPDF,1000000,WORK_STEALING,2210.722,55544.175,25.125
ChiSquared,LogPDF,1500000,WORK_STEALING,3142.786,84211.603,26.795
ChiSquared,LogPDF,2000000,WORK_STEALING,4907.683,112993.65,23.024
ChiSquared,PDF,64,VECTORIZED,0.775,6.62,8.542
ChiSquared,PDF,128,VECTORIZED,0.989,13.204,13.351
ChiSquared,PDF,256,VECTORIZED,1.71,26.322,15.393
ChiSquared,PDF,512,VECTORIZED,3.194,52.795,16.529
ChiSquared,PDF,1024,VECTORIZED,6.169,134.843,21.858
ChiSquared,PDF,2048,VECTORIZED,16.645,231.352,13.899
ChiSquared,PDF,4096,VECTORIZED,34.953,435.343,12.455
ChiSquared,PDF,6144,VECTORIZED,38.598,674.114,17.465
ChiSquared,PDF,8192,VECTORIZED,53.055,893.812,16.847
ChiSquared,PDF,10000,VECTORIZED,64.741,1097.251,16.948
ChiSquared,PDF,25000,WORK_STEALING,143.632,2715.945,18.909
ChiSquared,PDF,50000,WORK_STEALING,288.556,5682.067,19.691
ChiSquared,PDF,75000,WORK_STEALING,362.726,8564.669,23.612
ChiSquared,PDF,100000,WORK_STEALING,448.463,11752.813,26.207
ChiSquared,PDF,150000,WORK_STEALING,675.532,16883.229,24.992
