Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,64,SCALAR,3.296000
Uniform,PDF,64,VECTORIZED,0.130000
Uniform,PDF,64,PARALLEL,0.134000
Uniform,PDF,64,WORK_STEALING,0.134000
Uniform,LogPDF,64,SCALAR,3.298000
Uniform,LogPDF,64,VECTORIZED,0.141000
Uniform,LogPDF,64,PARALLEL,0.141000
Uniform,LogPDF,64,WORK_STEALING,0.143000
Uniform,CDF,64,SCALAR,3.683000
Uniform,CDF,64,VECTORIZED,0.289000
Uniform,CDF,64,PARALLEL,0.179000
Uniform,CDF,64,WORK_STEALING,0.166000
Uniform,PDF,128,SCALAR,6.532000
Uniform,PDF,128,VECTORIZED,0.151000
Uniform,PDF,128,PARALLEL,0.154000
Uniform,PDF,128,WORK_STEALING,0.155000
Uniform,LogPDF,128,SCALAR,6.570000
Uniform,LogPDF,128,VECTORIZED,0.245000
Uniform,LogPDF,128,PARALLEL,0.241000
Uniform,LogPDF,128,WORK_STEALING,0.264000
Uniform,CDF,128,SCALAR,6.503000
Uniform,CDF,128,VECTORIZED,0.243000
Uniform,CDF,128,PARALLEL,0.274000
Uniform,CDF,128,WORK_STEALING,0.227000
Uniform,PDF,256,SCALAR,13.043000
Uniform,PDF,256,VECTORIZED,0.193000
Uniform,PDF,256,PARALLEL,0.197000
Uniform,PDF,256,WORK_STEALING,0.196000
Uniform,LogPDF,256,SCALAR,13.648000
Uniform,LogPDF,256,VECTORIZED,0.350000
Uniform,LogPDF,256,PARALLEL,0.343000
Uniform,LogPDF,256,WORK_STEALING,0.315000
Uniform,CDF,256,SCALAR,14.628000
Uniform,CDF,256,VECTORIZED,0.624000
Uniform,CDF,256,PARALLEL,0.454000
Uniform,CDF,256,WORK_STEALING,0.332000
Uniform,PDF,512,SCALAR,25.903000
Uniform,PDF,512,VECTORIZED,0.269000
Uniform,PDF,512,PARALLEL,0.277000
Uniform,PDF,512,WORK_STEALING,0.276000
Uniform,LogPDF,512,SCALAR,25.724000
Uniform,LogPDF,512,VECTORIZED,0.305000
Uniform,LogPDF,512,PARALLEL,0.277000
Uniform,LogPDF,512,WORK_STEALING,0.307000
Uniform,CDF,512,SCALAR,27.908000
Uniform,CDF,512,VECTORIZED,0.954000
Uniform,CDF,512,PARALLEL,1.437000
Uniform,CDF,512,WORK_STEALING,0.868000
Uniform,PDF,1024,SCALAR,51.242000
Uniform,PDF,1024,VECTORIZED,0.652000
Uniform,PDF,1024,PARALLEL,0.691000
Uniform,PDF,1024,WORK_STEALING,0.667000
Uniform,LogPDF,1024,SCALAR,56.679000
Uniform,LogPDF,1024,VECTORIZED,0.481000
Uniform,LogPDF,1024,PARALLEL,0.430000
Uniform,LogPDF,1024,WORK_STEALING,0.487000
Uniform,CDF,1024,SCALAR,51.909000
Uniform,CDF,1024,VECTORIZED,1.081000
Uniform,CDF,1024,PARALLEL,1.579000
Uniform,CDF,1024,WORK_STEALING,1.171000
Uniform,PDF,2048,SCALAR,108.571000
Uniform,PDF,2048,VECTORIZED,1.298000
Uniform,PDF,2048,PARALLEL,2.527000
Uniform,PDF,2048,WORK_STEALING,0.769000
Uniform,LogPDF,2048,SCALAR,98.305000
Uniform,LogPDF,2048,VECTORIZED,0.833000
Uniform,LogPDF,2048,PARALLEL,6.071000
Uniform,LogPDF,2048,WORK_STEALING,0.846000
Uniform,CDF,2048,SCALAR,103.631000
Uniform,CDF,2048,VECTORIZED,3.058000
Uniform,CDF,2048,PARALLEL,3.976000
Uniform,CDF,2048,WORK_STEALING,4.618000
Uniform,PDF,4096,SCALAR,251.692000
Uniform,PDF,4096,VECTORIZED,1.429000
Uniform,PDF,4096,PARALLEL,58.473000
Uniform,PDF,4096,WORK_STEALING,26.834000
Uniform,LogPDF,4096,SCALAR,210.114000
Uniform,LogPDF,4096,VECTORIZED,1.532000
Uniform,LogPDF,4096,PARALLEL,47.553000
Uniform,LogPDF,4096,WORK_STEALING,21.798000
Uniform,CDF,4096,SCALAR,207.482000
Uniform,CDF,4096,VECTORIZED,10.327000
Uniform,CDF,4096,PARALLEL,51.657000
Uniform,CDF,4096,WORK_STEALING,22.426000
Uniform,PDF,6144,SCALAR,314.507000
Uniform,PDF,6144,VECTORIZED,2.100000
Uniform,PDF,6144,PARALLEL,57.034000
Uniform,PDF,6144,WORK_STEALING,22.916000
Uniform,LogPDF,6144,SCALAR,322.699000
Uniform,LogPDF,6144,VECTORIZED,2.245000
Uniform,LogPDF,6144,PARALLEL,68.108000
Uniform,LogPDF,6144,WORK_STEALING,26.369000
Uniform,CDF,6144,SCALAR,300.743000
Uniform,CDF,6144,VECTORIZED,21.160000
Uniform,CDF,6144,PARALLEL,75.102000
Uniform,CDF,6144,WORK_STEALING,23.681000
Uniform,PDF,8192,SCALAR,403.015000
Uniform,PDF,8192,VECTORIZED,2.753000
Uniform,PDF,8192,PARALLEL,71.969000
Uniform,PDF,8192,WORK_STEALING,31.228000
Uniform,LogPDF,8192,SCALAR,406.170000
Uniform,LogPDF,8192,VECTORIZED,3.046000
Uniform,LogPDF,8192,PARALLEL,63.955000
Uniform,LogPDF,8192,WORK_STEALING,25.303000
Uniform,CDF,8192,SCALAR,401.290000
Uniform,CDF,8192,VECTORIZED,31.574000
Uniform,CDF,8192,PARALLEL,77.806000
Uniform,CDF,8192,WORK_STEALING,25.016000
Uniform,PDF,10000,SCALAR,513.285000
Uniform,PDF,10000,VECTORIZED,3.401000
Uniform,PDF,10000,PARALLEL,69.766000
Uniform,PDF,10000,WORK_STEALING,29.996000
Uniform,LogPDF,10000,SCALAR,555.115000
Uniform,LogPDF,10000,VECTORIZED,5.844000
Uniform,LogPDF,10000,PARALLEL,65.557000
