distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,1.667,3.792,2.275
Beta,CDF,128,VECTORIZED,3.459,8.042,2.325
Beta,CDF,256,VECTORIZED,6.625,15.417,2.327
Beta,CDF,512,VECTORIZED,13.334,30.75,2.306
Beta,CDF,1024,VECTORIZED,26.708,61.541,2.304
Beta,CDF,2048,WORK_STEALING,26.208,126.333,4.82
Beta,CDF,4096,PARALLEL,55.958,255.208,4.561
Beta,CDF,6144,PARALLEL,73.708,375.375,5.093
Beta,CDF,8192,WORK_STEALING,91.958,500.0,5.437
Beta,CDF,10000,WORK_STEALING,121.541,615.666,5.066
Beta,CDF,25000,WORK_STEALING,246.75,1531.167,6.205
Beta,CDF,50000,PARALLEL,484.5,3060.709,6.317
Beta,CDF,75000,WORK_STEALING,666.625,4636.0,6.954
Beta,CDF,100000,WORK_STEALING,834.917,6099.25,7.305
Beta,CDF,150000,WORK_STEALING,1116.917,9202.167,8.239
Beta,CDF,200000,WORK_STEALING,1529.542,12234.5,7.999
Beta,CDF,250000,PARALLEL,2167.25,15284.042,7.052
Beta,CDF,300000,WORK_STEALING,2145.542,18377.708,8.566
Beta,CDF,400000,WORK_STEALING,3013.834,24375.333,8.088
Beta,CDF,500000,WORK_STEALING,3734.125,30425.125,8.148
Beta,LogPDF,64,VECTORIZED,0.583,1.458,2.501
Beta,LogPDF,128,VECTORIZED,1.042,2.958,2.839
Beta,LogPDF,256,WORK_STEALING,2.083,5.958,2.86
Beta,LogPDF,512,WORK_STEALING,4.291,11.875,2.767
Beta,LogPDF,1024,PARALLEL,8.542,24.042,2.815
Beta,LogPDF,2048,VECTORIZED,16.709,47.833,2.863
Beta,LogPDF,4096,VECTORIZED,34.333,96.083,2.799
Beta,LogPDF,6144,WORK_STEALING,55.375,143.625,2.594
Beta,LogPDF,8192,WORK_STEALING,75.0,193.084,2.574
Beta,LogPDF,10000,WORK_STEALING,90.334,235.833,2.611
Beta,LogPDF,25000,VECTORIZED,227.25,586.25,2.58
Beta,LogPDF,50000,VECTORIZED,457.166,1172.709,2.565
Beta,LogPDF,75000,VECTORIZED,682.959,1763.125,2.582
Beta,LogPDF,100000,VECTORIZED,919.833,2354.292,2.559
Beta,LogPDF,150000,VECTORIZED,1379.541,3523.375,2.554
Beta,LogPDF,200000,VECTORIZED,1839.834,4699.5,2.554
Beta,LogPDF,250000,VECTORIZED,2325.917,5876.625,2.527
Beta,LogPDF,300000,WORK_STEALING,2795.25,7057.208,2.525
Beta,LogPDF,400000,PARALLEL,3723.916,9375.084,2.518
Beta,LogPDF,500000,WORK_STEALING,4635.583,11688.209,2.521
Beta,PDF,64,VECTORIZED,0.667,1.709,2.562
Beta,PDF,128,VECTORIZED,1.208,3.666,3.035
Beta,PDF,256,VECTORIZED,2.375,7.333,3.088
Beta,PDF,512,PARALLEL,4.958,14.75,2.975
Beta,PDF,1024,VECTORIZED,9.917,30.541,3.08
Beta,PDF,2048,VECTORIZED,19.292,62.709,3.251
Beta,PDF,4096,VECTORIZED,40.0,126.25,3.156
Beta,PDF,6144,WORK_STEALING,65.458,187.916,2.871
Beta,PDF,8192,WORK_STEALING,88.625,250.125,2.822
Beta,PDF,10000,VECTORIZED,106.916,308.625,2.887
Beta,PDF,25000,VECTORIZED,273.792,770.541,2.814
Beta,PDF,50000,VECTORIZED,549.542,1541.041,2.804
Beta,PDF,75000,VECTORIZED,820.166,2319.5,2.828
Beta,PDF,100000,VECTORIZED,1105.167,3107.625,2.812
Beta,PDF,150000,PARALLEL,1698.791,4720.917,2.779
Beta,PDF,200000,VECTORIZED,2204.375,6163.917,2.796
Beta,PDF,250000,VECTORIZED,2784.584,7733.25,2.777
Beta,PDF,300000,WORK_STEALING,3350.792,9302.0,2.776
Beta,PDF,400000,WORK_STEALING,4472.875,12394.291,2.771
Beta,PDF,500000,PARALLEL,5548.709,15371.458,2.77
Binomial,CDF,64,WORK_STEALING,8.291,8.375,1.01
Binomial,CDF,128,PARALLEL,16.709,16.792,1.005
Binomial,CDF,256,WORK_STEALING,33.417,33.459,1.001
Binomial,CDF,512,WORK_STEALING,66.458,67.709,1.019
