distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,128,256,WORK_STEALING,3507.042,500000
Beta,LogPDF,64,256,512,PARALLEL,4710.959,500000
Beta,PDF,64,128,128,PARALLEL,5652.875,500000
Binomial,CDF,256,64,512,SCALAR,67070.833,500000
Binomial,LogPDF,64,,128,VECTORIZED,11022.125,500000
Binomial,PDF,64,,64,VECTORIZED,12540.125,500000
ChiSquared,CDF,64,64,1024,WORK_STEALING,4145.166,500000
ChiSquared,LogPDF,64,64,2048,WORK_STEALING,501.75,500000
ChiSquared,PDF,64,4096,1024,PARALLEL,894.583,500000
Discrete,CDF,64,,256,VECTORIZED,275.0,500000
Discrete,LogPDF,64,50000,512,PARALLEL,242.0,500000
Discrete,PDF,64,50000,2048,PARALLEL,194.708,500000
Exponential,CDF,64,10000,1024,WORK_STEALING,426.583,500000
Exponential,LogPDF,64,64,1024,PARALLEL,123.375,500000
Exponential,PDF,64,25000,256,WORK_STEALING,402.792,500000
Gamma,CDF,64,64,512,PARALLEL,3808.667,500000
Gamma,LogPDF,64,64,256,PARALLEL,576.5,500000
Gamma,PDF,64,8192,2048,PARALLEL,886.416,500000
Gaussian,CDF,64,,256,VECTORIZED,1027.5,500000
Gaussian,LogPDF,64,64,2048,PARALLEL,122.833,500000
Gaussian,PDF,64,25000,2048,WORK_STEALING,417.334,500000
LogNormal,CDF,64,,1024,VECTORIZED,2219.666,500000
LogNormal,LogPDF,64,64,2048,PARALLEL,676.667,500000
LogNormal,PDF,64,25000,64,PARALLEL,1067.458,500000
NegBinomial,CDF,128,256,64,SCALAR,48872.5,500000
NegBinomial,LogPDF,64,,128,VECTORIZED,14055.209,500000
NegBinomial,PDF,64,,128,VECTORIZED,14184.667,500000
Pareto,CDF,64,8192,512,PARALLEL,1224.458,500000
Pareto,LogPDF,64,25000,1024,PARALLEL,724.458,500000
Pareto,PDF,64,25000,64,PARALLEL,1499.25,500000
Poisson,CDF,128,256,128,WORK_STEALING,4298.625,500000
Poisson,LogPDF,64,256,1024,WORK_STEALING,823.917,500000
Poisson,PDF,64,512,256,WORK_STEALING,1248.083,500000
Rayleigh,CDF,64,10000,1024,WORK_STEALING,561.5,500000
Rayleigh,LogPDF,64,64,256,PARALLEL,895.916,500000
Rayleigh,PDF,64,6144,1024,WORK_STEALING,1193.875,500000
StudentT,CDF,64,256,1024,WORK_STEALING,8514.0,500000
StudentT,LogPDF,64,25000,512,PARALLEL,751.417,500000
StudentT,PDF,64,25000,256,PARALLEL,1012.083,500000
Uniform,CDF,64,64,256,PARALLEL,558.333,500000
Uniform,LogPDF,64,,1024,VECTORIZED,89.75,500000
Uniform,PDF,64,,1024,VECTORIZED,90.792,500000
VonMises,CDF,64,128,256,PARALLEL,504937.708,500000
VonMises,LogPDF,64,150000,256,PARALLEL,1027.0,500000
VonMises,PDF,64,100000,128,PARALLEL,1537.542,500000
Weibull,CDF,64,25000,512,WORK_STEALING,1977.041,500000
Weibull,LogPDF,64,8192,128,PARALLEL,1738.792,500000
Weibull,PDF,64,8192,64,PARALLEL,2038.667,500000
