distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,3.791,7.98,2.105
Beta,CDF,128,VECTORIZED,8.045,16.797,2.088
Beta,CDF,256,VECTORIZED,14.277,30.394,2.129
Beta,CDF,512,VECTORIZED,31.021,65.041,2.097
Beta,CDF,1024,PARALLEL,61.595,202.025,3.28
Beta,CDF,2048,PARALLEL,128.555,279.087,2.171
Beta,CDF,4096,WORK_STEALING,93.298,564.788,6.054
Beta,CDF,6144,WORK_STEALING,154.292,903.655,5.857
Beta,CDF,8192,WORK_STEALING,208.351,1117.281,5.362
Beta,CDF,10000,WORK_STEALING,196.385,1334.136,6.793
Beta,CDF,25000,WORK_STEALING,460.854,3473.97,7.538
Beta,CDF,50000,WORK_STEALING,737.61,6762.817,9.169
Beta,CDF,75000,WORK_STEALING,1045.287,10523.102,10.067
Beta,CDF,100000,WORK_STEALING,1583.123,14231.309,8.989
Beta,CDF,150000,WORK_STEALING,1974.978,23892.866,12.098
Beta,CDF,200000,WORK_STEALING,3454.666,29937.542,8.666
Beta,CDF,250000,WORK_STEALING,3708.438,35324.743,9.526
Beta,CDF,300000,WORK_STEALING,4337.17,42320.939,9.758
Beta,CDF,400000,WORK_STEALING,5963.184,55983.712,9.388
Beta,CDF,500000,WORK_STEALING,7498.245,70916.121,9.458
Beta,CDF,750000,WORK_STEALING,11262.602,102360.748,9.089
Beta,CDF,1000000,WORK_STEALING,14552.51,139976.783,9.619
Beta,CDF,1500000,WORK_STEALING,23484.369,209978.53,8.941
Beta,CDF,2000000,WORK_STEALING,31174.153,283223.017,9.085
Beta,LogPDF,64,VECTORIZED,1.381,3.624,2.624
Beta,LogPDF,128,VECTORIZED,2.11,7.216,3.42
Beta,LogPDF,256,VECTORIZED,4.855,14.223,2.93
Beta,LogPDF,512,VECTORIZED,7.849,29.919,3.812
Beta,LogPDF,1024,PARALLEL,16.387,57.419,3.504
Beta,LogPDF,2048,WORK_STEALING,31.683,117.334,3.703
Beta,LogPDF,4096,VECTORIZED,71.736,269.053,3.751
Beta,LogPDF,6144,VECTORIZED,108.455,349.526,3.223
Beta,LogPDF,8192,WORK_STEALING,132.599,497.046,3.748
Beta,LogPDF,10000,PARALLEL,163.964,669.119,4.081
