distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,1024,128,WORK_STEALING,31174.153,2000000
Beta,LogPDF,64,1024,512,WORK_STEALING,37335.568,2000000
Beta,PDF,64,256,1024,PARALLEL,40239.519,2000000
Binomial,CDF,64,64,512,SCALAR,524614.733,2000000
Binomial,LogPDF,64,,256,VECTORIZED,90924.423,2000000
Binomial,PDF,64,,128,VECTORIZED,114681.113,2000000
Cauchy,CDF,128,64,128,WORK_STEALING,69972.762,2000000
Cauchy,LogPDF,64,75000,1024,WORK_STEALING,13997.065,2000000
Cauchy,PDF,64,75000,256,WORK_STEALING,21351.745,2000000
ChiSquared,CDF,64,64,128,WORK_STEALING,28786.853,2000000
ChiSquared,LogPDF,64,128,512,WORK_STEALING,9534.467,2000000
ChiSquared,PDF,64,256,4096,WORK_STEALING,13536.57,2000000
Discrete,CDF,64,1024,256,WORK_STEALING,2079.211,2000000
Discrete,LogPDF,64,50000,128,WORK_STEALING,1960.317,2000000
Discrete,PDF,64,50000,64,WORK_STEALING,1753.728,2000000
Exponential,CDF,64,25000,256,WORK_STEALING,3910.379,2000000
Exponential,LogPDF,64,64,512,PARALLEL,1814.381,2000000
Exponential,PDF,64,25000,1024,WORK_STEALING,3878.7,2000000
Gamma,CDF,64,64,512,WORK_STEALING,31505.597,2000000
Gamma,LogPDF,64,512,10000,WORK_STEALING,9393.853,2000000
Gamma,PDF,64,1024,1024,PARALLEL,13354.418,2000000
Gaussian,CDF,64,8192,128,WORK_STEALING,15299.961,2000000
Gaussian,LogPDF,64,64,4096,PARALLEL,1676.671,2000000
Gaussian,PDF,64,50000,2048,WORK_STEALING,3914.766,2000000
Geometric,CDF,64,512,64,SCALAR,263453.268,2000000
Geometric,LogPDF,64,,128,VECTORIZED,65026.02,2000000
Geometric,PDF,64,,2048,VECTORIZED,79896.498,2000000
Laplace,CDF,64,256,256,WORK_STEALING,5766.011,2000000
Laplace,LogPDF,64,64,4096,WORK_STEALING,1842.521,2000000
Laplace,PDF,64,64,512,WORK_STEALING,4203.068,2000000
LogNormal,CDF,64,64,1024,WORK_STEALING,32462.679,2000000
LogNormal,LogPDF,64,64,2048,WORK_STEALING,4795.277,2000000
LogNormal,PDF,64,25000,1024,WORK_STEALING,9406.854,2000000
NegBinomial,CDF,64,64,128,VECTORIZED,406247.076,2000000
NegBinomial,LogPDF,64,,128,VECTORIZED,78673.133,2000000
NegBinomial,PDF,64,,512,VECTORIZED,101448.482,2000000
Pareto,CDF,64,75000,64,WORK_STEALING,10890.736,2000000
Pareto,LogPDF,64,10000,1024,WORK_STEALING,4928.545,2000000
Pareto,PDF,64,25000,2048,WORK_STEALING,8649.231,2000000
Poisson,CDF,64,256,64,WORK_STEALING,34946.712,2000000
Poisson,LogPDF,64,64,64,WORK_STEALING,7684.052,2000000
Poisson,PDF,64,128,256,WORK_STEALING,13533.778,2000000
Rayleigh,CDF,64,25000,256,WORK_STEALING,5053.451,2000000
Rayleigh,LogPDF,64,64,256,WORK_STEALING,4922.473,2000000
Rayleigh,PDF,64,25000,1024,WORK_STEALING,10745.155,2000000
StudentT,CDF,64,64,128,WORK_STEALING,63042.496,2000000
StudentT,LogPDF,64,25000,256,WORK_STEALING,6397.794,2000000
StudentT,PDF,64,4096,64,WORK_STEALING,9825.955,2000000
Uniform,CDF,64,64,256,WORK_STEALING,2993.281,2000000
Uniform,LogPDF,64,64,64,VECTORIZED,2036.547,2000000
Uniform,PDF,64,256,256,VECTORIZED,2789.569,2000000
VonMises,CDF,50000,64,64,WORK_STEALING,5601639.805,2000000
VonMises,LogPDF,64,400000,64,WORK_STEALING,6647.758,2000000
VonMises,PDF,64,200000,512,WORK_STEALING,10692.498,2000000
Weibull,CDF,64,50000,128,WORK_STEALING,14842.853,2000000
Weibull,LogPDF,64,10000,2048,WORK_STEALING,8940.202,2000000
Weibull,PDF,64,50000,512,WORK_STEALING,14548.015,2000000
