Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,64,SCALAR,6.422000
Uniform,PDF,64,VECTORIZED,0.350000
Uniform,PDF,64,PARALLEL,0.385000
Uniform,PDF,64,WORK_STEALING,0.406000
Uniform,LogPDF,64,SCALAR,7.780000
Uniform,LogPDF,64,VECTORIZED,0.351000
Uniform,LogPDF,64,PARALLEL,0.241000
Uniform,LogPDF,64,WORK_STEALING,0.238000
Uniform,CDF,64,SCALAR,5.377000
Uniform,CDF,64,VECTORIZED,0.444000
Uniform,CDF,64,PARALLEL,0.399000
Uniform,CDF,64,WORK_STEALING,0.460000
Uniform,PDF,128,SCALAR,12.489000
Uniform,PDF,128,VECTORIZED,0.257000
Uniform,PDF,128,PARALLEL,0.260000
Uniform,PDF,128,WORK_STEALING,0.273000
Uniform,LogPDF,128,SCALAR,12.874000
Uniform,LogPDF,128,VECTORIZED,0.507000
Uniform,LogPDF,128,PARALLEL,0.520000
Uniform,LogPDF,128,WORK_STEALING,0.527000
Uniform,CDF,128,SCALAR,15.539000
Uniform,CDF,128,VECTORIZED,0.875000
Uniform,CDF,128,PARALLEL,0.629000
Uniform,CDF,128,WORK_STEALING,0.675000
Uniform,PDF,256,SCALAR,31.134000
Uniform,PDF,256,VECTORIZED,0.588000
Uniform,PDF,256,PARALLEL,0.569000
Uniform,PDF,256,WORK_STEALING,0.453000
Uniform,LogPDF,256,SCALAR,31.851000
Uniform,LogPDF,256,VECTORIZED,0.524000
Uniform,LogPDF,256,PARALLEL,0.495000
Uniform,LogPDF,256,WORK_STEALING,0.532000
Uniform,CDF,256,SCALAR,26.497000
Uniform,CDF,256,VECTORIZED,0.978000
Uniform,CDF,256,PARALLEL,1.001000
Uniform,CDF,256,WORK_STEALING,0.830000
Uniform,PDF,512,SCALAR,42.703000
Uniform,PDF,512,VECTORIZED,0.673000
Uniform,PDF,512,PARALLEL,0.574000
Uniform,PDF,512,WORK_STEALING,0.567000
Uniform,LogPDF,512,SCALAR,42.847000
Uniform,LogPDF,512,VECTORIZED,0.726000
Uniform,LogPDF,512,PARALLEL,0.678000
Uniform,LogPDF,512,WORK_STEALING,0.750000
Uniform,CDF,512,SCALAR,41.955000
Uniform,CDF,512,VECTORIZED,1.246000
Uniform,CDF,512,PARALLEL,1.393000
Uniform,CDF,512,WORK_STEALING,1.159000
Uniform,PDF,1024,SCALAR,82.318000
Uniform,PDF,1024,VECTORIZED,0.954000
Uniform,PDF,1024,PARALLEL,0.844000
Uniform,PDF,1024,WORK_STEALING,0.945000
Uniform,LogPDF,1024,SCALAR,85.820000
Uniform,LogPDF,1024,VECTORIZED,1.265000
Uniform,LogPDF,1024,PARALLEL,0.946000
Uniform,LogPDF,1024,WORK_STEALING,1.101000
Uniform,CDF,1024,SCALAR,78.023000
Uniform,CDF,1024,VECTORIZED,2.081000
Uniform,CDF,1024,PARALLEL,3.005000
Uniform,CDF,1024,WORK_STEALING,2.053000
Uniform,PDF,2048,SCALAR,152.776000
Uniform,PDF,2048,VECTORIZED,1.584000
Uniform,PDF,2048,PARALLEL,3.774000
Uniform,PDF,2048,WORK_STEALING,1.647000
Uniform,LogPDF,2048,SCALAR,152.348000
Uniform,LogPDF,2048,VECTORIZED,1.527000
Uniform,LogPDF,2048,PARALLEL,5.933000
Uniform,LogPDF,2048,WORK_STEALING,1.579000
Uniform,CDF,2048,SCALAR,137.830000
Uniform,CDF,2048,VECTORIZED,4.169000
Uniform,CDF,2048,PARALLEL,7.935000
Uniform,CDF,2048,WORK_STEALING,3.087000
Uniform,PDF,4096,SCALAR,237.889000
Uniform,PDF,4096,VECTORIZED,2.501000
Uniform,PDF,4096,PARALLEL,62.658000
Uniform,PDF,4096,WORK_STEALING,18.984000
Uniform,LogPDF,4096,SCALAR,229.203000
Uniform,LogPDF,4096,VECTORIZED,1.560000
Uniform,LogPDF,4096,PARALLEL,44.468000
