distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,2.4,7.1,2.958
Beta,CDF,128,VECTORIZED,4.3,13.3,3.093
Beta,CDF,256,VECTORIZED,8.1,25.0,3.086
Beta,CDF,512,VECTORIZED,16.1,50.8,3.155
Beta,CDF,1024,VECTORIZED,31.2,101.1,3.24
Beta,CDF,2048,VECTORIZED,63.4,205.8,3.246
Beta,CDF,4096,VECTORIZED,124.9,409.1,3.275
Beta,CDF,6144,VECTORIZED,190.5,697.6,3.662
Beta,CDF,8192,WORK_STEALING,82.3,848.1,10.305
Beta,CDF,10000,PARALLEL,111.2,1016.5,9.141
Beta,CDF,25000,PARALLEL,199.5,2614.0,13.103
Beta,CDF,50000,WORK_STEALING,489.5,5197.4,10.618
Beta,CDF,75000,PARALLEL,615.4,7785.7,12.651
Beta,CDF,100000,WORK_STEALING,745.9,10524.2,14.109
Beta,CDF,150000,PARALLEL,1330.1,16347.8,12.291
Beta,CDF,200000,WORK_STEALING,1487.7,21402.6,14.386
Beta,CDF,250000,PARALLEL,1845.9,26878.0,14.561
Beta,CDF,300000,PARALLEL,2281.4,31520.9,13.816
Beta,CDF,400000,WORK_STEALING,2950.4,42131.7,14.28
Beta,CDF,500000,PARALLEL,3861.6,53299.5,13.802
Beta,CDF,750000,PARALLEL,5537.0,80119.3,14.47
Beta,CDF,1000000,WORK_STEALING,7548.5,105903.9,14.03
Beta,CDF,1500000,PARALLEL,11106.9,159832.1,14.39
Beta,CDF,2000000,PARALLEL,16544.7,213611.2,12.911
Beta,LogPDF,64,VECTORIZED,0.4,0.8,2.0
Beta,LogPDF,128,VECTORIZED,0.6,1.4,2.333
Beta,LogPDF,256,VECTORIZED,1.1,2.7,2.455
Beta,LogPDF,512,VECTORIZED,1.9,5.5,2.895
Beta,LogPDF,1024,VECTORIZED,3.4,10.9,3.206
Beta,LogPDF,2048,VECTORIZED,6.9,21.7,3.145
Beta,LogPDF,4096,VECTORIZED,14.0,43.5,3.107
Beta,LogPDF,6144,WORK_STEALING,21.3,65.3,3.066
Beta,LogPDF,8192,PARALLEL,33.3,87.4,2.625
Beta,LogPDF,10000,WORK_STEALING,33.7,106.4,3.157
Beta,LogPDF,25000,PARALLEL,84.6,304.7,3.602
Beta,LogPDF,50000,WORK_STEALING,170.0,614.5,3.615
Beta,LogPDF,75000,PARALLEL,344.7,948.9,2.753
Beta,LogPDF,100000,WORK_STEALING,473.9,1258.0,2.655
Beta,LogPDF,150000,WORK_STEALING,742.7,2013.4,2.711
Beta,LogPDF,200000,WORK_STEALING,987.9,2564.4,2.596
Beta,LogPDF,250000,PARALLEL,1330.2,3155.2,2.372
Beta,LogPDF,300000,PARALLEL,1543.2,3803.5,2.465
Beta,LogPDF,400000,WORK_STEALING,2014.0,5164.4,2.564
Beta,LogPDF,500000,WORK_STEALING,2687.7,6465.4,2.406
Beta,LogPDF,750000,WORK_STEALING,4208.4,9940.1,2.362
Beta,LogPDF,1000000,PARALLEL,5646.8,13056.2,2.312
Beta,LogPDF,1500000,PARALLEL,8475.7,19573.6,2.309
Beta,LogPDF,2000000,WORK_STEALING,11436.0,26265.1,2.297
Beta,PDF,64,VECTORIZED,0.4,1.1,2.75
Beta,PDF,128,VECTORIZED,0.7,2.1,3.0
Beta,PDF,256,VECTORIZED,1.3,4.0,3.077
Beta,PDF,512,VECTORIZED,2.2,8.0,3.636
