distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,8192,256,PARALLEL,16544.7,2000000
Beta,LogPDF,64,6144,6144,WORK_STEALING,11436.0,2000000
Beta,PDF,64,2048,6144,PARALLEL,12455.8,2000000
Binomial,CDF,4096,128,64,PARALLEL,127375.3,2000000
Binomial,LogPDF,64,6144,128,WORK_STEALING,157349.1,2000000
Binomial,PDF,64,64,64,WORK_STEALING,160591.1,2000000
Cauchy,CDF,64,512,4096,VECTORIZED,238787.6,2000000
Cauchy,LogPDF,64,250000,4096,WORK_STEALING,6922.8,2000000
Cauchy,PDF,64,2000000,64,PARALLEL,9327.5,2000000
ChiSquared,CDF,64,64,128,PARALLEL,20742.2,2000000
ChiSquared,LogPDF,64,2048,2048,PARALLEL,3099.4,2000000
ChiSquared,PDF,64,512,512,PARALLEL,5030.4,2000000
Discrete,CDF,64,128,128,WORK_STEALING,1211.1,2000000
Discrete,LogPDF,64,150000,1024,WORK_STEALING,937.9,2000000
Discrete,PDF,64,128,128,PARALLEL,994.9,2000000
Exponential,CDF,64,250000,6144,PARALLEL,1663.3,2000000
Exponential,LogPDF,64,250000,250000,WORK_STEALING,819.4,2000000
Exponential,PDF,64,100000,512,PARALLEL,1599.6,2000000
Gamma,CDF,64,64,512,PARALLEL,19412.7,2000000
Gamma,LogPDF,64,64,512,PARALLEL,3001.4,2000000
Gamma,PDF,64,1024,64,PARALLEL,4689.8,2000000
Gaussian,CDF,64,25000,1024,PARALLEL,3126.1,2000000
Gaussian,LogPDF,64,400000,10000,WORK_STEALING,820.8,2000000
Gaussian,PDF,64,750000,128,PARALLEL,1878.2,2000000
Geometric,CDF,64,64,64,WORK_STEALING,170507.2,2000000
Geometric,LogPDF,64,,2048,VECTORIZED,94739.6,2000000
Geometric,PDF,64,1024,1024,VECTORIZED,111031.9,2000000
Laplace,CDF,64,128,128,PARALLEL,3097.3,2000000
Laplace,LogPDF,64,64,10000,WORK_STEALING,794.1,2000000
Laplace,PDF,64,64,256,WORK_STEALING,1922.7,2000000
LogNormal,CDF,64,128,1024,PARALLEL,12721.0,2000000
LogNormal,LogPDF,64,100000,64,WORK_STEALING,2602.5,2000000
LogNormal,PDF,64,150000,2048,PARALLEL,4439.5,2000000
NegBinomial,CDF,128,64,1024,WORK_STEALING,148121.4,2000000
NegBinomial,LogPDF,64,250000,64,VECTORIZED,132225.2,2000000
NegBinomial,PDF,64,256,8192,VECTORIZED,141563.0,2000000
Pareto,CDF,64,2000000,2048,WORK_STEALING,5753.6,2000000
Pareto,LogPDF,64,1000000,64,WORK_STEALING,2352.8,2000000
Pareto,PDF,64,1500000,128,WORK_STEALING,3961.2,2000000
Poisson,CDF,2048,128,128,PARALLEL,22696.0,2000000
Poisson,LogPDF,64,64,64,PARALLEL,3584.4,2000000
Poisson,PDF,64,64,6144,PARALLEL,6447.0,2000000
Rayleigh,CDF,64,250000,4096,WORK_STEALING,1843.5,2000000
Rayleigh,LogPDF,64,100000,64,PARALLEL,2423.1,2000000
Rayleigh,PDF,64,100000,256,PARALLEL,4491.7,2000000
StudentT,CDF,64,64,64,PARALLEL,265316.8,2000000
StudentT,LogPDF,64,2000000,64,PARALLEL,3714.5,2000000
StudentT,PDF,64,2000000,256,PARALLEL,5372.8,2000000
Uniform,CDF,64,64,1024,PARALLEL,1911.0,2000000
Uniform,LogPDF,64,50000,512,WORK_STEALING,1693.9,2000000
Uniform,PDF,64,256,1024,PARALLEL,1814.8,2000000
VonMises,CDF,64,128,64,WORK_STEALING,2013224.7,2000000
VonMises,LogPDF,64,25000,128,PARALLEL,3264.3,2000000
VonMises,PDF,64,25000,256,WORK_STEALING,4766.1,2000000
Weibull,CDF,64,750000,6144,PARALLEL,6435.4,2000000
Weibull,LogPDF,64,100000,128,WORK_STEALING,4432.8,2000000
Weibull,PDF,64,150000,1024,PARALLEL,6417.2,2000000
