distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,2048,64,PARALLEL,13532.625,2000000
Beta,LogPDF,64,256,2048,VECTORIZED,19820.25,2000000
Beta,PDF,64,256,2048,VECTORIZED,23677.167,2000000
Binomial,CDF,128,64,256,SCALAR,275425.333,2000000
Binomial,LogPDF,64,,64,VECTORIZED,44788.583,2000000
Binomial,PDF,64,,64,VECTORIZED,52192.75,2000000
Cauchy,CDF,64,64,2048,WORK_STEALING,32080.917,2000000
Cauchy,LogPDF,64,25000,2048,PARALLEL,4692.458,2000000
Cauchy,PDF,64,25000,2048,WORK_STEALING,6295.75,2000000
ChiSquared,CDF,64,64,2048,WORK_STEALING,17692.542,2000000
ChiSquared,LogPDF,64,64,256,WORK_STEALING,1638.25,2000000
ChiSquared,PDF,64,256,2048,WORK_STEALING,2148.708,2000000
Discrete,CDF,64,1000000,64,WORK_STEALING,920.5,2000000
Discrete,LogPDF,64,50000,1024,PARALLEL,757.792,2000000
Discrete,PDF,64,25000,2048,WORK_STEALING,570.209,2000000
Exponential,CDF,64,25000,1024,WORK_STEALING,1377.875,2000000
Exponential,LogPDF,64,64,1024,WORK_STEALING,486.459,2000000
Exponential,PDF,64,8192,1024,PARALLEL,1401.125,2000000
Gamma,CDF,64,64,64,WORK_STEALING,16432.167,2000000
Gamma,LogPDF,64,256,4096,PARALLEL,1483.167,2000000
Gamma,PDF,64,512,256,WORK_STEALING,2057.042,2000000
Gaussian,CDF,64,,2048,VECTORIZED,4310.333,2000000
Gaussian,LogPDF,64,64,2048,WORK_STEALING,513.875,2000000
Gaussian,PDF,64,50000,1024,PARALLEL,1327.0,2000000
Geometric,CDF,64,256,512,SCALAR,106365.292,2000000
Geometric,LogPDF,64,,256,VECTORIZED,42249.5,2000000
Geometric,PDF,64,,128,VECTORIZED,46608.083,2000000
Laplace,CDF,64,256,256,PARALLEL,3155.416,2000000
Laplace,LogPDF,64,64,2048,WORK_STEALING,547.917,2000000
Laplace,PDF,64,6144,1024,WORK_STEALING,1436.833,2000000
LogNormal,CDF,64,256,512,WORK_STEALING,2191.166,2000000
LogNormal,LogPDF,64,64,512,PARALLEL,2044.292,2000000
LogNormal,PDF,64,10000,2048,WORK_STEALING,3406.166,2000000
NegBinomial,CDF,512,256,256,VECTORIZED,200264.875,2000000
NegBinomial,LogPDF,64,,1024,VECTORIZED,58133.333,2000000
NegBinomial,PDF,64,,256,VECTORIZED,58065.417,2000000
Pareto,CDF,64,50000,256,PARALLEL,3925.792,2000000
Pareto,LogPDF,64,50000,2048,WORK_STEALING,2656.958,2000000
Pareto,PDF,64,50000,64,PARALLEL,4919.292,2000000
Poisson,CDF,64,256,128,WORK_STEALING,16923.875,2000000
Poisson,LogPDF,64,128,1024,WORK_STEALING,2891.708,2000000
Poisson,PDF,64,4096,1024,WORK_STEALING,4527.75,2000000
Rayleigh,CDF,64,10000,64,PARALLEL,1345.5,2000000
Rayleigh,LogPDF,64,25000,512,WORK_STEALING,2427.75,2000000
Rayleigh,PDF,64,6144,256,WORK_STEALING,3591.208,2000000
StudentT,CDF,64,64,256,WORK_STEALING,36960.166,2000000
StudentT,LogPDF,64,25000,64,PARALLEL,2851.792,2000000
StudentT,PDF,64,10000,256,WORK_STEALING,4698.417,2000000
Uniform,CDF,64,64,64,WORK_STEALING,1554.0,2000000
Uniform,LogPDF,64,1024,1024,VECTORIZED,667.083,2000000
Uniform,PDF,64,,1024,VECTORIZED,688.625,2000000
VonMises,CDF,512,64,64,PARALLEL,2001994.167,2000000
VonMises,LogPDF,64,400000,128,WORK_STEALING,3341.583,2000000
VonMises,PDF,64,25000,64,WORK_STEALING,4982.458,2000000
Weibull,CDF,64,50000,2048,PARALLEL,7494.792,2000000
Weibull,LogPDF,64,25000,256,PARALLEL,6496.958,2000000
Weibull,PDF,64,25000,128,PARALLEL,7114.334,2000000
