distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,64,VECTORIZED,1.625,4.042,2.487
Beta,CDF,128,WORK_STEALING,3.542,8.042,2.27
Beta,CDF,256,VECTORIZED,7.875,17.792,2.259
Beta,CDF,512,VECTORIZED,13.5,31.0,2.296
Beta,CDF,1024,VECTORIZED,27.583,61.75,2.239
Beta,CDF,2048,WORK_STEALING,30.959,150.083,4.848
Beta,CDF,4096,WORK_STEALING,55.875,254.584,4.556
Beta,CDF,6144,WORK_STEALING,82.917,433.792,5.232
Beta,CDF,8192,WORK_STEALING,95.5,500.042,5.236
Beta,CDF,10000,WORK_STEALING,113.875,614.125,5.393
Beta,CDF,25000,PARALLEL,275.334,1546.333,5.616
Beta,CDF,50000,PARALLEL,468.958,3075.542,6.558
Beta,CDF,75000,WORK_STEALING,716.333,4625.083,6.457
Beta,CDF,100000,PARALLEL,693.5,6412.042,9.246
Beta,CDF,150000,PARALLEL,1311.583,9648.875,7.357
Beta,CDF,200000,WORK_STEALING,1670.625,12247.042,7.331
Beta,CDF,250000,WORK_STEALING,1688.167,15586.75,9.233
Beta,CDF,300000,PARALLEL,2299.667,21503.625,9.351
Beta,CDF,400000,PARALLEL,2738.708,25017.542,9.135
Beta,CDF,500000,PARALLEL,3367.583,32038.0,9.514
Beta,CDF,750000,PARALLEL,5158.584,48122.916,9.329
Beta,CDF,1000000,WORK_STEALING,6461.166,64127.417,9.925
Beta,CDF,1500000,WORK_STEALING,10119.5,100889.083,9.97
Beta,CDF,2000000,WORK_STEALING,14220.666,129624.833,9.115
Beta,LogPDF,64,PARALLEL,0.75,1.833,2.444
Beta,LogPDF,128,VECTORIZED,1.0,2.958,2.958
Beta,LogPDF,256,PARALLEL,3.0,8.417,2.806
Beta,LogPDF,512,PARALLEL,4.792,14.833,3.095
Beta,LogPDF,1024,WORK_STEALING,8.5,23.792,2.799
Beta,LogPDF,2048,VECTORIZED,17.167,48.667,2.835
Beta,LogPDF,4096,PARALLEL,34.791,96.083,2.762
Beta,LogPDF,6144,WORK_STEALING,53.75,144.583,2.69
Beta,LogPDF,8192,PARALLEL,75.125,190.041,2.53
Beta,LogPDF,10000,VECTORIZED,90.125,231.708,2.571
Beta,LogPDF,25000,VECTORIZED,229.334,585.75,2.554
Beta,LogPDF,50000,VECTORIZED,459.958,1159.292,2.52
Beta,LogPDF,75000,VECTORIZED,690.916,1775.917,2.57
Beta,LogPDF,100000,VECTORIZED,913.792,2376.375,2.601
Beta,LogPDF,150000,VECTORIZED,1377.0,3563.708,2.588
Beta,LogPDF,200000,VECTORIZED,1866.959,4967.875,2.661
Beta,LogPDF,250000,VECTORIZED,2337.375,6175.584,2.642
Beta,LogPDF,300000,PARALLEL,2788.709,7443.625,2.669
Beta,LogPDF,400000,WORK_STEALING,3809.833,10075.333,2.645
Beta,LogPDF,500000,WORK_STEALING,4903.584,14844.833,3.027
Beta,LogPDF,750000,PARALLEL,7029.291,18411.416,2.619
Beta,LogPDF,1000000,WORK_STEALING,9361.875,24910.417,2.661
Beta,LogPDF,1500000,WORK_STEALING,14625.333,36800.166,2.516
Beta,LogPDF,2000000,VECTORIZED,19856.75,47016.334,2.368
Beta,PDF,64,PARALLEL,0.875,2.042,2.334
Beta,PDF,128,PARALLEL,1.208,3.542,2.932
Beta,PDF,256,VECTORIZED,2.667,7.333,2.75
Beta,PDF,512,WORK_STEALING,5.834,19.333,3.314
Beta,PDF,1024,PARALLEL,9.667,30.542,3.159
Beta,PDF,2048,VECTORIZED,19.416,63.583,3.275
Beta,PDF,4096,WORK_STEALING,40.167,126.375,3.146
Beta,PDF,6144,WORK_STEALING,62.667,190.041,3.033
Beta,PDF,8192,WORK_STEALING,87.125,255.625,2.934
Beta,PDF,10000,WORK_STEALING,104.209,305.084,2.928
Beta,PDF,25000,VECTORIZED,274.875,762.959,2.776
Beta,PDF,50000,VECTORIZED,544.042,1530.083,2.812
Beta,PDF,75000,VECTORIZED,821.042,2314.75,2.819
Beta,PDF,100000,WORK_STEALING,1111.209,4012.5,3.611
Beta,PDF,150000,WORK_STEALING,1655.667,4960.416,2.996
Beta,PDF,200000,PARALLEL,2305.709,6496.041,2.817
Beta,PDF,250000,WORK_STEALING,2861.167,8057.042,2.816
Beta,PDF,300000,WORK_STEALING,3410.417,9661.334,2.833
Beta,PDF,400000,PARALLEL,4465.375,12843.333,2.876
Beta,PDF,500000,PARALLEL,5607.916,16300.834,2.907
Beta,PDF,750000,WORK_STEALING,8715.542,24306.292,2.789
Beta,PDF,1000000,WORK_STEALING,11284.5,33634.958,2.981
Beta,PDF,1500000,PARALLEL,17405.667,48737.208,2.8
Beta,PDF,2000000,VECTORIZED,25455.166,64849.084,2.548
Binomial,CDF,64,WORK_STEALING,8.208,8.292,1.01
Binomial,CDF,128,PARALLEL,16.583,16.625,1.003
Binomial,CDF,256,WORK_STEALING,33.583,34.25,1.02
Binomial,CDF,512,VECTORIZED,66.75,68.542,1.027
Binomial,CDF,1024,WORK_STEALING,134.25,136.5,1.017
Binomial,CDF,2048,SCALAR,268.125,268.125,1.0
Binomial,CDF,4096,VECTORIZED,536.458,539.125,1.005
Binomial,CDF,6144,SCALAR,818.375,818.375,1.0
Binomial,CDF,8192,SCALAR,1075.792,1075.792,1.0
Binomial,CDF,10000,SCALAR,1605.542,1605.542,1.0
Binomial,CDF,25000,VECTORIZED,3286.083,3288.958,1.001
Binomial,CDF,50000,SCALAR,6884.167,6884.167,1.0
Binomial,CDF,75000,SCALAR,10260.875,10260.875,1.0
Binomial,CDF,100000,SCALAR,13531.208,13531.208,1.0
Binomial,CDF,150000,VECTORIZED,20009.708,20606.5,1.03
Binomial,CDF,200000,SCALAR,27447.292,27447.292,1.0
