Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.444000
Uniform,PDF,8,VECTORIZED,0.101000
Uniform,PDF,8,PARALLEL,0.110000
Uniform,PDF,8,WORK_STEALING,0.143000
Uniform,LogPDF,8,SCALAR,0.467000
Uniform,LogPDF,8,VECTORIZED,0.153000
Uniform,LogPDF,8,PARALLEL,0.116000
Uniform,LogPDF,8,WORK_STEALING,0.173000
Uniform,CDF,8,SCALAR,0.572000
Uniform,CDF,8,VECTORIZED,0.193000
Uniform,CDF,8,PARALLEL,0.166000
Uniform,CDF,8,WORK_STEALING,0.167000
Uniform,PDF,16,SCALAR,0.941000
Uniform,PDF,16,VECTORIZED,0.119000
Uniform,PDF,16,PARALLEL,0.142000
Uniform,PDF,16,WORK_STEALING,0.127000
Uniform,LogPDF,16,SCALAR,0.902000
Uniform,LogPDF,16,VECTORIZED,0.134000
Uniform,LogPDF,16,PARALLEL,0.161000
Uniform,LogPDF,16,WORK_STEALING,0.142000
Uniform,CDF,16,SCALAR,0.926000
Uniform,CDF,16,VECTORIZED,0.170000
Uniform,CDF,16,PARALLEL,0.158000
Uniform,CDF,16,WORK_STEALING,0.191000
Uniform,PDF,32,SCALAR,1.963000
Uniform,PDF,32,VECTORIZED,0.147000
Uniform,PDF,32,PARALLEL,0.212000
Uniform,PDF,32,WORK_STEALING,0.177000
Uniform,LogPDF,32,SCALAR,2.009000
Uniform,LogPDF,32,VECTORIZED,0.171000
Uniform,LogPDF,32,PARALLEL,0.236000
Uniform,LogPDF,32,WORK_STEALING,0.186000
Uniform,CDF,32,SCALAR,2.083000
Uniform,CDF,32,VECTORIZED,0.376000
Uniform,CDF,32,PARALLEL,0.309000
Uniform,CDF,32,WORK_STEALING,0.205000
Uniform,PDF,64,SCALAR,4.132000
Uniform,PDF,64,VECTORIZED,0.179000
Uniform,PDF,64,PARALLEL,0.284000
Uniform,PDF,64,WORK_STEALING,0.213000
Uniform,LogPDF,64,SCALAR,3.970000
Uniform,LogPDF,64,VECTORIZED,0.201000
Uniform,LogPDF,64,PARALLEL,0.289000
Uniform,LogPDF,64,WORK_STEALING,0.206000
Uniform,CDF,64,SCALAR,4.056000
Uniform,CDF,64,VECTORIZED,0.312000
Uniform,CDF,64,PARALLEL,0.300000
Uniform,CDF,64,WORK_STEALING,0.284000
Uniform,PDF,128,SCALAR,8.043000
Uniform,PDF,128,VECTORIZED,0.223000
Uniform,PDF,128,PARALLEL,0.373000
Uniform,PDF,128,WORK_STEALING,0.233000
Uniform,LogPDF,128,SCALAR,7.921000
Uniform,LogPDF,128,VECTORIZED,0.241000
Uniform,LogPDF,128,PARALLEL,0.430000
Uniform,LogPDF,128,WORK_STEALING,0.266000
Uniform,CDF,128,SCALAR,6.892000
Uniform,CDF,128,VECTORIZED,0.606000
Uniform,CDF,128,PARALLEL,0.260000
Uniform,CDF,128,WORK_STEALING,0.218000
Uniform,PDF,256,SCALAR,16.103000
Uniform,PDF,256,VECTORIZED,0.294000
Uniform,PDF,256,PARALLEL,0.575000
Uniform,PDF,256,WORK_STEALING,0.326000
Uniform,LogPDF,256,SCALAR,13.267000
Uniform,LogPDF,256,VECTORIZED,0.348000
Uniform,LogPDF,256,PARALLEL,0.682000
Uniform,LogPDF,256,WORK_STEALING,0.324000
Uniform,CDF,256,SCALAR,16.103000
Uniform,CDF,256,VECTORIZED,0.694000
Uniform,CDF,256,PARALLEL,0.712000
Uniform,CDF,256,WORK_STEALING,0.501000
Uniform,PDF,512,SCALAR,31.949000
Uniform,PDF,512,VECTORIZED,0.446000
Uniform,PDF,512,PARALLEL,0.997000
Uniform,PDF,512,WORK_STEALING,0.450000
Uniform,LogPDF,512,SCALAR,30.203000
Uniform,LogPDF,512,VECTORIZED,0.525000
Uniform,LogPDF,512,PARALLEL,1.158000
Uniform,LogPDF,512,WORK_STEALING,0.474000
Uniform,CDF,512,SCALAR,28.080000
Uniform,CDF,512,VECTORIZED,1.097000
Uniform,CDF,512,PARALLEL,1.321000
Uniform,CDF,512,WORK_STEALING,1.091000
Uniform,PDF,1000,SCALAR,60.212000
Uniform,PDF,1000,VECTORIZED,0.464000
Uniform,PDF,1000,PARALLEL,1.047000
Uniform,PDF,1000,WORK_STEALING,0.470000
Uniform,LogPDF,1000,SCALAR,60.913000
Uniform,LogPDF,1000,VECTORIZED,0.816000
Uniform,LogPDF,1000,PARALLEL,1.842000
Uniform,LogPDF,1000,WORK_STEALING,0.475000
Uniform,CDF,1000,SCALAR,62.475000
Uniform,CDF,1000,VECTORIZED,1.450000
Uniform,CDF,1000,PARALLEL,1.447000
Uniform,CDF,1000,WORK_STEALING,1.095000
Uniform,PDF,2000,SCALAR,119.394000
Uniform,PDF,2000,VECTORIZED,1.047000
Uniform,PDF,2000,PARALLEL,2.822000
Uniform,PDF,2000,WORK_STEALING,1.089000
Uniform,LogPDF,2000,SCALAR,113.886000
Uniform,LogPDF,2000,VECTORIZED,1.291000
Uniform,LogPDF,2000,PARALLEL,4.679000
Uniform,LogPDF,2000,WORK_STEALING,1.064000
Uniform,CDF,2000,SCALAR,109.589000
Uniform,CDF,2000,VECTORIZED,4.200000
Uniform,CDF,2000,PARALLEL,5.132000
Uniform,CDF,2000,WORK_STEALING,4.785000
Uniform,PDF,5000,SCALAR,293.963000
Uniform,PDF,5000,VECTORIZED,3.205000
Uniform,PDF,5000,PARALLEL,46.197000
Uniform,PDF,5000,WORK_STEALING,22.757000
Uniform,LogPDF,5000,SCALAR,283.753000
Uniform,LogPDF,5000,VECTORIZED,3.754000
Uniform,LogPDF,5000,PARALLEL,46.190000
Uniform,LogPDF,5000,WORK_STEALING,23.539000
Uniform,CDF,5000,SCALAR,293.040000
